year,day_of_year,blossom_date,century,feb_mean_temp_c,mar_mean_temp_c,apr_mean_temp_c,may_mean_temp_c
812,92,Apr 02,9,,,,
815,105,Apr 15,9,,,,
831,96,Apr 06,9,,,,
851,108,Apr 18,9,,,,
853,104,Apr 14,9,,,,
864,100,Apr 10,9,,,,
866,106,Apr 16,9,,,,
869,95,Apr 05,9,,,,
889,104,Apr 14,9,,,,
891,109,Apr 19,9,,,,
892,108,Apr 18,9,,,,
894,106,Apr 16,9,,,,
895,104,Apr 14,9,,,,
896,104,Apr 14,9,,,,
902,102,Apr 12,10,,,,
908,98,Apr 08,10,,,,
912,95,Apr 05,10,,,,
913,110,Apr 20,10,,,,
917,95,Apr 05,10,,,,
923,104,Apr 14,10,,,,
926,98,Apr 08,10,,,,
930,97,Apr 07,10,,,,
933,106,Apr 16,10,,,,
941,109,Apr 19,10,,,,
949,107,Apr 17,10,,,,
950,95,Apr 05,10,,,,
955,89,Mar 30,10,,,,
957,112,Apr 22,10,,,,
958,109,Apr 19,10,,,,
959,97,Apr 07,10,,,,
960,101,Apr 11,10,,,,
961,87,Mar 28,10,,,,
963,94,Apr 04,10,,,,
965,104,Apr 14,10,,,,
966,98,Apr 08,10,,,,
967,103,Apr 13,10,,,,
969,98,Apr 08,10,,,,
972,107,Apr 17,10,,,,
974,108,Apr 18,10,,,,
975,101,Apr 11,10,,,,
977,112,Apr 22,10,,,,
979,104,Apr 14,10,,,,
985,94,Apr 04,10,,,,
989,100,Apr 10,10,,,,
991,104,Apr 14,10,,,,
1000,105,Apr 15,11,,,,
1004,117,Apr 27,11,,,,
1006,100,Apr 10,11,,,,
1007,106,Apr 16,11,,,,
1014,115,Apr 25,11,,,,
1016,111,Apr 21,11,,,,
1017,99,Apr 09,11,,,,
1018,113,Apr 23,11,,,,
1019,98,Apr 08,11,,,,
1029,116,Apr 26,11,,,,
1031,97,Apr 07,11,,,,
1032,111,Apr 21,11,,,,
1033,102,Apr 12,11,,,,
1034,96,Apr 06,11,,,,
1036,104,Apr 14,11,,,,
1041,103,Apr 13,11,,,,
1046,103,Apr 13,11,,,,
1048,112,Apr 22,11,,,,
1050,105,Apr 15,11,,,,
1060,108,Apr 18,11,,,,
1061,92,Apr 02,11,,,,
1066,105,Apr 15,11,,,,
1071,113,Apr 23,11,,,,
1073,103,Apr 13,11,,,,
1080,102,Apr 12,11,,,,
1083,96,Apr 06,11,,,,
1084,120,Apr 30,11,,,,
1088,104,Apr 14,11,,,,
1090,105,Apr 15,11,,,,
1093,105,Apr 15,11,,,,
1095,100,Apr 10,11,,,,
1096,96,Apr 06,11,,,,
