"state","year","name","type","city","county","district","enroll","mmr","overall","xrel","xmed","xper","lat","lng"
"Arizona","2018-19","A J Mitchell Elementary","Public","Nogales","Santa Cruz",null,51,100,-1,null,null,null,31.3478189,-110.9380314
"Arizona","2018-19","Academy Del Sol","Charter","Tucson","Pima",null,22,100,-1,null,null,null,32.2219215,-110.8961031
"Arizona","2018-19","Academy Del Sol - Hope","Charter","Tucson","Pima",null,85,100,-1,null,null,null,32.1304932,-111.1170048
"Arizona","2018-19","Academy Of Mathematics And Science South","Charter","Phoenix","Maricopa",null,60,100,-1,null,null,null,33.4854475,-112.130633
"Arizona","2018-19","Acclaim Academy","Charter","Phoenix","Maricopa",null,43,100,-1,null,2.33,2.33,33.49562,-112.224722
"Arizona","2018-19","Alfred F Garcia","Public","Phoenix","Maricopa",null,36,100,-1,null,null,null,33.4353194,-112.1168284
"Arizona","2018-19","All Aboard Charter","Charter","Phoenix","Maricopa",null,24,100,-1,null,null,4.17,33.523322,-112.1337533
"Arizona","2018-19","Amerischools Academy - Yuma South Campus","Charter","Yuma","Yuma",null,22,100,-1,null,null,null,32.690013,-114.623427
"Arizona","2018-19","Arizona Cultural Academy","Private","Phoenix","Maricopa",null,26,100,-1,null,null,null,33.3756163,-111.9929104
"Arizona","2018-19","Arizona Desert Elementary","Public","San Luis","Yuma",null,78,100,-1,null,null,null,32.5006114,-114.7810041
"Arizona","2018-19","Arthur M Hamilton","Public","Phoenix","Maricopa",null,35,100,-1,null,2.86,null,33.430508,-112.103145
"Arizona","2018-19","Bella Vista Elementary","Public","Sierra Vista","Cochise",null,54,100,-1,null,null,null,31.5633897,-110.2810555
"Arizona","2018-19","Blenman Elementary","Public","Tucson","Pima",null,54,100,-1,null,7.41,null,32.2429283,-110.9275187
"Arizona","2018-19","Booth Magnet Elementary","Public","Tucson","Pima",null,34,100,-1,null,null,null,32.2145843,-110.8375036
"Arizona","2018-19","Butterfield Elementary","Public","Tucson","Pima",null,57,100,-1,null,null,null,32.3459724,-111.0390519
"Arizona","2018-19","Carrillo Intermediate Magnet","Public","Tucson","Pima",null,47,100,-1,null,2.13,null,32.2152945,-110.9747402
"Arizona","2018-19","Casa Blanca Community","Public","Bapchule","Pinal",null,54,100,-1,null,null,null,33.1175337,-111.8860664
"Arizona","2018-19","Cesar Chavez Elementary","Public","San Luis","Yuma",null,98,100,-1,null,null,null,32.4983248,-114.7530985
"Arizona","2018-19","Challenger Elementary","Public","Nogales","Santa Cruz",null,67,100,-1,null,null,null,31.3721614,-110.9145932
"Arizona","2018-19","Chinle Elementary","Public","Chinle","Apache",null,58,100,-1,null,null,null,36.15146,-109.586306
