sample;Co_1;Co_2;Mn_1;Mn_2;Ni_1;Ni_2;Pb_1;Pb_2;Zn_1;Zn_2
231;1,16;0,8;232,3;213;2,38;2;15,19;17,3;66,85;65,2
232;1,24;0,8;245;182,5;2,55;2,2;9,53;12,5;27,48;24,8
233;1,17;1,2;377;421,3;1,74;1,9;8,5;13,3;18,77;18,77
73;2;1,2;208,5;160,6;2,07;2,3;3,65;11,2;15,21;10,1
111;3,24;2,8;214,9;188,7;5,7;6,8;22,15;26,2;47,13;52,3
222;1,72;1,3;551,2;534,2;1,96;2,1;3,07;11,7;21,84;54,9
141;3,38;2,7;260,5;249,2;7,85;7,7;70,15;83,2;47,57;46,5
122;2,96;2,92;317,3;309,8;7,13;7,12;12,63;13,2;53,44;33,9
801;0,9;2,2;63,11;178,5;1,15;1,6;8,59;18,5;67,67;64,8
53;1,03;0,7;187,7;112,2;1,26;0,9;6,47;8,4;16,11;11,4
233;1,17;1,2;377;421,5;1,74;1,9;8,5;15,5;18,77;17,6
411;0,52;0,3;42,5;37,7;1,62;1,68;6,35;14,1;7,8;10,8
452;1,22;1,2;270,4;215,6;1,81;2,3;14,16;14,2;10,16;7,7
101;3,69;4,3;209,4;229,7;7,11;9,6;43,44;42,1;14,65;20,6
204;1,87;1,2;343,9;340,8;3,47;2,8;12,92;13,3;18,27;17,2
201;2,71;2,4;74,43;82,6;39,9;40,4;28,58;29,7;8,01;10,8
212;0,71;0,9;437;389,5;1,49;2,6;45,8;56,2;28,9;34,9
313;3,3;3,7;308,9;421,3;6,2;6,4;27,53;37,6;21,28;22,1
441;1,42;0,9;241,4;165,8;0,96;0,8;3,54;4,4;6,64;2,6
211;0,83;1,2;431;347,4;2,21;2,4;7,9;49,8;28,6;38,9
103;4,04;4;383,5;435;8,34;13,1;52,56;39,4;16,24;22,8
223;1,12;1,2;173,8;226;1,19;1,3;36,41;48,3;59,8;79,9
302;1,05;1;57,6;72,9;1,65;2,4;33,18;16,6;63,47;60,7
221;1,06;1,1;215,5;283,6;0,96;1,6;45,29;48,8;5,37;8,9
602;3,83;2,5;655,6;497;7,19;7,04;36,52;32,3;15,03;12,7
473;1,18;0,8;228,1;317,4;2,6;2,6;9,95;19,6;17,63;13,7
