order_id,creation_time,product_ids
1,2022-08-24T01:52:00Z,"[65, 28]"
2,2022-08-24T06:37:00Z,"[35, 30, 42, 34]"
3,2022-08-24T07:35:00Z,"[24, 70, 77]"
4,2022-08-24T10:39:00Z,"[72, 40, 20]"
5,2022-08-24T12:34:00Z,[48]
6,2022-08-24T13:46:00Z,"[76, 52, 65, 75, 77]"
7,2022-08-24T13:59:00Z,"[35, 74, 15, 34, 80]"
8,2022-08-24T14:03:00Z,[41]
9,2022-08-24T14:45:00Z,"[40, 27, 24, 39, 62, 15]"
10,2022-08-24T15:09:00Z,"[3, 78]"
11,2022-08-24T15:54:00Z,"[84, 14, 57]"
12,2022-08-24T16:22:00Z,"[54, 83, 11, 28]"
13,2022-08-24T16:39:00Z,"[1, 63, 78, 70, 50, 50]"
14,2022-08-24T17:16:00Z,"[65, 1, 26, 43, 6]"
15,2022-08-24T17:17:00Z,[79]
16,2022-08-24T17:31:00Z,"[71, 83, 46]"
17,2022-08-24T17:32:00Z,"[73, 8, 70, 74]"
18,2022-08-24T17:38:00Z,"[16, 25, 74]"
19,2022-08-24T17:42:00Z,"[40, 31, 38, 28]"
20,2022-08-24T17:48:00Z,"[33, 20]"
21,2022-08-24T17:57:00Z,"[30, 65, 71, 35]"
22,2022-08-24T18:05:00Z,[46]
23,2022-08-24T18:13:00Z,"[31, 74]"
24,2022-08-24T18:20:00Z,"[5, 74]"
25,2022-08-24T18:38:00Z,"[77, 8, 20]"
26,2022-08-24T18:42:00Z,"[19, 37, 72, 9]"
27,2022-08-24T18:46:00Z,"[63, 12, 33]"
28,2022-08-24T18:50:00Z,"[45, 60, 20, 24, 77]"
29,2022-08-24T18:55:00Z,"[39, 79, 23]"
30,2022-08-24T18:57:00Z,"[9, 32, 42, 8]"
31,2022-08-24T18:58:00Z,"[77, 67, 25, 23]"
32,2022-08-24T18:59:00Z,"[23, 35, 56]"
33,2022-08-24T19:02:00Z,"[76, 53, 56]"
34,2022-08-24T19:04:00Z,"[1, 50, 70, 47, 71, 52]"
35,2022-08-24T19:05:00Z,"[17, 58, 27, 50]"
36,2022-08-24T19:12:00Z,"[70, 18, 39, 58, 33, 50]"
37,2022-08-24T19:15:00Z,"[32, 75, 49, 42]"
38,2022-08-24T19:17:00Z,"[25, 84, 27, 81, 34]"
39,2022-08-24T19:17:00Z,"[87, 67, 82]"
40,2022-08-24T19:19:00Z,"[28, 35, 10]"
41,2022-08-24T19:25:00Z,"[67, 30, 63]"
42,2022-08-24T19:25:00Z,"[8, 2, 87, 42, 17, 20, 71]"
43,2022-08-24T19:29:00Z,"[31, 49]"
44,2022-08-24T19:35:00Z,"[56, 83, 5, 40, 5, 57]"
45,2022-08-24T19:35:00Z,"[81, 29, 6]"
46,2022-08-24T19:37:00Z,"[55, 77, 40]"
47,2022-08-24T19:44:00Z,"[52, 86, 66]"
48,2022-08-24T19:50:00Z,"[43, 84, 46]"
49,2022-08-24T19:56:00Z,"[22, 47, 54]"
50,2022-08-24T20:04:00Z,[70]
51,2022-08-24T20:06:00Z,"[6, 32]"
52,2022-08-24T20:08:00Z,"[47, 40, 57, 72]"
53,2022-08-24T20:08:00Z,"[70, 42, 62, 69]"
54,2022-08-24T20:08:00Z,[76]
55,2022-08-24T20:14:00Z,"[40, 47, 52]"
56,2022-08-24T20:16:00Z,"[24, 30]"
57,2022-08-24T20:23:00Z,[38]
58,2022-08-24T20:25:00Z,"[35, 25, 85]"
59,2022-08-24T20:27:00Z,"[20, 67, 71]"
60,2022-08-24T20:30:00Z,[10]
61,2022-08-24T20:30:00Z,"[74, 15, 22, 63]"
62,2022-08-24T20:32:00Z,"[50, 44, 81, 28]"
63,2022-08-24T20:34:00Z,"[53, 18]"
64,2022-08-24T20:34:00Z,"[30, 69, 45]"
65,2022-08-24T20:41:00Z,"[23, 7, 1, 9]"
66,2022-08-24T20:47:00Z,"[8, 46, 60]"
67,2022-08-24T20:55:00Z,"[74, 9, 4]"
68,2022-08-24T20:58:00Z,"[59, 78, 78]"
69,2022-08-24T20:58:00Z,"[77, 29, 71, 55, 57]"
70,2022-08-24T20:59:00Z,"[82, 42, 26, 80]"
71,2022-08-24T21:00:00Z,"[71, 10, 33, 62]"
72,2022-08-24T21:01:00Z,"[2, 1, 47]"
73,2022-08-24T21:06:00Z,"[68, 56, 50]"
74,2022-08-24T21:07:00Z,"[14, 40, 71, 35, 46]"
75,2022-08-24T21:09:00Z,"[31, 63]"
76,2022-08-24T21:11:00Z,"[2, 50, 21, 46, 49, 10]"
77,2022-08-24T21:15:00Z,"[76, 62]"
78,2022-08-24T21:16:00Z,"[32, 84, 70, 56]"
79,2022-08-24T21:17:00Z,[17]
80,2022-08-24T21:25:00Z,"[57, 74, 46, 7]"
81,2022-08-24T21:26:00Z,"[79, 14, 2, 60]"
82,2022-08-24T21:26:00Z,"[24, 56, 77, 20, 85]"
83,2022-08-24T21:28:00Z,"[74, 71, 75, 15, 1]"
84,2022-08-24T21:29:00Z,"[32, 42, 47]"
85,2022-08-24T21:30:00Z,"[65, 76, 58, 28]"
86,2022-08-24T21:33:00Z,"[9, 54, 20, 24, 16]"
87,2022-08-24T21:36:00Z,"[81, 76, 37, 84]"
