user_id,birth_date,sex
10597,1991-05-24,male
4521,1994-07-21,female
5778,1992-01-09,male
8636,1997-05-05,female
15773,1990-08-16,male
2181,1996-11-20,female
837,1992-09-02,female
632,1993-01-06,male
11407,1994-11-23,female
4744,1984-10-28,male
8201,1994-04-28,male
21402,1991-05-24,female
4057,1989-09-08,female
3389,1996-01-06,female
16146,1989-01-04,male
16746,1993-01-08,female
15544,1989-11-30,female
19076,1995-03-10,male
3455,1995-07-04,female
5867,1989-05-17,male
10352,1991-04-25,female
6275,1992-04-22,male
6267,1990-12-07,male
4403,1991-03-30,male
185,1995-11-06,male
17719,1998-09-30,female
5055,1997-04-16,male
9950,1997-08-01,female
16056,1998-10-05,male
13158,1994-06-17,female
6488,1994-02-18,female
1835,1992-10-17,male
10180,1992-02-06,male
15978,1993-09-27,female
13913,1993-05-19,female
4149,1992-06-26,female
15608,1995-06-02,female
12849,1994-08-22,female
18312,1992-08-03,male
3832,1994-07-17,male
14907,1994-04-02,male
10137,1992-12-22,female
3176,1989-01-11,male
16734,1991-10-25,female
15366,1993-08-11,male
17760,1994-04-16,male
21340,1992-12-31,male
10542,1986-07-20,male
15102,2001-04-21,male
4231,1991-03-22,male
9957,1992-01-19,male
591,1990-04-24,female
14396,1995-10-31,female
5833,1986-11-24,male
4706,1989-12-12,male
1803,1992-10-29,male
15028,1992-04-01,male
8890,1994-08-25,female
5209,1992-07-19,male
6174,1993-01-29,male
9217,1990-02-07,female
13885,1991-09-16,female
21208,1992-11-30,male
625,1990-10-31,male
12848,1991-03-01,female
12006,1992-01-29,male
6552,1996-11-14,female
3673,1989-11-13,male
14117,1995-11-18,female
18904,1995-06-14,female
14283,1992-12-22,female
17031,1991-04-14,male
19377,1988-10-31,male
17020,1997-04-22,female
5818,1988-08-28,male
1826,1988-03-16,female
3651,1993-12-13,male
20784,1993-03-28,female
5026,1994-04-02,male
5317,1994-05-04,female
12562,1996-05-09,female
1824,1997-04-24,female
12379,1993-03-26,female
17385,1991-12-25,male
18406,1987-09-06,female
6493,1995-06-06,female
17200,1998-05-31,female
14374,1992-04-14,male
9032,1993-12-18,male
21000,1991-09-17,male
13337,1993-10-10,female
2243,1996-02-19,male
8942,1994-07-28,female
14079,1990-06-28,female
13943,1991-12-10,female
12217,1995-05-05,male
14866,1990-04-20,female
14768,1996-08-24,female
15632,1994-02-26,male
9021,1992-02-23,female
7760,1996-06-04,male
11212,1995-12-16,female
7034,1992-08-23,female
1556,1992-11-27,female
12806,1993-05-16,male
19262,1994-03-27,male
12526,1995-09-15,female
7080,1994-10-30,female
5351,1984-05-11,male
11752,1994-05-27,male
13932,1988-07-25,male
19112,1994-04-18,male
4449,1988-12-12,female
2015,1989-04-24,male
18987,1991-06-15,male
8614,1994-06-11,female
9634,1996-06-16,female
20897,1990-01-16,male
16985,1996-03-15,female
8755,1996-03-05,male
20680,1988-07-08,male
6787,1988-09-07,male
10139,1992-08-01,female
6640,1993-05-12,male
8115,1994-07-04,male
19085,1991-09-22,female
6601,1994-01-05,male
686,1996-10-30,female
10928,1994-10-11,male
3875,1992-01-02,female
3421,1997-01-14,female
18092,1995-05-15,male
17500,1992-05-08,male
8267,1988-01-23,male
15364,1992-03-14,male
16670,1992-08-06,male
20039,1987-05-24,male
19663,1995-08-06,female
1245,1994-09-10,male
17203,1990-05-19,male
7241,1989-09-27,female
5807,1991-06-08,female
14136,1999-11-10,female
8889,1990-08-30,male
3180,1990-11-10,male
18517,1992-07-23,male
18023,1990-11-11,male
15856,1988-10-31,female
21130,1992-07-18,male
11819,1995-04-01,female
5725,1997-09-21,female
7432,1992-07-06,female
5610,1994-08-22,male
7360,1994-03-23,female
18553,1995-10-15,female
4606,1991-12-08,male
18959,1990-09-03,male
15683,1991-07-01,female
7614,1995-10-03,male
902,1990-04-02,male
9496,1991-10-29,female
19573,1999-07-02,female
3122,1991-01-21,male
12627,1998-04-05,female
827,1995-10-21,female
19157,1989-10-16,female
12580,1990-11-25,female
15213,1994-06-14,male
5017,1995-02-08,male
109,1991-09-28,male
20430,1997-08-09,female
9914,1991-07-25,male
12013,1993-06-26,male
7730,1990-09-04,male
8962,1993-01-11,female
2006,1995-09-01,female
2881,1992-02-18,female
6887,1993-08-23,female
