Date,Time,Value
8/27/2025,0:00:00,43
8/27/2025,0:15:00,39.01
8/27/2025,0:30:00,41.52
8/27/2025,0:45:00,44
8/27/2025,1:00:00,46.58
8/27/2025,1:15:00,46.96
8/27/2025,1:30:00,49.57
8/27/2025,1:45:00,50.02
8/27/2025,2:00:00,47.36
8/27/2025,2:15:00,47.27
8/27/2025,2:30:00,44.92
8/27/2025,2:45:00,43.8
8/27/2025,3:00:00,36.4
8/27/2025,3:15:00,38.8
8/27/2025,3:30:00,46.93
8/27/2025,3:45:00,41.67
8/27/2025,4:00:00,45.69
8/27/2025,4:15:00,47.59
8/27/2025,4:30:00,50.46
8/27/2025,4:45:00,48.26
8/27/2025,5:00:00,49.02
8/27/2025,5:15:00,48.86
8/27/2025,5:30:00,48.66
8/27/2025,5:45:00,39.29
8/27/2025,6:00:00,32.02
8/27/2025,6:15:00,28.63
8/27/2025,6:30:00,31.01
8/27/2025,6:45:00,37.21
8/27/2025,7:00:00,38.06
8/27/2025,7:15:00,38
8/27/2025,7:30:00,36.07
8/27/2025,7:45:00,38.16
8/27/2025,8:00:00,31.22
8/27/2025,8:15:00,35.83
8/27/2025,8:30:00,35.59
8/27/2025,8:45:00,35.73
8/27/2025,9:00:00,37.09
8/27/2025,9:15:00,36.27
8/27/2025,9:30:00,37.78
8/27/2025,9:45:00,35.09
8/27/2025,10:00:00,34.24
8/27/2025,10:15:00,34.5
8/27/2025,10:30:00,30.76
8/27/2025,10:45:00,31.81
8/27/2025,11:00:00,34.02
8/27/2025,11:15:00,37.18
8/27/2025,11:30:00,38.19
8/27/2025,11:45:00,33.94
8/27/2025,12:00:00,33.02
8/27/2025,12:15:00,32.23
8/27/2025,12:30:00,38.45
8/27/2025,12:45:00,36.43
8/27/2025,13:00:00,38.6
8/27/2025,13:15:00,38.37
8/27/2025,13:30:00,38.84
8/27/2025,13:45:00,39.66
8/27/2025,14:00:00,34.75
8/27/2025,14:15:00,35.44
8/27/2025,14:30:00,34.31
8/27/2025,14:45:00,30.42
8/27/2025,15:00:00,28.7
8/27/2025,15:15:00,28.94
8/27/2025,15:30:00,29.41
8/27/2025,15:45:00,28.37
8/27/2025,16:00:00,27.64
8/27/2025,16:15:00,27.32
8/27/2025,16:30:00,27.36
8/27/2025,16:45:00,29.83
8/27/2025,17:00:00,28.76
8/27/2025,17:15:00,28.39
8/27/2025,17:30:00,30.39
8/27/2025,17:45:00,31.55
8/27/2025,18:00:00,30.44
8/27/2025,18:15:00,30.38
8/27/2025,18:30:00,33.83
8/27/2025,18:45:00,32.87
8/27/2025,19:00:00,33.65
8/27/2025,19:15:00,37.8
8/27/2025,19:30:00,37.43
8/27/2025,19:45:00,37.73
8/27/2025,20:00:00,36.24
8/27/2025,20:15:00,37.19
8/27/2025,20:30:00,36.84
8/27/2025,20:45:00,35.17
8/27/2025,21:00:00,35.37
8/27/2025,21:15:00,30.99
8/27/2025,21:30:00,35.87
8/27/2025,21:45:00,35.72
8/27/2025,22:00:00,37.1
8/27/2025,22:15:00,41.25
8/27/2025,22:30:00,37.71
8/27/2025,22:45:00,40.42
8/27/2025,23:00:00,38.63
8/27/2025,23:15:00,44.68
8/27/2025,23:30:00,41.06
8/27/2025,23:45:00,40.16
8/28/2025,0:00:00,42.16
8/28/2025,0:15:00,34.38
8/28/2025,0:30:00,43.74
8/28/2025,0:45:00,36.21
8/28/2025,1:00:00,42.1
8/28/2025,1:15:00,43.42
8/28/2025,1:30:00,39.39
8/28/2025,1:45:00,39.18
8/28/2025,2:00:00,44.65
8/28/2025,2:15:00,43.89
8/28/2025,2:30:00,42.86
8/28/2025,2:45:00,42.11
8/28/2025,3:00:00,40.26
8/28/2025,3:15:00,41.7
8/28/2025,3:30:00,44.42
8/28/2025,3:45:00,40.74
8/28/2025,4:00:00,41.23
8/28/2025,4:15:00,41.53
8/28/2025,4:30:00,41.58
8/28/2025,4:45:00,43.99
8/28/2025,5:00:00,44.79
8/28/2025,5:15:00,44.22
8/28/2025,5:30:00,44.57
8/28/2025,5:45:00,46.94
8/28/2025,6:00:00,39.46
8/28/2025,6:15:00,39.03
8/28/2025,6:30:00,38.39
8/28/2025,6:45:00,43.23
8/28/2025,7:00:00,34.37
8/28/2025,7:15:00,31.07
8/28/2025,7:30:00,30.02
8/28/2025,7:45:00,27
8/28/2025,8:00:00,29.76
8/28/2025,8:15:00,29.46
8/28/2025,8:30:00,32.18
8/28/2025,8:45:00,31.16
8/28/2025,9:00:00,29.91
8/28/2025,9:15:00,27.2
8/28/2025,9:30:00,27.6
8/28/2025,9:45:00,28.72
8/28/2025,10:00:00,28.81
8/28/2025,10:15:00,28.78
8/28/2025,10:30:00,28.68
8/28/2025,10:45:00,28.9
8/28/2025,11:00:00,29.95
8/28/2025,11:15:00,28.68
8/28/2025,11:30:00,31.81
8/28/2025,11:45:00,33.64
8/28/2025,12:00:00,35.11
8/28/2025,12:15:00,36.71
8/28/2025,12:30:00,40.81
8/28/2025,12:45:00,38.49
8/28/2025,13:00:00,32.24
8/28/2025,13:15:00,32.94
8/28/2025,13:30:00,39.11
8/28/2025,13:45:00,39.81
8/28/2025,14:00:00,37.45
8/28/2025,14:15:00,38.57
8/28/2025,14:30:00,38.93
8/28/2025,14:45:00,38.79
8/28/2025,15:00:00,36.93
8/28/2025,15:15:00,38.29
8/28/2025,15:30:00,38.23
8/28/2025,15:45:00,39.84
8/28/2025,16:00:00,39.88
8/28/2025,16:15:00,42.62
8/28/2025,16:30:00,38.99
8/28/2025,16:45:00,42.62
