ds,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1956-01-01,284,5225,189,465,3923,5
1956-04-01,213,5178,204,532,4436,6
1956-07-01,227,5297,208,561,4806,7
1956-10-01,308,5681,197,570,4418,6
1957-01-01,262,5577,187,529,4339,5
1957-04-01,228,5651,214,604,4811,7
1957-07-01,236,5317,227,603,5259,7
1957-10-01,320,6152,222,582,4735,6
1958-01-01,272,5758,199,554,4608,5
1958-04-01,233,5641,229,620,5196,7
1958-07-01,237,5802,249,646,5609,8
1958-10-01,313,6265,234,637,4977,6
1959-01-01,261,5478,208,573,4883,5
1959-04-01,227,5892,251,673,5744,7
1959-07-01,250,5952,267,690,6035,8
1959-10-01,314,6597,255,681,5514,6
1960-01-01,286,5980,242,621,5387,6
1960-04-01,227,6154,268,698,6211,8
1960-07-01,260,5478,290,753,6659,8
1960-10-01,311,6716,277,728,5983,7
1961-01-01,295,6022,241,688,5709,6
1961-04-01,233,6070,253,737,6458,7
1961-07-01,257,6303,265,742,6875,8
1961-10-01,339,6693,236,692,6162,6
1962-01-01,279,6072,229,637,6098,6
1962-04-01,250,6112,265,757,7075,8
1962-07-01,270,6146,275,783,7595,8
1962-10-01,346,6787,258,757,6891,7
1963-01-01,294,6051,231,674,6707,6
1963-04-01,255,6259,263,774,7874,8
1963-07-01,278,6348,308,835,8555,9
1963-10-01,363,6883,313,838,7503,7
1964-01-01,313,5890,293,797,7469,6
1964-04-01,273,6365,328,904,8829,8
1964-07-01,300,7373,349,949,9513,9
1964-10-01,370,6768,340,975,8415,7
1965-01-01,331,6201,309,902,8170,6
1965-04-01,288,6332,349,974,9503,8
1965-07-01,306,7213,366,969,10306,9
1965-10-01,386,6600,340,967,9077,7
1966-01-01,335,5522,302,849,8650,6
1966-04-01,288,6184,350,961,10180,8
1966-07-01,308,7202,362,966,11234,10
1966-10-01,402,6599,337,922,9836,7
1967-01-01,353,5801,306,836,9490,6
1967-04-01,316,6771,358,998,10991,9
1967-07-01,325,6837,359,1025,12170,10
1967-10-01,405,6685,357,971,10470,7
1968-01-01,393,6255,341,892,10087,6
1968-04-01,319,6977,380,973,11858,9
1968-07-01,327,7417,404,1047,13198,11
1968-10-01,442,7075,409,1017,11413,8
1969-01-01,383,6641,383,948,11136,7
1969-04-01,332,7154,417,1032,13040,10
1969-07-01,361,7929,454,1190,14248,13
1969-10-01,446,7362,428,1136,12759,11
1970-01-01,387,6807,386,1049,12328,12
1970-04-01,357,7612,428,1134,14493,18
1970-07-01,374,7862,434,1229,15664,23
1970-10-01,466,7126,417,1188,13781,20
