unique_id,ds,y
Beer,1956-03-01,284
Beer,1956-06-01,213
Beer,1956-09-01,227
Beer,1956-12-01,308
Beer,1957-03-01,262
Beer,1957-06-01,228
Beer,1957-09-01,236
Beer,1957-12-01,320
Beer,1958-03-01,272
Beer,1958-06-01,233
Beer,1958-09-01,237
Beer,1958-12-01,313
Beer,1959-03-01,261
Beer,1959-06-01,227
Beer,1959-09-01,250
Beer,1959-12-01,314
Beer,1960-03-01,286
Beer,1960-06-01,227
Beer,1960-09-01,260
Beer,1960-12-01,311
Beer,1961-03-01,295
Beer,1961-06-01,233
Beer,1961-09-01,257
Beer,1961-12-01,339
Beer,1962-03-01,279
Beer,1962-06-01,250
Beer,1962-09-01,270
Beer,1962-12-01,346
Beer,1963-03-01,294
Beer,1963-06-01,255
Beer,1963-09-01,278
Beer,1963-12-01,363
Beer,1964-03-01,313
Beer,1964-06-01,273
Beer,1964-09-01,300
Beer,1964-12-01,370
Beer,1965-03-01,331
Beer,1965-06-01,288
Beer,1965-09-01,306
Beer,1965-12-01,386
Beer,1966-03-01,335
Beer,1966-06-01,288
Beer,1966-09-01,308
Beer,1966-12-01,402
Beer,1967-03-01,353
Beer,1967-06-01,316
Beer,1967-09-01,325
Beer,1967-12-01,405
Beer,1968-03-01,393
Beer,1968-06-01,319
Beer,1968-09-01,327
Beer,1968-12-01,442
Beer,1969-03-01,383
Beer,1969-06-01,332
Beer,1969-09-01,361
Beer,1969-12-01,446
Beer,1970-03-01,387
Beer,1970-06-01,357
Beer,1970-09-01,374
Beer,1970-12-01,466
Beer,1971-03-01,410
Beer,1971-06-01,370
Beer,1971-09-01,379
Beer,1971-12-01,487
Beer,1972-03-01,419
Beer,1972-06-01,378
Beer,1972-09-01,393
Beer,1972-12-01,506
Beer,1973-03-01,458
Beer,1973-06-01,387
Beer,1973-09-01,427
Beer,1973-12-01,565
Beer,1974-03-01,465
Beer,1974-06-01,445
Beer,1974-09-01,450
Beer,1974-12-01,556
Beer,1975-03-01,500
Beer,1975-06-01,452
Beer,1975-09-01,435
Beer,1975-12-01,554
Beer,1976-03-01,510
Beer,1976-06-01,433
Beer,1976-09-01,453
Beer,1976-12-01,548
Beer,1977-03-01,486
Beer,1977-06-01,453
Beer,1977-09-01,457
Beer,1977-12-01,566
Beer,1978-03-01,515
Beer,1978-06-01,464
Beer,1978-09-01,431
Beer,1978-12-01,588
Beer,1979-03-01,503
Beer,1979-06-01,443
Beer,1979-09-01,448
Beer,1979-12-01,555
