State,Industry,Series ID,Month,Turnover
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-04-01,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-05-01,3.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-06-01,3.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-07-01,4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-08-01,3.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-09-01,4.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-10-01,4.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-11-01,5.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1982-12-01,6.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-01-01,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-02-01,4.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-03-01,4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-04-01,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-05-01,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-06-01,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-07-01,4.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-08-01,4.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-09-01,4.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-10-01,5.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-11-01,6.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1983-12-01,9.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-01-01,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-02-01,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-03-01,4.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-04-01,3.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-05-01,3.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-06-01,4.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-07-01,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-08-01,4.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-09-01,5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-10-01,5.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-11-01,5.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1984-12-01,6.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-01-01,4.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-02-01,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-03-01,4.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-04-01,6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-05-01,5.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-06-01,5.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-07-01,6.4
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-08-01,7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-09-01,6.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-10-01,6.7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-11-01,6.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1985-12-01,7.6
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-01-01,7.9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-02-01,6.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-03-01,9.3
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-04-01,7
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-05-01,7.5
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-06-01,6.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-07-01,9.8
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-08-01,9.1
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-09-01,9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-10-01,9.2
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-11-01,9
Australian Capital Territory,"Cafes, restaurants and catering services",A3349849A,1986-12-01,11.1
