ds,y,unique_id
1900-01-01,276.79,eggs
1901-01-01,315.42,eggs
1902-01-01,314.87,eggs
1903-01-01,321.25,eggs
1904-01-01,314.54,eggs
1905-01-01,317.92,eggs
1906-01-01,303.39,eggs
1907-01-01,288.62,eggs
1908-01-01,292.44,eggs
1909-01-01,320.92,eggs
1910-01-01,323.38,eggs
1911-01-01,270.77,eggs
1912-01-01,301.77,eggs
1913-01-01,282.99,eggs
1914-01-01,295.06,eggs
1915-01-01,276.47,eggs
1916-01-01,292.8,eggs
1917-01-01,358.78,eggs
1918-01-01,345.82,eggs
1919-01-01,345.42,eggs
1920-01-01,314.1,eggs
1921-01-01,228.74,eggs
1922-01-01,215.76,eggs
1923-01-01,224.67,eggs
1924-01-01,225.93,eggs
1925-01-01,250.87,eggs
1926-01-01,236.24,eggs
1927-01-01,209.12,eggs
1928-01-01,237.31,eggs
1929-01-01,251.67,eggs
1930-01-01,205.36,eggs
1931-01-01,167.21,eggs
1932-01-01,150.42,eggs
1933-01-01,154.09,eggs
1934-01-01,183.67,eggs
1935-01-01,246.66,eggs
1936-01-01,227.58,eggs
1937-01-01,214.6,eggs
1938-01-01,208.41,eggs
1939-01-01,181.21,eggs
1940-01-01,185.67,eggs
1941-01-01,230.86,eggs
1942-01-01,266.34,eggs
1943-01-01,310.29,eggs
1944-01-01,267.18,eggs
1945-01-01,303.03,eggs
1946-01-01,278.46,eggs
1947-01-01,293.36,eggs
1948-01-01,283.62,eggs
1949-01-01,274.26,eggs
1950-01-01,218.12,eggs
1951-01-01,265.62,eggs
1952-01-01,226.7,eggs
1953-01-01,258,eggs
1954-01-01,196.98,eggs
1955-01-01,213.38,eggs
1956-01-01,209.17,eggs
1957-01-01,184.5,eggs
1958-01-01,192.61,eggs
1959-01-01,155.83,eggs
1960-01-01,176.32,eggs
1961-01-01,172.13,eggs
1962-01-01,161.63,eggs
1963-01-01,163,eggs
1964-01-01,157.63,eggs
1965-01-01,154.5,eggs
1966-01-01,174.28,eggs
1967-01-01,135.17,eggs
1968-01-01,141.36,eggs
1969-01-01,157.83,eggs
1970-01-01,145.65,eggs
1971-01-01,112.06,eggs
1972-01-01,106.85,eggs
1973-01-01,170.91,eggs
1974-01-01,156.26,eggs
1975-01-01,140.78,eggs
1976-01-01,148.35,eggs
1977-01-01,132.61,eggs
1978-01-01,115.72,eggs
1979-01-01,116.07,eggs
1980-01-01,98.76,eggs
1981-01-01,100.33,eggs
1982-01-01,89.12,eggs
1983-01-01,88.67,eggs
1984-01-01,100.58,eggs
1985-01-01,76.84,eggs
1986-01-01,81.1,eggs
1987-01-01,69.6,eggs
1988-01-01,64.55,eggs
1989-01-01,80.36,eggs
1990-01-01,79.79,eggs
1991-01-01,74.79,eggs
1992-01-01,64.86,eggs
1993-01-01,62.27,eggs
