Month,TotalC,Cost
1991-07-01,3526591,3.53
1991-08-01,3180891,3.18
1991-09-01,3252221,3.25
1991-10-01,3611003,3.61
1991-11-01,3565869,3.57
1991-12-01,4306371,4.31
1992-01-01,5088335,5.09
1992-02-01,2814520,2.81
1992-03-01,2985811,2.99
1992-04-01,3204780,3.2
1992-05-01,3127578,3.13
1992-06-01,3270523,3.27
1992-07-01,3737850.82,3.74
1992-08-01,3558776.09,3.56
1992-09-01,3777201.73,3.78
1992-10-01,3924490.42,3.92
1992-11-01,4386530.92,4.39
1992-12-01,5810549.17,5.81
1993-01-01,6192067.69,6.19
1993-02-01,3450856.99,3.45
1993-03-01,3772306.86,3.77
1993-04-01,3734302.9,3.73
1993-05-01,3905398.92,3.91
1993-06-01,4049687.14,4.05
1993-07-01,4315565.52,4.32
1993-08-01,4562184.55,4.56
1993-09-01,4608662.03,4.61
1993-10-01,4667851.29,4.67
1993-11-01,5093841.45,5.09
1993-12-01,7179962.2,7.18
1994-01-01,6731473.08,6.73
1994-02-01,3841277.58,3.84
1994-03-01,4394075.57,4.39
1994-04-01,4075340.73,4.08
1994-05-01,4540644.9,4.54
1994-06-01,4645615.08,4.65
1994-07-01,4752606.53,4.75
1994-08-01,5350604.67,5.35
1994-09-01,5204454.84,5.2
1994-10-01,5301651.3,5.3
1994-11-01,5773742.16,5.77
1994-12-01,6204593.48,6.2
1995-01-01,6749483.82,6.75
1995-02-01,4216067.35,4.22
1995-03-01,4949349.46,4.95
1995-04-01,4823044.9,4.82
1995-05-01,5194754.19,5.19
1995-06-01,5170787.11,5.17
1995-07-01,5256741.57,5.26
1995-08-01,5855277.29,5.86
1995-09-01,5490729.01,5.49
1995-10-01,6115293.23,6.12
1995-11-01,6088472.84,6.09
1995-12-01,7416597.92,7.42
1996-01-01,8329452.12,8.33
1996-02-01,5069795.85,5.07
1996-03-01,5262556.67,5.26
1996-04-01,5597126.28,5.6
1996-05-01,6110296,6.11
1996-06-01,5689160.84,5.69
1996-07-01,6486849.33,6.49
1996-08-01,6300569.33,6.3
1996-09-01,6467475.74,6.47
1996-10-01,6828629.39,6.83
1996-11-01,6649078.26,6.65
1996-12-01,8606937.21,8.61
1997-01-01,8524471.01,8.52
1997-02-01,5277918.37,5.28
1997-03-01,5714303.45,5.71
1997-04-01,6214529.08,6.21
1997-05-01,6411929.19,6.41
1997-06-01,6667715.64,6.67
1997-07-01,7050831.02,7.05
1997-08-01,6704918.61,6.7
1997-09-01,7250987.61,7.25
1997-10-01,7819733.18,7.82
1997-11-01,7398101.06,7.4
1997-12-01,10096233.39,10.1
1998-01-01,8798513.03,8.8
1998-02-01,5918260.76,5.92
1998-03-01,6534492.98,6.53
1998-04-01,6675735.61,6.68
1998-05-01,7064200.58,7.06
1998-06-01,7383381.18,7.38
1998-07-01,7813495.87,7.81
1998-08-01,7431892.21,7.43
1998-09-01,8275117.22,8.28
1998-10-01,8260441.38,8.26
1998-11-01,8596155.75,8.6
1998-12-01,10558939.02,10.56
1999-01-01,10391415.6,10.39
1999-02-01,6421534.56,6.42
1999-03-01,8062619.37,8.06
1999-04-01,7297739.1,7.3
1999-05-01,7936915.94,7.94
1999-06-01,8165322.98,8.17
1999-07-01,8717420.46,8.72
1999-08-01,9070963.78,9.07
1999-09-01,9177113.37,9.18
1999-10-01,9251886.74,9.25
1999-11-01,9933136.43,9.93
1999-12-01,11532974.28,11.53
2000-01-01,12511462.35,12.51
2000-02-01,7457198.53,7.46
2000-03-01,8591190.84,8.59
2000-04-01,8474000.37,8.47
2000-05-01,9386802.6,9.39
2000-06-01,9560399.45,9.56
2000-07-01,10834294.8,10.83
2000-08-01,10643750.83,10.64
2000-09-01,9908161.86,9.91
2000-10-01,11710041.3,11.71
2000-11-01,11340150.74,11.34
2000-12-01,12079131.84,12.08
2001-01-01,14497581.09,14.5
2001-02-01,8049274.77,8.05
2001-03-01,10312891.16,10.31
2001-04-01,9753358.21,9.75
2001-05-01,10850381.83,10.85
2001-06-01,9961719.16,9.96
2001-07-01,11443601.44,11.44
2001-08-01,11659238.89,11.66
2001-09-01,10647059.79,10.65
2001-10-01,12652134.44,12.65
2001-11-01,13674466.31,13.67
2001-12-01,12965735.09,12.97
2002-01-01,16300269.27,16.3
2002-02-01,9053485.36,9.05
2002-03-01,10002448.79,10
2002-04-01,10788750.07,10.79
2002-05-01,12106705.15,12.11
2002-06-01,10954101.07,10.95
2002-07-01,12844565.87,12.84
2002-08-01,12196499.85,12.2
2002-09-01,12854747.87,12.85
