ds,y
1989-01-01,75.922
1989-02-01,72.72
1989-03-01,79.352
1989-04-01,77.065
1989-05-01,85.984
1989-06-01,81.181
1989-07-01,74.55
1989-08-01,76.379
1989-09-01,75.922
1989-10-01,95.817
1989-11-01,98.79
1989-12-01,126.003
1990-01-01,76.379
1990-02-01,75.007
1990-03-01,74.321
1990-04-01,83.468
1990-05-01,82.782
1990-06-01,82.096
1990-07-01,83.24
1990-08-01,80.267
1990-09-01,80.495
1990-10-01,89.185
1990-11-01,93.987
1990-12-01,126.689
1991-01-01,70.891
1991-02-01,69.976
1991-03-01,75.236
1991-04-01,76.379
1991-05-01,78.209
1991-06-01,77.294
1991-07-01,85.526
1991-08-01,74.55
1991-09-01,80.267
1991-10-01,83.926
1991-11-01,86.67
1991-12-01,117.313
1992-01-01,83.697
1992-02-01,82.553
1992-03-01,88.499
1992-04-01,84.84
1992-05-01,83.697
1992-06-01,90.557
1992-07-01,86.67
1992-08-01,89.414
1992-09-01,90.1
1992-10-01,91.929
1992-11-01,94.445
1992-12-01,124.859
1993-01-01,82.782
1993-02-01,81.639
1993-03-01,85.298
1993-04-01,91.015
1993-05-01,94.674
1993-06-01,109.995
1993-07-01,93.53
1993-08-01,106.336
1993-09-01,102.449
1993-10-01,107.708
1993-11-01,118.228
1993-12-01,144.754
1994-01-01,105.879
1994-02-01,104.507
1994-03-01,114.34
1994-04-01,108.852
1994-05-01,111.825
1994-06-01,111.367
1994-07-01,103.592
1994-08-01,111.367
1994-09-01,108.623
1994-10-01,120.514
1994-11-01,130.576
1994-12-01,161.448
1995-01-01,122.572
1995-02-01,110.91
1995-03-01,120.514
1995-04-01,123.716
1995-05-01,130.119
1995-06-01,130.576
1995-07-01,122.572
1995-08-01,130.119
1995-09-01,124.402
1995-10-01,136.751
1995-11-01,141.782
1995-12-01,170.595
1996-01-01,127.832
1996-02-01,117.313
1996-03-01,136.065
1996-04-01,128.976
1996-05-01,139.037
1996-06-01,142.696
1996-07-01,147.27
1996-08-01,147.499
1996-09-01,150.471
1996-10-01,162.363
1996-11-01,171.281
1996-12-01,209.928
1997-01-01,155.96
1997-02-01,139.266
1997-03-01,156.188
1997-04-01,144.983
1997-05-01,148.642
1997-06-01,157.332
1997-07-01,158.475
1997-08-01,155.502
1997-09-01,158.933
1997-10-01,167.394
1997-11-01,171.967
1997-12-01,221.362
1998-01-01,158.933
1998-02-01,146.813
1998-03-01,161.905
1998-04-01,160.533
1998-05-01,161.677
1998-06-01,166.708
1998-07-01,170.367
1998-08-01,178.142
1998-09-01,178.599
1998-10-01,194.378
1998-11-01,198.266
1998-12-01,250.405
1999-01-01,179.971
1999-02-01,165.107
1999-03-01,186.146
1999-04-01,168.995
1999-05-01,185.688
1999-06-01,192.091
1999-07-01,184.087
1999-08-01,191.863
1999-09-01,190.49
1999-10-01,196.436
1999-11-01,202.61
1999-12-01,255.664
2000-01-01,185.002
2000-02-01,170.138
2000-03-01,192.777
2000-04-01,178.599
2000-05-01,197.122
2000-06-01,208.327
2000-07-01,194.835
2000-08-01,206.727
2000-09-01,197.58
2000-10-01,219.075
2000-11-01,225.021
2000-12-01,278.99
2001-01-01,214.273
2001-02-01,200.781
2001-03-01,207.87
2001-04-01,210.843
2001-05-01,222.963
2001-06-01,215.188
2001-07-01,215.188
2001-08-01,217.246
2001-09-01,209.928
2001-10-01,226.622
2001-11-01,225.021
2001-12-01,296.369
2002-01-01,211.986
2002-02-01,187.518
2002-03-01,207.413
2002-04-01,202.153
2002-05-01,209.014
2002-06-01,220.676
2002-07-01,212.215
2002-08-01,215.645
2002-09-01,209.7
2002-10-01,227.765
2002-11-01,214.959
2002-12-01,263.439
2003-01-01,187.518
2003-02-01,179.971
2003-03-01,198.266
2003-04-01,192.549
2003-05-01,199.866
2003-06-01,201.924
2003-07-01,194.835
2003-08-01,202.382
2003-09-01,199.638
2003-10-01,209.242
2003-11-01,216.331
2003-12-01,257.722
2004-01-01,176.084
2004-02-01,169.909
2004-03-01,187.289
2004-04-01,163.735
2004-05-01,167.851
2004-06-01,176.084
2004-07-01,174.712
2004-08-01,186.374
2004-09-01,184.545
2004-10-01,174.254
2004-11-01,189.347
2004-12-01,217.932
2005-01-01,154.359
2005-02-01,155.502
2005-03-01,162.363
2005-04-01,148.642
2005-05-01,160.762
2005-06-01,161.448
2005-07-01,163.964
2005-08-01,165.564
2005-09-01,156.646
2005-10-01,156.874
2005-11-01,165.336
2005-12-01,197.58
2006-01-01,151.386
2006-02-01,144.983
2006-03-01,156.417
2006-04-01,158.475
2006-05-01,165.336
2006-06-01,166.25
2006-07-01,183.401
2006-08-01,189.118
2006-09-01,180.886
2006-10-01,207.184
2006-11-01,201.238
2006-12-01,241.715
2007-01-01,185.688
2007-02-01,174.254
2007-03-01,185.231
2007-04-01,189.576
2007-05-01,199.409
2007-06-01,208.556
2007-07-01,209.242
2007-08-01,211.758
2007-09-01,213.358
2007-10-01,217.475
2007-11-01,219.99
2007-12-01,258.18
2008-01-01,203.525
2008-02-01,186.832
2008-03-01,203.525
2008-04-01,187.06
2008-05-01,200.095
2008-06-01,204.669
2008-07-01,207.87
2008-08-01,206.269
2008-09-01,213.13
2008-10-01,228.68
2008-11-01,234.397
2008-12-01,279.218
2009-01-01,208.785
2009-02-01,200.095
2009-03-01,210.157
2009-04-01,208.785
2009-05-01,210.614
2009-06-01,216.789
2009-07-01,215.645
2009-08-01,221.82
2009-09-01,215.188
2009-10-01,235.54
2009-11-01,246.746
2009-12-01,282.877
2010-01-01,220.219
2010-02-01,210.386
2010-03-01,217.475
2010-04-01,201.238
2010-05-01,223.649
2010-06-01,238.056
2010-07-01,208.785
2010-08-01,208.099
2010-09-01,211.072
2010-10-01,222.506
2010-11-01,239.199
2010-12-01,274.187
