ds,y
2011-01-01,2397.018
2011-04-01,1552.011
2011-07-01,1723.618
2011-10-01,1947.54
2012-01-01,2567.181
2012-04-01,1949.047
2012-07-01,1567.386
2012-10-01,1952.972
2013-01-01,2037.439
2013-04-01,1583.056
2013-07-01,1918.874
2013-10-01,1776.905
2014-01-01,2289.746
2014-04-01,1701.138
2014-07-01,2176.126
2014-10-01,2217.707
2015-01-01,2235.653
2015-04-01,1874.087
2015-07-01,1700.046
2015-10-01,1942.087
2016-01-01,2009.877
2016-04-01,2003.363
2016-07-01,2118.049
2016-10-01,1776.899
2017-01-01,2764.069
2017-04-01,1647.309
2017-07-01,1693.235
2017-10-01,2090.874
2018-01-01,1967.082
2018-04-01,1659.804
2018-07-01,1668.49
2018-10-01,2097.697
2019-01-01,2451.393
2019-04-01,2058.845
2019-07-01,1673.761
2019-10-01,1646.326
2020-01-01,2741.943
2020-04-01,1782.616
2020-07-01,1848.549
2020-10-01,1619.539
2021-01-01,2369.926
2021-04-01,1677.035
2021-07-01,1826.59
2021-10-01,1951.935
2022-01-01,1686.181
2022-04-01,1363.241
2022-07-01,2149.353
2022-10-01,1889.013
2023-01-01,1890.501
2023-04-01,1363.084
2023-07-01,1511.011
2023-10-01,2039.885
2024-01-01,2072.447
2024-04-01,1636.683
2024-07-01,1923.666
2024-10-01,2164.513
2025-01-01,2152.65
2025-04-01,1459.474
2025-07-01,1429.362
2025-10-01,2028.518
2026-01-01,2363.256
2026-04-01,1993.129
2026-07-01,2049.722
2026-10-01,1915.368
2027-01-01,2418.481
2027-04-01,1666.639
