ds,y
1989-01-01,57.736
1989-02-01,50.566
1989-03-01,49.151
1989-04-01,45.283
1989-05-01,46.132
1989-06-01,45.944
1989-07-01,43.208
1989-08-01,41.415
1989-09-01,36.887
1989-10-01,36.887
1989-11-01,36.793
1989-12-01,44.34
1990-01-01,43.679
1990-02-01,38.585
1990-03-01,36.981
1990-04-01,39.434
1990-05-01,40.755
1990-06-01,38.585
1990-07-01,42.547
1990-08-01,43.774
1990-09-01,41.51
1990-10-01,43.019
1990-11-01,40.849
1990-12-01,48.019
1991-01-01,43.491
1991-02-01,39.057
1991-03-01,39.245
1991-04-01,43.585
1991-05-01,45.849
1991-06-01,46.038
1991-07-01,45.661
1991-08-01,45.095
1991-09-01,44.906
1991-10-01,48.868
1991-11-01,47.83
1991-12-01,56.981
1992-01-01,53.396
1992-02-01,48.208
1992-03-01,54.057
1992-04-01,47.83
1992-05-01,51.227
1992-06-01,47.076
1992-07-01,56.981
1992-08-01,55.661
1992-09-01,55.283
1992-10-01,57.547
1992-11-01,59.246
1992-12-01,70.472
1993-01-01,54.812
1993-02-01,60.849
1993-03-01,57.359
1993-04-01,46.415
1993-05-01,46.227
1993-06-01,45.095
1993-07-01,47.076
1993-08-01,45.472
1993-09-01,44.057
1993-10-01,52.359
1993-11-01,52.076
1993-12-01,61.981
1994-01-01,51.981
1994-02-01,47.264
1994-03-01,51.604
1994-04-01,41.887
1994-05-01,43.868
1994-06-01,40.094
1994-07-01,40.378
1994-08-01,41.227
1994-09-01,37.547
1994-10-01,41.132
1994-11-01,41.604
1994-12-01,50.755
1995-01-01,50.472
1995-02-01,45.0
1995-03-01,46.321
1995-04-01,45.755
1995-05-01,46.227
1995-06-01,43.302
1995-07-01,48.679
1995-08-01,55.0
1995-09-01,55.0
1995-10-01,54.057
1995-11-01,52.547
1995-12-01,66.415
1996-01-01,55.755
1996-02-01,43.774
1996-03-01,45.189
1996-04-01,44.434
1996-05-01,48.113
1996-06-01,48.868
1996-07-01,60.0
1996-08-01,61.793
1996-09-01,62.453
1996-10-01,68.868
1996-11-01,68.963
1996-12-01,90.095
1997-01-01,71.51
1997-02-01,61.698
1997-03-01,61.981
1997-04-01,66.132
1997-05-01,69.057
1997-06-01,68.585
1997-07-01,75.566
1997-08-01,74.623
1997-09-01,71.981
1997-10-01,73.68
1997-11-01,72.547
1997-12-01,97.17
1998-01-01,80.283
1998-02-01,75.0
1998-03-01,73.868
1998-04-01,74.151
1998-05-01,76.887
1998-06-01,72.453
1998-07-01,76.604
1998-08-01,78.585
1998-09-01,77.925
1998-10-01,71.321
1998-11-01,74.906
1998-12-01,91.982
1999-01-01,72.925
1999-02-01,66.698
1999-03-01,65.755
1999-04-01,65.849
1999-05-01,65.189
1999-06-01,65.0
1999-07-01,68.302
1999-08-01,70.378
1999-09-01,69.623
1999-10-01,77.925
1999-11-01,83.208
1999-12-01,104.717
2000-01-01,72.642
2000-02-01,70.566
2000-03-01,73.397
2000-04-01,71.321
2000-05-01,77.076
2000-06-01,74.812
2000-07-01,77.83
2000-08-01,74.151
2000-09-01,67.736
2000-10-01,86.132
2000-11-01,92.076
2000-12-01,106.416
2001-01-01,96.982
2001-02-01,94.151
2001-03-01,90.472
2001-04-01,87.925
2001-05-01,96.793
2001-06-01,90.283
2001-07-01,105.661
2001-08-01,105.283
2001-09-01,102.17
2001-10-01,104.906
2001-11-01,106.038
2001-12-01,137.076
2002-01-01,99.057
2002-02-01,90.849
2002-03-01,91.698
2002-04-01,80.0
2002-05-01,85.755
2002-06-01,84.246
2002-07-01,78.585
2002-08-01,77.83
2002-09-01,77.453
2002-10-01,86.793
2002-11-01,82.453
2002-12-01,112.736
2003-01-01,106.982
2003-02-01,85.283
2003-03-01,86.793
2003-04-01,76.51
2003-05-01,79.434
2003-06-01,74.717
2003-07-01,74.246
2003-08-01,77.736
2003-09-01,71.604
2003-10-01,74.717
2003-11-01,77.547
2003-12-01,102.17
2004-01-01,78.491
2004-02-01,68.963
2004-03-01,73.302
2004-04-01,67.453
2004-05-01,70.566
2004-06-01,62.264
2004-07-01,73.114
2004-08-01,75.849
2004-09-01,68.302
2004-10-01,64.623
2004-11-01,66.227
2004-12-01,86.038
2005-01-01,89.34
2005-02-01,80.849
2005-03-01,84.246
2005-04-01,75.283
2005-05-01,84.151
2005-06-01,77.076
2005-07-01,76.981
2005-08-01,79.246
2005-09-01,76.793
2005-10-01,76.981
2005-11-01,78.868
