ds,y
1983-01-01,27.151
1983-02-01,25.97
1983-03-01,30.692
1983-04-01,34.233
1983-05-01,35.414
1983-06-01,29.512
1983-07-01,29.512
1983-08-01,33.053
1983-09-01,35.414
1983-10-01,35.414
1983-11-01,38.955
1983-12-01,60.203
1984-01-01,29.512
1984-02-01,28.331
1984-03-01,35.414
1984-04-01,33.053
1984-05-01,33.053
1984-06-01,33.053
1984-07-01,35.414
1984-08-01,38.955
1984-09-01,38.955
1984-10-01,38.955
1984-11-01,46.038
1984-12-01,76.73
1985-01-01,37.775
1985-02-01,33.053
1985-03-01,36.594
1985-04-01,37.775
1985-05-01,35.414
1985-06-01,36.594
1985-07-01,36.594
1985-08-01,34.233
1985-09-01,37.775
1985-10-01,36.594
1985-11-01,42.497
1985-12-01,68.467
1986-01-01,38.955
1986-02-01,34.233
1986-03-01,35.414
1986-04-01,41.316
1986-05-01,40.136
1986-06-01,40.136
1986-07-01,42.497
1986-08-01,42.497
1986-09-01,47.218
1986-10-01,46.038
1986-11-01,57.843
1986-12-01,94.437
1987-01-01,47.218
1987-02-01,40.136
1987-03-01,44.857
1987-04-01,49.579
1987-05-01,51.94
1987-06-01,51.94
1987-07-01,49.579
1987-08-01,44.857
1987-09-01,48.399
1987-10-01,50.76
1987-11-01,55.482
1987-12-01,90.895
1988-01-01,44.857
1988-02-01,41.316
1988-03-01,46.038
1988-04-01,53.121
1988-05-01,50.76
1988-06-01,49.579
1988-07-01,44.857
1988-08-01,43.677
1988-09-01,46.038
1988-10-01,49.579
1988-11-01,55.482
1988-12-01,90.895
1989-01-01,48.399
1989-02-01,46.038
1989-03-01,54.301
1989-04-01,47.218
1989-05-01,48.399
1989-06-01,49.579
1989-07-01,48.399
1989-08-01,50.76
1989-09-01,49.579
1989-10-01,50.76
1989-11-01,57.843
1989-12-01,87.354
1990-01-01,50.76
1990-02-01,46.038
1990-03-01,55.482
1990-04-01,49.579
1990-05-01,55.482
1990-06-01,63.745
1990-07-01,55.482
1990-08-01,60.203
1990-09-01,60.203
1990-10-01,48.399
1990-11-01,56.662
1990-12-01,83.813
1991-01-01,43.677
1991-02-01,42.497
1991-03-01,44.857
1991-04-01,47.218
1991-05-01,48.399
1991-06-01,54.301
1991-07-01,60.203
1991-08-01,54.301
1991-09-01,53.121
1991-10-01,53.121
1991-11-01,61.384
1991-12-01,87.354
1992-01-01,53.121
1992-02-01,47.218
1992-03-01,47.218
1992-04-01,54.301
1992-05-01,54.301
1992-06-01,54.301
1992-07-01,42.497
1992-08-01,47.218
1992-09-01,43.677
1992-10-01,50.76
1992-11-01,56.662
1992-12-01,81.452
1993-01-01,54.301
1993-02-01,53.121
1993-03-01,56.662
1993-04-01,55.482
1993-05-01,57.843
1993-06-01,61.384
1993-07-01,60.203
1993-08-01,59.023
1993-09-01,59.023
1993-10-01,57.843
1993-11-01,66.106
1993-12-01,95.617
1994-01-01,59.023
1994-02-01,50.76
1994-03-01,56.662
1994-04-01,56.662
1994-05-01,56.662
1994-06-01,62.564
1994-07-01,66.106
1994-08-01,62.564
1994-09-01,59.023
1994-10-01,63.745
1994-11-01,68.467
1994-12-01,99.159
1995-01-01,53.121
1995-02-01,51.94
1995-03-01,55.482
1995-04-01,64.925
1995-05-01,66.106
1995-06-01,70.828
1995-07-01,69.647
1995-08-01,68.467
1995-09-01,67.286
1995-10-01,66.106
1995-11-01,69.647
1995-12-01,103.88
1996-01-01,64.925
1996-02-01,61.384
1996-03-01,67.286
1996-04-01,63.745
1996-05-01,69.647
1996-06-01,79.091
1996-07-01,79.091
1996-08-01,67.286
1996-09-01,72.008
1996-10-01,76.73
1996-11-01,83.813
1996-12-01,119.226
1997-01-01,69.647
1997-02-01,64.925
1997-03-01,74.369
1997-04-01,73.189
1997-05-01,75.549
1997-06-01,87.354
1997-07-01,73.189
1997-08-01,76.73
1997-09-01,77.91
1997-10-01,76.73
1997-11-01,84.993
1997-12-01,120.407
1998-01-01,80.271
1998-02-01,67.286
1998-03-01,74.369
1998-04-01,86.174
1998-05-01,81.452
1998-06-01,82.632
1998-07-01,76.73
1998-08-01,79.091
1998-09-01,80.271
1998-10-01,89.715
1998-11-01,103.88
1998-12-01,154.64
1999-01-01,94.437
1999-02-01,81.452
1999-03-01,92.076
1999-04-01,109.783
1999-05-01,106.241
1999-06-01,99.159
1999-07-01,94.437
1999-08-01,92.076
1999-09-01,97.978
1999-10-01,107.422
1999-11-01,123.948
1999-12-01,211.302
2000-01-01,127.49
2000-02-01,95.617
2000-03-01,114.505
2000-04-01,107.422
2000-05-01,101.52
2000-06-01,94.437
2000-07-01,90.895
2000-08-01,88.535
2000-09-01,102.7
2000-10-01,99.159
2000-11-01,109.783
2000-12-01,192.415
2001-01-01,97.978
2001-02-01,75.549
2001-03-01,89.715
2001-04-01,110.963
2001-05-01,83.813
2001-06-01,87.354
2001-07-01,92.076
2001-08-01,90.895
2001-09-01,119.226
2001-10-01,113.324
2001-11-01,145.197
2001-12-01,207.761
2002-01-01,100.339
2002-02-01,90.895
2002-03-01,99.159
2002-04-01,90.895
2002-05-01,93.256
2002-06-01,82.632
2002-07-01,82.632
2002-08-01,88.535
2002-09-01,95.617
2002-10-01,101.52
2002-11-01,109.783
2002-12-01,167.625
2003-01-01,75.549
2003-02-01,70.828
2003-03-01,82.632
2003-04-01,75.549
2003-05-01,79.091
2003-06-01,77.91
2003-07-01,63.745
2003-08-01,70.828
2003-09-01,75.549
2003-10-01,77.91
2003-11-01,108.602
2003-12-01,152.279
2004-01-01,81.452
2004-02-01,64.925
2004-03-01,66.106
2004-04-01,66.106
2004-05-01,69.647
2004-06-01,64.925
2004-07-01,69.647
2004-08-01,67.286
2004-09-01,82.632
2004-10-01,97.978
2004-11-01,115.685
2004-12-01,179.43
