ds,y
1984-01-01,88.866
1984-02-01,76.559
1984-03-01,86.332
1984-04-01,82.893
1984-05-01,91.943
1984-06-01,87.78
1984-07-01,85.427
1984-08-01,78.731
1984-09-01,80.541
1984-10-01,83.436
1984-11-01,97.373
1984-12-01,146.059
1985-01-01,86.875
1985-02-01,71.129
1985-03-01,87.961
1985-04-01,76.378
1985-05-01,76.921
1985-06-01,86.151
1985-07-01,89.952
1985-08-01,95.925
1985-09-01,104.431
1985-10-01,107.508
1985-11-01,106.965
1985-12-01,174.112
1986-01-01,100.268
1986-02-01,75.292
1986-03-01,78.912
1986-04-01,80.541
1986-05-01,75.111
1986-06-01,86.875
1986-07-01,87.78
1986-08-01,98.64
1986-09-01,114.929
1986-10-01,120.72
1986-11-01,109.499
1986-12-01,184.791
1987-01-01,106.603
1987-02-01,86.513
1987-03-01,88.866
1987-04-01,87.961
1987-05-01,86.513
1987-06-01,96.649
1987-07-01,97.373
1987-08-01,99.725
1987-09-01,104.974
1987-10-01,98.278
1987-11-01,110.766
1987-12-01,190.401
1988-01-01,95.744
1988-02-01,85.97
1988-03-01,88.323
1988-04-01,90.857
1988-05-01,91.4
1988-06-01,104.069
1988-07-01,95.382
1988-08-01,106.06
1988-09-01,109.137
1988-10-01,106.422
1988-11-01,113.3
1988-12-01,160.719
1989-01-01,99.002
1989-02-01,87.418
1989-03-01,98.64
1989-04-01,94.477
1989-05-01,100.811
1989-06-01,105.698
1989-07-01,105.336
1989-08-01,112.033
1989-09-01,107.508
1989-10-01,114.929
1989-11-01,121.263
1989-12-01,186.058
1990-01-01,112.214
1990-02-01,97.192
1990-03-01,106.241
1990-04-01,110.223
1990-05-01,117.101
1990-06-01,121.082
1990-07-01,105.879
1990-08-01,111.671
1990-09-01,113.119
1990-10-01,106.603
1990-11-01,111.852
1990-12-01,167.778
1991-01-01,99.725
1991-02-01,86.151
1991-03-01,89.409
1991-04-01,86.694
1991-05-01,89.771
1991-06-01,92.486
1991-07-01,95.563
1991-08-01,93.572
1991-09-01,96.649
1991-10-01,104.25
1991-11-01,109.68
1991-12-01,168.321
1992-01-01,99.183
1992-02-01,89.771
1992-03-01,97.916
1992-04-01,94.658
1992-05-01,98.278
1992-06-01,110.223
1992-07-01,114.024
1992-08-01,100.63
1992-09-01,107.87
1992-10-01,112.033
1992-11-01,122.168
1992-12-01,183.162
1993-01-01,114.567
1993-02-01,98.278
1993-03-01,116.92
1993-04-01,118.005
1993-05-01,111.128
1993-06-01,123.254
1993-07-01,112.033
1993-08-01,112.395
1993-09-01,112.214
1993-10-01,116.377
1993-11-01,120.539
1993-12-01,191.125
1994-01-01,127.055
1994-02-01,106.422
1994-03-01,117.463
1994-04-01,116.015
1994-05-01,117.644
1994-06-01,124.521
1994-07-01,129.227
1994-08-01,127.96
1994-09-01,129.77
1994-10-01,132.485
1994-11-01,143.163
1994-12-01,217.912
1995-01-01,139.362
1995-02-01,124.34
1995-03-01,146.783
1995-04-01,131.761
1995-05-01,134.295
1995-06-01,140.629
1995-07-01,142.801
1995-08-01,146.602
1995-09-01,149.136
1995-10-01,163.253
1995-11-01,172.121
1995-12-01,276.553
1996-01-01,172.483
1996-02-01,147.326
1996-03-01,156.737
1996-04-01,159.09
1996-05-01,162.348
1996-06-01,167.235
1996-07-01,160.538
1996-08-01,158.366
1996-09-01,163.615
1996-10-01,187.868
1996-11-01,199.27
1996-12-01,335.374
1997-01-01,181.533
1997-02-01,144.43
1997-03-01,177.732
1997-04-01,181.895
1997-05-01,180.447
1997-06-01,183.343
1997-07-01,176.646
1997-08-01,174.474
1997-09-01,184.791
1997-10-01,171.579
1997-11-01,192.754
1997-12-01,321.8
1998-01-01,192.573
1998-02-01,143.525
1998-03-01,160.719
1998-04-01,157.099
1998-05-01,158.004
1998-06-01,167.778
1998-07-01,159.633
1998-08-01,150.584
1998-09-01,162.348
1998-10-01,140.086
1998-11-01,166.511
1998-12-01,289.222
1999-01-01,133.209
1999-02-01,119.815
1999-03-01,125.969
1999-04-01,137.733
1999-05-01,123.616
1999-06-01,134.114
1999-07-01,150.765
1999-08-01,153.118
1999-09-01,165.606
1999-10-01,154.927
1999-11-01,189.316
1999-12-01,301.167
2000-01-01,146.602
2000-02-01,129.77
2000-03-01,137.552
2000-04-01,140.086
2000-05-01,142.439
2000-06-01,146.602
2000-07-01,155.289
2000-08-01,163.796
2000-09-01,179.361
2000-10-01,172.302
2000-11-01,192.03
2000-12-01,287.231
2001-01-01,161.805
2001-02-01,139.181
2001-03-01,161.986
2001-04-01,156.013
2001-05-01,153.299
2001-06-01,156.375
2001-07-01,178.275
2001-08-01,206.329
2001-09-01,229.314
2001-10-01,209.224
2001-11-01,261.531
2001-12-01,373.925
2002-01-01,220.265
2002-02-01,182.438
2002-03-01,177.913
2002-04-01,189.678
2002-05-01,182.981
2002-06-01,168.14
2002-07-01,182.438
2002-08-01,192.211
2002-09-01,234.02
2002-10-01,241.079
2002-11-01,242.527
2002-12-01,368.315
2003-01-01,204.338
2003-02-01,160.176
2003-03-01,182.981
2003-04-01,179.542
2003-05-01,183.162
2003-06-01,202.89
2003-07-01,193.84
2003-08-01,219.903
2003-09-01,247.594
