ds,y
1979-01-01,203.482
1979-02-01,186.456
1979-03-01,223.831
1979-04-01,222.169
1979-05-01,235.873
1979-06-01,239.611
1979-07-01,252.899
1979-08-01,267.019
1979-09-01,257.052
1979-10-01,249.577
1979-11-01,240.026
1979-12-01,303.978
1980-01-01,215.525
1980-02-01,203.898
1980-03-01,233.797
1980-04-01,213.034
1980-05-01,239.611
1980-06-01,234.212
1980-07-01,240.441
1980-08-01,252.484
1980-09-01,241.687
1980-10-01,236.704
1980-11-01,249.993
1980-12-01,303.978
1981-01-01,250.823
1981-02-01,245.84
1981-03-01,269.926
1981-04-01,253.73
1981-05-01,284.875
1981-06-01,271.587
1981-07-01,294.011
1981-08-01,295.672
1981-09-01,280.307
1981-10-01,281.968
1981-11-01,279.892
1981-12-01,330.555
1982-01-01,260.79
1982-02-01,238.78
1982-03-01,256.222
1982-04-01,280.723
1982-05-01,294.011
1982-06-01,275.324
1982-07-01,303.147
1982-08-01,309.376
1982-09-01,293.181
1982-10-01,293.596
1982-11-01,278.646
1982-12-01,335.953
1983-01-01,255.391
1983-02-01,242.518
1983-03-01,271.171
1983-04-01,274.078
1983-05-01,288.197
1983-06-01,287.782
1983-07-01,296.503
1983-08-01,306.054
1983-09-01,293.181
1983-10-01,298.994
1983-11-01,273.248
1983-12-01,333.462
1984-01-01,270.341
1984-02-01,258.713
1984-03-01,287.782
1984-04-01,269.095
1984-05-01,278.231
1984-06-01,303.978
1984-07-01,318.097
1984-08-01,320.588
1984-09-01,324.741
1984-10-01,313.529
1984-11-01,325.572
1984-12-01,408.21
1985-01-01,223.415
1985-02-01,230.475
1985-03-01,242.933
1985-04-01,246.67
1985-05-01,264.942
1985-06-01,273.248
1985-07-01,286.536
1985-08-01,314.775
1985-09-01,288.197
1985-10-01,287.367
1985-11-01,296.503
1985-12-01,346.75
1986-01-01,281.138
1986-02-01,280.307
1986-03-01,301.901
1986-04-01,269.095
1986-05-01,283.629
1986-06-01,265.773
1986-07-01,311.037
1986-08-01,327.648
1986-09-01,296.918
1986-10-01,322.665
1986-11-01,310.622
1986-12-01,374.989
1987-01-01,275.739
1987-02-01,270.341
1987-03-01,298.579
1987-04-01,311.453
1987-05-01,346.75
1987-06-01,325.572
1987-07-01,362.946
1987-08-01,331.801
1987-09-01,312.698
1987-10-01,374.574
1987-11-01,355.886
1987-12-01,437.279
1988-01-01,370.006
1988-02-01,327.233
1988-03-01,352.564
1988-04-01,402.812
1988-05-01,419.007
1988-06-01,402.397
1988-07-01,477.976
1988-08-01,475.484
1988-09-01,454.721
1988-10-01,481.713
1988-11-01,475.484
1988-12-01,572.657
1989-01-01,424.406
1989-02-01,401.566
1989-03-01,473.408
1989-04-01,502.061
1989-05-01,513.689
1989-06-01,515.765
1989-07-01,551.063
1989-08-01,559.784
1989-09-01,566.013
1989-10-01,563.106
1989-11-01,580.963
1989-12-01,718.832
1990-01-01,459.289
1990-02-01,473.408
1990-03-01,497.078
1990-04-01,490.019
1990-05-01,470.086
1990-06-01,464.687
1990-07-01,508.29
1990-08-01,501.231
1990-09-01,485.035
1990-10-01,519.503
1990-11-01,528.223
1990-12-01,672.737
1991-01-01,455.551
1991-02-01,475.069
1991-03-01,517.842
1991-04-01,493.756
1991-05-01,541.512
1991-06-01,548.572
1991-07-01,570.996
1991-08-01,604.633
1991-09-01,567.259
1991-10-01,624.151
1991-11-01,609.616
1991-12-01,743.749
1992-01-01,534.037
1992-02-01,523.24
1992-03-01,583.454
1992-04-01,546.911
1992-05-01,581.793
1992-06-01,585.115
1992-07-01,642.838
