ds,y
2007-01-01,37.974
2007-02-01,37.068
2007-03-01,38.971
2007-04-01,38.699
2007-05-01,42.959
2007-06-01,39.062
2007-07-01,34.439
2007-08-01,36.433
2007-09-01,31.992
2007-10-01,32.899
2007-11-01,33.714
2007-12-01,43.684
2008-01-01,30.995
2008-02-01,28.458
2008-03-01,30.814
2008-04-01,34.802
2008-05-01,36.524
2008-06-01,33.805
2008-07-01,35.708
2008-08-01,35.618
2008-09-01,34.621
2008-10-01,38.608
2008-11-01,39.424
2008-12-01,47.853
2009-01-01,39.333
2009-02-01,33.896
2009-03-01,35.799
2009-04-01,37.249
2009-05-01,42.143
2009-06-01,37.883
2009-07-01,35.708
2009-08-01,36.343
2009-09-01,38.971
2009-10-01,38.971
2009-11-01,40.149
2009-12-01,45.587
2010-01-01,39.062
2010-02-01,37.883
2010-03-01,41.509
2010-04-01,40.058
2010-05-01,41.871
2010-06-01,42.505
2010-07-01,47.581
2010-08-01,46.674
2010-09-01,47.762
2010-10-01,47.037
2010-11-01,48.668
2010-12-01,58.819
2011-01-01,45.678
2011-02-01,43.865
2011-03-01,49.393
2011-04-01,43.321
2011-05-01,43.321
2011-06-01,43.231
2011-07-01,47.49
2011-08-01,52.837
2011-09-01,51.84
2011-10-01,57.278
2011-11-01,59.544
2011-12-01,66.794
2012-01-01,50.3
2012-02-01,47.399
2012-03-01,52.928
2012-04-01,51.568
2012-05-01,58.094
2012-06-01,56.462
2012-07-01,55.647
2012-08-01,57.913
2012-09-01,57.459
2012-10-01,57.641
2012-11-01,59.635
2012-12-01,67.066
2013-01-01,51.84
2013-02-01,49.756
2013-03-01,55.375
2013-04-01,55.556
2013-05-01,60.541
2013-06-01,57.006
2013-07-01,60.994
2013-08-01,59.272
2013-09-01,57.55
2013-10-01,56.009
2013-11-01,58.094
2013-12-01,62.897
2014-01-01,55.012
2014-02-01,50.481
2014-03-01,55.737
2014-04-01,57.55
2014-05-01,59.181
2014-06-01,57.188
2014-07-01,54.922
2014-08-01,53.653
2014-09-01,55.375
2014-10-01,60.722
2014-11-01,60.541
2014-12-01,71.054
2015-01-01,45.406
2015-02-01,44.137
2015-03-01,50.934
2015-04-01,50.481
2015-05-01,51.568
2015-06-01,52.837
2015-07-01,52.203
2015-08-01,52.112
2015-09-01,54.469
2015-10-01,52.565
2015-11-01,58.094
2015-12-01,68.335
2016-01-01,49.484
2016-02-01,47.49
2016-03-01,52.475
2016-04-01,52.837
2016-05-01,52.294
2016-06-01,51.025
2016-07-01,51.931
2016-08-01,52.384
2016-09-01,52.475
2016-10-01,53.562
2016-11-01,61.175
2016-12-01,67.247
2017-01-01,54.65
2017-02-01,50.028
2017-03-01,56.916
2017-04-01,54.741
2017-05-01,58.638
2017-06-01,59.363
2017-07-01,54.015
2017-08-01,57.913
2017-09-01,54.831
2017-10-01,58.728
2017-11-01,62.807
2017-12-01,70.238
2018-01-01,58.003
2018-02-01,58.638
2018-03-01,66.069
2018-04-01,57.278
2018-05-01,59.544
2018-06-01,59.635
2018-07-01,58.728
2018-08-01,65.707
2018-09-01,63.35
2018-10-01,67.882
2018-11-01,68.154
2018-12-01,73.048
2019-01-01,64.619
2019-02-01,63.532
2019-03-01,68.154
2019-04-01,77.036
2019-05-01,82.111
2019-06-01,78.848
2019-07-01,83.38
2019-08-01,84.014
2019-09-01,83.198
2019-10-01,86.552
2019-11-01,85.011
2019-12-01,102.503
2020-01-01,72.957
2020-02-01,71.688
2020-03-01,80.026
2020-04-01,81.839
2020-05-01,88.636
2020-06-01,86.008
2020-07-01,93.621
2020-08-01,92.624
2020-09-01,93.168
2020-10-01,98.877
2020-11-01,96.43
2020-12-01,110.478
2021-01-01,77.126
2021-02-01,76.582
2021-03-01,87.005
2021-04-01,82.655
2021-05-01,86.642
2021-06-01,85.645
2021-07-01,87.73
2021-08-01,90.539
2021-09-01,86.733
2021-10-01,86.642
2021-11-01,86.37
2021-12-01,98.515
2022-01-01,78.214
2022-02-01,79.573
2022-03-01,90.358
2022-04-01,77.489
2022-05-01,83.289
2022-06-01,82.02
2022-07-01,86.642
2022-08-01,90.902
2022-09-01,90.086
2022-10-01,87.095
2022-11-01,90.358
2022-12-01,107.034
2023-01-01,79.12
2023-02-01,83.47
2023-03-01,88.546
2023-04-01,83.289
2023-05-01,86.824
2023-06-01,85.192
2023-07-01,92.986
2023-08-01,95.252
2023-09-01,91.718
2023-10-01,89.089
2023-11-01,90.358
2023-12-01,99.33
2024-01-01,85.827
2024-02-01,84.195
2024-03-01,89.996
2024-04-01,89.271
2024-05-01,97.155
2024-06-01,87.639
2024-07-01,98.696
2024-08-01,101.506
2024-09-01,100.056
2024-10-01,99.784
2024-11-01,99.874
2024-12-01,112.744
2025-01-01,80.389
2025-02-01,82.655
2025-03-01,90.539
2025-04-01,93.711
2025-05-01,103.771
2025-06-01,95.887
2025-07-01,99.512
2025-08-01,96.34
2025-09-01,98.877
2025-10-01,101.868
2025-11-01,104.587
2025-12-01,122.622
2026-01-01,99.874
2026-02-01,99.24
2026-03-01,108.937
2026-04-01,105.493
2026-05-01,115.735
2026-06-01,115.735
2026-07-01,116.731
2026-08-01,117.185
2026-09-01,119.269
2026-10-01,109.39
2026-11-01,113.922
2026-12-01,130.779
2027-01-01,101.777
2027-02-01,106.762
2027-03-01,112.381
2027-04-01,110.84
2027-05-01,112.019
2027-06-01,112.925
2027-07-01,118.997
2027-08-01,123.891
2027-09-01,123.438
2027-10-01,122.26
2027-11-01,124.435
2027-12-01,143.649
2028-01-01,106.037
2028-02-01,105.312
