ds,y
1981-01-01,77.492
1981-02-01,68.799
1981-03-01,75.815
1981-04-01,71.446
1981-05-01,81.155
1981-06-01,80.449
1981-07-01,76.433
1981-08-01,78.331
1981-09-01,82.435
1981-10-01,89.143
1981-11-01,93.511
1981-12-01,119.328
1982-01-01,81.64
1982-02-01,78.375
1982-03-01,75.595
1982-04-01,76.036
1982-05-01,81.023
1982-06-01,79.478
1982-07-01,86.936
1982-08-01,90.158
1982-09-01,80.096
1982-10-01,98.101
1982-11-01,98.631
1982-12-01,118.004
1983-01-01,100.705
1983-02-01,88.525
1983-03-01,88.834
1983-04-01,94.703
1983-05-01,98.763
1983-06-01,92.629
1983-07-01,95.409
1983-08-01,96.203
1983-09-01,99.248
1983-10-01,105.647
1983-11-01,109.575
1983-12-01,131.86
1984-01-01,107.81
1984-02-01,91.526
1984-03-01,101.896
1984-04-01,99.557
1984-05-01,100.925
1984-06-01,104.72
1984-07-01,94.262
1984-08-01,90.731
1984-09-01,90.82
1984-10-01,105.206
1984-11-01,103.75
1984-12-01,132.213
1985-01-01,98.145
1985-02-01,94.924
1985-03-01,102.646
1985-04-01,95.806
1985-05-01,105.647
1985-06-01,104.676
1985-07-01,108.251
1985-08-01,109.001
1985-09-01,106.971
1985-10-01,114.826
1985-11-01,118.754
1985-12-01,142.319
1986-01-01,109.928
1986-02-01,107.589
1986-03-01,111.384
1986-04-01,102.514
1986-05-01,109.84
1986-06-01,125.506
1986-07-01,107.457
1986-08-01,112.134
1986-09-01,116.503
1986-10-01,111.384
1986-11-01,117.651
1986-12-01,141.613
1987-01-01,107.854
1987-02-01,96.027
1987-03-01,105.912
1987-04-01,100.44
1987-05-01,100.44
1987-06-01,107.765
1987-07-01,109.045
1987-08-01,110.899
1987-09-01,105.78
1987-10-01,119.945
1987-11-01,122.328
1987-12-01,144.614
1988-01-01,118.886
1988-02-01,101.94
1988-03-01,109.31
1988-04-01,104.323
1988-05-01,113.017
1988-06-01,111.825
1988-07-01,99.072
1988-08-01,105.162
1988-09-01,101.322
1988-10-01,121.181
1988-11-01,122.593
1988-12-01,142.849
1989-01-01,116.768
1989-02-01,101.543
1989-03-01,109.487
1989-04-01,107.192
1989-05-01,117.386
1989-06-01,115.223
1989-07-01,127.094
1989-08-01,128.639
1989-09-01,127.712
1989-10-01,147.482
1989-11-01,149.865
1989-12-01,176.697
1990-01-01,146.953
1990-02-01,124.094
1990-03-01,135.656
1990-04-01,131.86
1990-05-01,139.583
1990-06-01,147.394
1990-07-01,153.043
1990-08-01,145.673
1990-09-01,153.837
1990-10-01,163.987
1990-11-01,165.488
1990-12-01,204.145
1991-01-01,157.941
1991-02-01,139.495
1991-03-01,148.321
1991-04-01,148.939
1991-05-01,150.925
1991-06-01,153.881
1991-07-01,160.677
1991-08-01,163.325
1991-09-01,159.089
1991-10-01,172.857
1991-11-01,179.344
1991-12-01,228.108
1992-01-01,165.002
1992-02-01,151.851
1992-03-01,163.104
1992-04-01,163.855
1992-05-01,174.975
1992-06-01,177.182
1992-07-01,181.463
1992-08-01,184.684
1992-09-01,191.877
1992-10-01,195.672
1992-11-01,199.644
1992-12-01,244.613
1993-01-01,190.597
1993-02-01,167.826
1993-03-01,185.964
1993-04-01,172.372
1993-05-01,188.082
1993-06-01,194.746
1993-07-01,178.815
1993-08-01,183.493
1993-09-01,187.508
1993-10-01,193.289
1993-11-01,204.145
1993-12-01,243.553
1994-01-01,179.477
1994-02-01,158.912
1994-03-01,164.649
1994-04-01,162.089
1994-05-01,168.444
1994-06-01,168.224
1994-07-01,172.239
1994-08-01,169.283
1994-09-01,164.561
1994-10-01,175.637
1994-11-01,178.329
1994-12-01,242.583
1995-01-01,177.447
1995-02-01,146.644
1995-03-01,159.309
1995-04-01,161.516
1995-05-01,174.622
1995-06-01,183.316
1995-07-01,178.771
1995-08-01,175.328
1995-09-01,176.035
1995-10-01,188.391
1995-11-01,192.98
1995-12-01,237.64
1996-01-01,178.153
1996-02-01,153.131
1996-03-01,160.236
1996-04-01,155.073
1996-05-01,158.338
1996-06-01,166.502
1996-07-01,167.429
1996-08-01,163.149
1996-09-01,165.002
1996-10-01,188.126
1996-11-01,188.788
1996-12-01,239.935
1997-01-01,178.771
1997-02-01,160.368
1997-03-01,171.269
1997-04-01,166.723
1997-05-01,172.548
1997-06-01,183.89
1997-07-01,185.655
1997-08-01,188.17
1997-09-01,192.539
1997-10-01,218.223
1997-11-01,229.079
1997-12-01,266.633
1998-01-01,200.218
1998-02-01,186.67
1998-03-01,197.393
1998-04-01,181.904
1998-05-01,203.748
1998-06-01,208.249
1998-07-01,205.028
1998-08-01,207.72
1998-09-01,220.165
1998-10-01,230.05
1998-11-01,234.507
1998-12-01,278.372
1999-01-01,226.563
1999-02-01,192.274
1999-03-01,207.499
1999-04-01,207.499
1999-05-01,219.9
1999-06-01,224.18
