ds,y
1981-01-01,56.394
1981-02-01,49.522
1981-03-01,58.178
1981-04-01,61.903
1981-05-01,65.68
1981-06-01,66.309
1981-07-01,67.254
1981-08-01,57.024
1981-09-01,53.876
1981-10-01,57.916
1981-11-01,62.218
1981-12-01,90.284
1982-01-01,51.044
1982-02-01,45.221
1982-03-01,56.447
1982-04-01,58.86
1982-05-01,59.962
1982-06-01,52.722
1982-07-01,54.821
1982-08-01,50.781
1982-09-01,52.46
1982-10-01,55.817
1982-11-01,57.706
1982-12-01,90.441
1983-01-01,56.604
1983-02-01,46.112
1983-03-01,51.83
1983-04-01,58.965
1983-05-01,54.663
1983-06-01,54.611
1983-07-01,51.621
1983-08-01,47.686
1983-09-01,47.634
1983-10-01,51.568
1983-11-01,54.611
1983-12-01,79.844
1984-01-01,50.414
1984-02-01,39.555
1984-03-01,46.794
1984-04-01,54.506
1984-05-01,54.086
1984-06-01,50.257
1984-07-01,49.994
1984-08-01,45.011
1984-09-01,44.696
1984-10-01,52.827
1984-11-01,50.099
1984-12-01,71.975
1985-01-01,49.05
1985-02-01,36.774
1985-03-01,46.112
1985-04-01,56.237
1985-05-01,54.558
1985-06-01,47.319
1985-07-01,51.778
1985-08-01,47.004
1985-09-01,49.68
1985-10-01,53.142
1985-11-01,56.762
1985-12-01,79.267
1986-01-01,48.683
1986-02-01,43.437
1986-03-01,53.929
1986-04-01,64.106
1986-05-01,67.516
1986-06-01,62.795
1986-07-01,69.247
1986-08-01,62.375
1986-09-01,63.949
1986-10-01,64.368
1986-11-01,70.716
1986-12-01,108.435
1987-01-01,59.437
1987-02-01,56.394
1987-03-01,70.821
1987-04-01,75.805
1987-05-01,74.546
1987-06-01,77.169
1987-07-01,73.444
1987-08-01,73.496
1987-09-01,79.267
1987-10-01,79.792
1987-11-01,81.575
1987-12-01,121.655
1988-01-01,71.398
1988-02-01,63.582
1988-03-01,74.86
1988-04-01,77.956
1988-05-01,86.769
1988-06-01,96.212
1988-07-01,58.178
1988-08-01,63.004
1988-09-01,63.739
1988-10-01,63.739
1988-11-01,77.431
1988-12-01,115.36
1989-01-01,65.313
1989-02-01,56.814
1989-03-01,72.132
1989-04-01,74.756
1989-05-01,75.857
1989-06-01,72.185
1989-07-01,67.831
1989-08-01,64.263
1989-09-01,64.526
1989-10-01,70.873
1989-11-01,74.756
1989-12-01,110.323
1990-01-01,68.46
1990-02-01,59.909
1990-03-01,73.549
1990-04-01,86.664
1990-05-01,88.552
1990-06-01,80.211
1990-07-01,78.323
1990-08-01,77.326
1990-09-01,79.897
1990-10-01,86.349
1990-11-01,92.277
1990-12-01,124.383
1991-01-01,71.818
1991-02-01,66.782
1991-03-01,85.038
1991-04-01,93.589
1991-05-01,95.53
1991-06-01,87.503
1991-07-01,82.572
1991-08-01,80.106
1991-09-01,82.52
1991-10-01,93.746
1991-11-01,98.677
1991-12-01,137.235
1992-01-01,85.929
1992-02-01,81.68
1992-03-01,89.812
1992-04-01,103.766
1992-05-01,107.176
1992-06-01,101.72
1992-07-01,100.356
1992-08-01,95.844
1992-09-01,97.838
1992-10-01,99.779
1992-11-01,100.985
1992-12-01,137.707
1993-01-01,86.297
1993-02-01,79.372
1993-03-01,93.903
1993-04-01,93.012
1993-05-01,105.287
1993-06-01,101.615
1993-07-01,92.225
1993-08-01,92.539
1993-09-01,103.556
1993-10-01,100.776
1993-11-01,99.569
1993-12-01,137.445
1994-01-01,87.556
1994-02-01,80.054
1994-03-01,95.32
1994-04-01,98.677
1994-05-01,99.936
1994-06-01,98.31
1994-07-01,92.697
1994-08-01,94.743
1994-09-01,99.517
1994-10-01,110.114
1994-11-01,112.212
1994-12-01,150.245
1995-01-01,100.461
1995-02-01,93.589
1995-03-01,115.36
1995-04-01,116.461
1995-05-01,119.399
1995-06-01,118.927
1995-07-01,118.35
1995-08-01,113.733
1995-09-01,116.356
1995-10-01,129.629
1995-11-01,136.239
1995-12-01,189.223
1996-01-01,116.671
1996-02-01,106.284
1996-03-01,119.346
1996-04-01,137.13
1996-05-01,145.734
1996-06-01,127.793
1996-07-01,135.819
1996-08-01,130.73
1996-09-01,139.596
1996-10-01,145.104
1996-11-01,151.609
1996-12-01,214.247
1997-01-01,141.694
1997-02-01,117.563
1997-03-01,151.977
1997-04-01,160.737
1997-05-01,162.941
1997-06-01,155.334
1997-07-01,151.609
1997-08-01,146.993
1997-09-01,147.255
1997-10-01,147.36
1997-11-01,158.534
1997-12-01,215.348
1998-01-01,149.511
1998-02-01,121.288
1998-03-01,147.622
1998-04-01,149.878
1998-05-01,158.796
1998-06-01,152.134
1998-07-01,148.409
1998-08-01,140.488
1998-09-01,146.94
1998-10-01,158.272
1998-11-01,167.138
1998-12-01,249.657
1999-01-01,148.357
1999-02-01,122.756
1999-03-01,152.554
1999-04-01,162.678
1999-05-01,164.305
1999-06-01,158.324
1999-07-01,141.012
1999-08-01,138.18
1999-09-01,139.124
1999-10-01,151.609
1999-11-01,150.875
1999-12-01,239.375
2000-01-01,152.344
2000-02-01,124.173
2000-03-01,160.475
2000-04-01,156.121
2000-05-01,165.564
2000-06-01,162.731
2000-07-01,150.718
2000-08-01,148.724
2000-09-01,143.845
2000-10-01,165.249
2000-11-01,174.482
2000-12-01,247.192
2001-01-01,164.357
2001-02-01,140.803
2001-03-01,152.186
2001-04-01,180.515
2001-05-01,188.594
2001-06-01,176.108
2001-07-01,165.197
2001-08-01,176.475
2001-09-01,178.259
2001-10-01,210.155
2001-11-01,217.394
2001-12-01,296.661
2002-01-01,186.81
2002-02-01,158.901
2002-03-01,180.567
2002-04-01,191.584
2002-05-01,199.4
2002-06-01,189.171
2002-07-01,170.652
2002-08-01,168.921
2002-09-01,168.239
2002-10-01,179.623
2002-11-01,173.433
2002-12-01,267.546
