ds,y
2003-01-01,316.159
2003-04-01,331.38
2003-07-01,328.607
2003-10-01,407.716
2004-01-01,383.181
2004-04-01,373.708
2004-07-01,266.315
2004-10-01,304.207
2005-01-01,313.209
2005-04-01,355.244
2005-07-01,312.617
2005-10-01,358.599
2006-01-01,374.341
2006-04-01,337.439
2006-07-01,342.581
2006-10-01,422.509
2007-01-01,555.357
2007-04-01,339.635
2007-07-01,333.995
2007-10-01,394.737
2008-01-01,417.892
2008-04-01,435.885
2008-07-01,346.794
2008-10-01,387.726
2009-01-01,421.639
2009-04-01,448.401
2009-07-01,420.408
2009-10-01,392.255
2010-01-01,431.742
2010-04-01,311.31
2010-07-01,390.69
2010-10-01,413.171
2011-01-01,428.93
2011-04-01,362.374
2011-07-01,348.923
2011-10-01,431.959
2012-01-01,393.74
2012-04-01,353.987
2012-07-01,356.741
2012-10-01,336.925
2013-01-01,389.331
2013-04-01,315.938
2013-07-01,352.805
2013-10-01,315.748
2014-01-01,387.603
2014-04-01,380.055
2014-07-01,299.278
2014-10-01,312.818
2015-01-01,313.85
2015-04-01,247.36
2015-07-01,256.923
2015-10-01,357.194
2016-01-01,340.273
2016-04-01,299.509
2016-07-01,379.821
2016-10-01,388.086
2017-01-01,359.517
2017-04-01,299.906
2017-07-01,304.017
2017-10-01,468.639
2018-01-01,394.058
2018-04-01,502.863
2018-07-01,381.444
2018-10-01,417.908
2019-01-01,590.054
2019-04-01,653.41
2019-07-01,575.225
2019-10-01,533.538
