ds,y
1981-01-01,192.467
1981-02-01,173.645
1981-03-01,205.217
1981-04-01,219.181
1981-05-01,231.324
1981-06-01,214.931
1981-07-01,219.181
1981-08-01,200.967
1981-09-01,205.824
1981-10-01,225.86
1981-11-01,213.11
1981-12-01,296.289
1982-01-01,200.36
1982-02-01,168.788
1982-03-01,199.752
1982-04-01,204.61
1982-05-01,216.145
1982-06-01,215.538
1982-07-01,210.681
1982-08-01,194.895
1982-09-01,214.931
1982-10-01,222.824
1982-11-01,234.36
1982-12-01,323.611
1983-01-01,205.217
1983-02-01,180.931
1983-03-01,216.753
1983-04-01,248.324
1983-05-01,229.503
1983-06-01,221.003
1983-07-01,216.145
1983-08-01,217.967
1983-09-01,239.824
1983-10-01,249.539
1983-11-01,253.182
1983-12-01,374.004
1984-01-01,230.11
1984-02-01,206.431
1984-03-01,250.753
1984-04-01,270.789
1984-05-01,268.967
1984-06-01,250.753
1984-07-01,239.217
1984-08-01,250.146
1984-09-01,243.467
1984-10-01,258.039
1984-11-01,274.432
1984-12-01,398.898
1985-01-01,250.753
1985-02-01,217.967
1985-03-01,231.324
1985-04-01,234.36
1985-05-01,236.788
1985-06-01,228.288
1985-07-01,224.646
1985-08-01,199.145
1985-09-01,191.859
1985-10-01,207.038
1985-11-01,208.86
1985-12-01,300.539
1986-01-01,205.824
1986-02-01,162.109
1986-03-01,195.502
1986-04-01,243.467
1986-05-01,248.932
1986-06-01,222.217
1986-07-01,248.932
1986-08-01,213.717
1986-09-01,216.145
1986-10-01,258.039
1986-11-01,260.467
1986-12-01,349.111
1987-01-01,252.574
1987-02-01,194.288
1987-03-01,246.503
1987-04-01,282.932
1987-05-01,284.146
1987-06-01,263.503
1987-07-01,277.468
1987-08-01,248.324
1987-09-01,260.467
1987-10-01,289.003
1987-11-01,280.503
1987-12-01,395.862
1988-01-01,244.074
1988-02-01,210.681
1988-03-01,280.503
1988-04-01,299.325
1988-05-01,293.253
1988-06-01,286.575
1988-07-01,297.504
1988-08-01,272.003
1988-09-01,290.218
1988-10-01,303.575
1988-11-01,309.646
1988-12-01,448.077
1989-01-01,258.646
1989-02-01,221.003
1989-03-01,267.146
1989-04-01,271.396
1989-05-01,301.146
1989-06-01,331.504
1989-07-01,242.253
1989-08-01,252.574
1989-09-01,278.075
1989-10-01,281.11
1989-11-01,319.968
