ds,y
1984-01-01,17.397
1984-02-01,15.725
1984-03-01,17.182
1984-04-01,16.37
1984-05-01,16.25
1984-06-01,15.259
1984-07-01,15.582
1984-08-01,16.203
1984-09-01,16.537
1984-10-01,18.376
1984-11-01,18.101
1984-12-01,21.396
1985-01-01,19.211
1985-02-01,18.746
1985-03-01,19.761
1985-04-01,19.629
1985-05-01,19.2
1985-06-01,18.734
1985-07-01,18.925
1985-08-01,20.214
1985-09-01,19.617
1985-10-01,21.993
1985-11-01,22.925
1985-12-01,26.196
1986-01-01,20.059
1986-02-01,19.892
1986-03-01,20.322
1986-04-01,19.498
1986-05-01,20.047
1986-06-01,20.811
1986-07-01,20.191
1986-08-01,20.668
1986-09-01,19.594
1986-10-01,21.313
1986-11-01,20.549
1986-12-01,22.543
1987-01-01,19.713
1987-02-01,17.85
1987-03-01,19.223
1987-04-01,19.737
1987-05-01,19.713
1987-06-01,19.271
1987-07-01,24.035
1987-08-01,23.999
1987-09-01,23.916
1987-10-01,24.764
1987-11-01,24.441
1987-12-01,28.752
1988-01-01,27.904
1988-02-01,24.811
1988-03-01,25.552
1988-04-01,26.137
1988-05-01,26.184
1988-06-01,25.361
1988-07-01,25.874
1988-08-01,25.301
1988-09-01,26.101
1988-10-01,26.674
1988-11-01,25.002
1988-12-01,29.587
1989-01-01,26.232
1989-02-01,24.704
1989-03-01,26.077
1989-04-01,27.032
1989-05-01,25.91
1989-06-01,25.719
1989-07-01,27.187
1989-08-01,26.686
1989-09-01,27.259
1989-10-01,27.534
1989-11-01,26.984
1989-12-01,33.969
1990-01-01,22.185
1990-02-01,21.862
1990-03-01,22.316
1990-04-01,21.122
1990-05-01,20.561
1990-06-01,21.11
1990-07-01,20.286
1990-08-01,20.525
1990-09-01,20.214
1990-10-01,18.316
1990-11-01,18.017
1990-12-01,20.883
1991-01-01,18.029
1991-02-01,17.062
1991-03-01,18.806
1991-04-01,21.396
1991-05-01,20.608
1991-06-01,20.656
1991-07-01,22.483
1991-08-01,22.889
1991-09-01,22.602
1991-10-01,26.125
1991-11-01,26.041
1991-12-01,29.014
1992-01-01,27.522
1992-02-01,25.122
1992-03-01,25.79
1992-04-01,25.384
1992-05-01,26.996
1992-06-01,25.504
1992-07-01,32.572
1992-08-01,32.035
1992-09-01,32.513
1992-10-01,29.969
1992-11-01,29.826
1992-12-01,34.542
1993-01-01,28.847
1993-02-01,26.34
1993-03-01,28.143
1993-04-01,25.898
1993-05-01,25.325
1993-06-01,24.298
1993-07-01,27.784
1993-08-01,27.247
1993-09-01,26.722
1993-10-01,28.74
1993-11-01,28.978
1993-12-01,31.486
1994-01-01,27.617
1994-02-01,25.719
1994-03-01,27.295
1994-04-01,27.999
1994-05-01,26.435
1994-06-01,26.089
1994-07-01,26.817
1994-08-01,27.247
1994-09-01,26.996
1994-10-01,28.226
1994-11-01,29.623
1994-12-01,35.402
1995-01-01,28.572
1995-02-01,26.877
1995-03-01,29.575
1995-04-01,29.193
1995-05-01,29.002
1995-06-01,28.489
1995-07-01,29.36
1995-08-01,30.077
1995-09-01,29.468
1995-10-01,31.904
1995-11-01,32.441
1995-12-01,37.73
1996-01-01,34.268
1996-02-01,31.725
1996-03-01,34.805
1996-04-01,32.023
1996-05-01,31.247
1996-06-01,30.28
1996-07-01,31.617
1996-08-01,32.668
1996-09-01,32.131
1996-10-01,34.578
1996-11-01,34.578
1996-12-01,40.823
1997-01-01,36.369
1997-02-01,34.483
1997-03-01,37.169
1997-04-01,36.668
1997-05-01,36.298
1997-06-01,33.372
1997-07-01,35.832
1997-08-01,36.835
1997-09-01,35.366
1997-10-01,33.05
1997-11-01,32.477
1997-12-01,38.518
1998-01-01,28.62
1998-02-01,27.45
1998-03-01,28.811
1998-04-01,26.722
1998-05-01,28.023
1998-06-01,26.435
1998-07-01,28.417
1998-08-01,29.85
1998-09-01,29.098
1998-10-01,29.922
1998-11-01,30.411
1998-12-01,38.28
1999-01-01,28.19
1999-02-01,26.566
1999-03-01,29.05
1999-04-01,28.847
1999-05-01,28.465
1999-06-01,27.534
1999-07-01,28.31
1999-08-01,29.277
1999-09-01,28.775
1999-10-01,31.772
1999-11-01,32.907
1999-12-01,40.835
2000-01-01,30.495
2000-02-01,25.731
2000-03-01,27.414
2000-04-01,25.599
2000-05-01,26.805
2000-06-01,24.549
2000-07-01,23.725
2000-08-01,24.274
2000-09-01,24.262
2000-10-01,25.599
2000-11-01,24.047
2000-12-01,30.065
2001-01-01,24.573
2001-02-01,23.235
2001-03-01,23.928
2001-04-01,23.426
2001-05-01,22.196
2001-06-01,21.874
2001-07-01,22.507
2001-08-01,22.973
2001-09-01,22.507
2001-10-01,23.593
2001-11-01,24.047
2001-12-01,30.71
2002-01-01,22.459
2002-02-01,23.892
2002-03-01,23.844
2002-04-01,25.611
2002-05-01,25.814
2002-06-01,24.907
2002-07-01,24.417
2002-08-01,25.54
2002-09-01,25.277
2002-10-01,27.534
2002-11-01,26.208
2002-12-01,32.978
2003-01-01,27.999
2003-02-01,27.008
2003-03-01,27.868
2003-04-01,27.987
2003-05-01,29.014
2003-06-01,27.307
2003-07-01,28.166
2003-08-01,29.587
2003-09-01,28.68
2003-10-01,29.193
2003-11-01,27.725
2003-12-01,32.345
2004-01-01,28.095
2004-02-01,25.468
2004-03-01,27.14
2004-04-01,24.835
2004-05-01,26.065
2004-06-01,25.468
2004-07-01,24.967
2004-08-01,25.42
2004-09-01,25.217
2004-10-01,29.026
2004-11-01,29.074
2004-12-01,35.904
2005-01-01,26.172
2005-02-01,25.301
2005-03-01,25.432
2005-04-01,24.895
2005-05-01,24.023
2005-06-01,24.047
2005-07-01,25.337
2005-08-01,25.17
2005-09-01,25.826
2005-10-01,27.522
2005-11-01,27.044
2005-12-01,33.73
