ds,y
1989-01-01,648.955
1989-02-01,607.464
1989-03-01,595.762
1989-04-01,560.654
1989-05-01,622.358
1989-06-01,621.294
1989-07-01,647.891
1989-08-01,695.764
1989-09-01,657.465
1989-10-01,719.169
1989-11-01,750.021
1989-12-01,1001.092
1990-01-01,720.233
1990-02-01,698.956
1990-03-01,728.744
1990-04-01,677.679
1990-05-01,775.554
1990-06-01,757.468
1990-07-01,762.788
1990-08-01,773.426
1990-09-01,756.404
1990-10-01,723.425
1990-11-01,755.341
1990-12-01,1042.583
1991-01-01,967.049
1991-02-01,792.576
1991-03-01,731.936
1991-04-01,672.36
1991-05-01,715.978
1991-06-01,675.551
1991-07-01,693.637
1991-08-01,718.106
1991-09-01,667.04
1991-10-01,748.957
1991-11-01,758.532
1991-12-01,1111.734
1992-01-01,812.789
1992-02-01,715.978
1992-03-01,743.638
1992-04-01,778.746
1992-05-01,720.233
1992-06-01,680.87
1992-07-01,689.381
1992-08-01,717.042
1992-09-01,723.425
1992-10-01,771.298
1992-11-01,761.724
1992-12-01,1097.904
1993-01-01,797.895
1993-02-01,719.169
1993-03-01,772.362
1993-04-01,656.402
1993-05-01,656.402
1993-06-01,627.677
1993-07-01,713.85
1993-08-01,735.127
1993-09-01,718.106
1993-10-01,763.851
1993-11-01,769.171
1993-12-01,1047.902
1994-01-01,811.725
1994-02-01,719.169
1994-03-01,789.384
1994-04-01,756.404
1994-05-01,779.809
1994-06-01,770.235
1994-07-01,744.702
1994-08-01,724.489
1994-09-01,727.68
1994-10-01,712.786
1994-11-01,778.746
1994-12-01,1065.988
1995-01-01,659.593
1995-02-01,594.698
1995-03-01,680.87
1995-04-01,560.654
1995-05-01,588.315
1995-06-01,590.442
1995-07-01,589.378
1995-08-01,611.72
1995-09-01,627.677
1995-10-01,612.783
1995-11-01,669.168
1995-12-01,914.92
1996-01-01,719.169
1996-02-01,630.869
1996-03-01,697.892
1996-04-01,626.614
1996-05-01,692.573
1996-06-01,681.934
1996-07-01,719.169
1996-08-01,762.788
1996-09-01,707.467
1996-10-01,818.108
1996-11-01,809.597
1996-12-01,985.134
1997-01-01,806.406
1997-02-01,755.341
1997-03-01,779.809
1997-04-01,797.895
1997-05-01,867.046
1997-06-01,770.235
1997-07-01,897.898
1997-08-01,946.835
1997-09-01,847.896
1997-10-01,870.237
1997-11-01,820.236
1997-12-01,1153.224
1998-01-01,786.193
1998-02-01,736.191
1998-03-01,730.872
1998-04-01,662.785
1998-05-01,713.85
1998-06-01,660.657
1998-07-01,702.148
1998-08-01,693.637
1998-09-01,684.062
1998-10-01,720.233
1998-11-01,735.127
1998-12-01,1045.774
1999-01-01,726.616
1999-02-01,736.191
1999-03-01,801.087
1999-04-01,740.447
1999-05-01,730.872
1999-06-01,709.595
1999-07-01,758.532
1999-08-01,768.107
1999-09-01,791.512
1999-10-01,771.298
1999-11-01,789.384
1999-12-01,1097.904
2000-01-01,754.277
2000-02-01,671.296
2000-03-01,688.317
2000-04-01,697.892
2000-05-01,724.489
2000-06-01,714.914
2000-07-01,770.235
2000-08-01,801.087
2000-09-01,789.384
2000-10-01,774.49
2000-11-01,834.066
2000-12-01,1156.416
2001-01-01,792.576
2001-02-01,701.084
2001-03-01,729.808
2001-04-01,704.275
2001-05-01,737.255
2001-06-01,721.297
2001-07-01,700.02
2001-08-01,714.914
2001-09-01,691.509
2001-10-01,751.085
2001-11-01,808.534
2001-12-01,1145.777
2002-01-01,790.448
2002-02-01,764.915
2002-03-01,831.939
2002-04-01,733.0
2002-05-01,770.235
2002-06-01,746.83
2002-07-01,802.15
2002-08-01,834.066
2002-09-01,804.278
2002-10-01,1008.539
2002-11-01,1083.009
2002-12-01,1543.661
2003-01-01,1022.369
2003-02-01,897.898
2003-03-01,861.727
2003-04-01,826.619
2003-05-01,856.407
2003-06-01,786.193
2003-07-01,875.557
2003-08-01,885.132
2003-09-01,883.004
2003-10-01,939.388
2003-11-01,968.113
