ds,y
2007-01-01,384.168
2007-04-01,362.215
2007-07-01,472.289
2007-10-01,317.599
2008-01-01,214.555
2008-04-01,210.369
2008-07-01,209.147
2008-10-01,400.773
2009-01-01,572.909
2009-04-01,406.207
2009-07-01,311.318
2009-10-01,412.388
2010-01-01,103.152
2010-04-01,352.503
2010-07-01,502.212
2010-10-01,198.343
2011-01-01,460.518
2011-04-01,345.137
2011-07-01,409.33
2011-10-01,399.512
2012-01-01,154.672
2012-04-01,182.382
2012-07-01,230.612
2012-10-01,347.728
2013-01-01,274.51
2013-04-01,217.905
2013-07-01,224.876
2013-10-01,297.704
2014-01-01,185.541
2014-04-01,394.759
2014-07-01,337.224
2014-10-01,186.258
2015-01-01,151.245
2015-04-01,303.768
2015-07-01,329.771
2015-10-01,349.203
2016-01-01,113.589
2016-04-01,381.645
2016-07-01,269.928
2016-10-01,372.943
2017-01-01,183.555
2017-04-01,149.802
2017-07-01,183.877
2017-10-01,237.092
2018-01-01,148.736
2018-04-01,300.845
2018-07-01,251.731
2018-10-01,523.504
2019-01-01,232.389
2019-04-01,301.039
2019-07-01,520.375
2019-10-01,168.604
2020-01-01,246.0
2020-04-01,501.446
2020-07-01,147.008
2020-10-01,205.154
2021-01-01,164.04
2021-04-01,188.209
2021-07-01,404.92
2021-10-01,214.216
2022-01-01,200.503
2022-04-01,281.21
2022-07-01,143.961
2022-10-01,252.735
