ds,y
2008-01-01,174.193
2008-04-01,106.231
2008-07-01,100.527
2008-10-01,169.094
2009-01-01,129.514
2009-04-01,114.82
2009-07-01,102.977
2009-10-01,135.006
2010-01-01,124.531
2010-04-01,125.507
2010-07-01,100.752
2010-10-01,145.642
2011-01-01,158.11
2011-04-01,129.691
2011-07-01,123.043
2011-10-01,143.935
2012-01-01,132.539
2012-04-01,176.582
2012-07-01,180.946
2012-10-01,103.737
2013-01-01,135.739
2013-04-01,144.857
2013-07-01,102.848
2013-10-01,144.658
2014-01-01,162.295
2014-04-01,102.093
2014-07-01,83.978
2014-10-01,85.247
2015-01-01,96.268
2015-04-01,131.73
2015-07-01,92.341
2015-10-01,84.118
2016-01-01,134.735
2016-04-01,102.377
2016-07-01,76.267
2016-10-01,110.474
2017-01-01,126.205
2017-04-01,128.727
2017-07-01,85.343
2017-10-01,70.789
2018-01-01,93.681
2018-04-01,115.996
2018-07-01,98.827
2018-10-01,81.968
2019-01-01,107.478
2019-04-01,130.278
2019-07-01,82.07
2019-10-01,121.065
2020-01-01,110.145
2020-04-01,127.516
2020-07-01,79.732
2020-10-01,121.011
2021-01-01,83.987
2021-04-01,103.996
2021-07-01,97.592
2021-10-01,100.283
2022-01-01,85.627
2022-04-01,91.446
2022-07-01,78.452
2022-10-01,106.743
2023-01-01,84.426
2023-04-01,99.384
