ds,y
2000-01-01,2.836
2000-02-01,2.444
2000-03-01,2.754
2000-04-01,2.643
2000-05-01,2.819
2000-06-01,2.889
2000-07-01,2.819
2000-08-01,3.018
2000-09-01,3.252
2000-10-01,3.217
2000-11-01,3.194
2000-12-01,4.202
2001-01-01,2.924
2001-02-01,2.631
2001-03-01,2.924
2001-04-01,2.69
2001-05-01,2.994
2001-06-01,3.118
2001-07-01,2.854
2001-08-01,3.03
2001-09-01,3.299
2001-10-01,3.065
2001-11-01,3.141
2001-12-01,4.061
2002-01-01,2.994
2002-02-01,2.567
2002-03-01,2.825
2002-04-01,2.614
2002-05-01,2.895
2002-06-01,2.86
2002-07-01,2.854
2002-08-01,3.012
2002-09-01,3.211
2002-10-01,3.276
2002-11-01,3.328
2002-12-01,4.495
2003-01-01,3.657
2003-02-01,3.112
2003-03-01,3.235
2003-04-01,3.129
2003-05-01,3.469
2003-06-01,3.176
2003-07-01,3.569
2003-08-01,3.229
2003-09-01,3.37
2003-10-01,3.58
2003-11-01,3.575
2003-12-01,4.969
2004-01-01,3.481
2004-02-01,3.041
2004-03-01,3.205
2004-04-01,3.375
2004-05-01,3.586
2004-06-01,3.528
2004-07-01,3.662
2004-08-01,3.293
2004-09-01,3.592
2004-10-01,3.862
2004-11-01,3.909
2004-12-01,5.532
2005-01-01,3.838
2005-02-01,3.182
2005-03-01,3.446
2005-04-01,3.61
2005-05-01,3.727
2005-06-01,3.68
2005-07-01,3.815
2005-08-01,3.768
2005-09-01,3.891
2005-10-01,3.791
2005-11-01,4.149
2005-12-01,5.585
2006-01-01,3.827
2006-02-01,3.358
2006-03-01,3.545
2006-04-01,3.827
2006-05-01,4.102
2006-06-01,4.213
2006-07-01,3.95
2006-08-01,4.084
2006-09-01,4.12
2006-10-01,4.565
2006-11-01,4.764
2006-12-01,6.487
2007-01-01,4.348
2007-02-01,3.68
2007-03-01,3.885
2007-04-01,3.856
2007-05-01,4.213
2007-06-01,4.143
2007-07-01,4.055
2007-08-01,3.926
2007-09-01,3.967
2007-10-01,4.319
2007-11-01,4.547
2007-12-01,6.493
2008-01-01,4.442
2008-02-01,3.762
2008-03-01,4.061
2008-04-01,3.827
2008-05-01,4.237
2008-06-01,4.073
2008-07-01,3.909
2008-08-01,3.868
2008-09-01,3.973
2008-10-01,4.577
2008-11-01,4.729
2008-12-01,6.663
2009-01-01,4.77
2009-02-01,3.709
2009-03-01,4.161
2009-04-01,4.436
2009-05-01,4.524
2009-06-01,4.448
2009-07-01,4.454
2009-08-01,4.401
2009-09-01,4.612
2009-10-01,4.928
2009-11-01,5.122
2009-12-01,7.272
2010-01-01,4.717
2010-02-01,3.991
2010-03-01,4.26
2010-04-01,4.284
2010-05-01,4.653
2010-06-01,4.881
2010-07-01,5.122
2010-08-01,5.215
2010-09-01,5.62
2010-10-01,5.409
2010-11-01,5.549
2010-12-01,7.876
2011-01-01,5.391
2011-02-01,4.694
2011-03-01,4.975
2011-04-01,4.729
2011-05-01,4.905
2011-06-01,4.917
2011-07-01,5.169
2011-08-01,5.221
2011-09-01,5.215
2011-10-01,5.626
2011-11-01,5.801
2011-12-01,8.04
2012-01-01,5.485
2012-02-01,4.747
2012-03-01,5.227
2012-04-01,5.18
2012-05-01,5.708
2012-06-01,5.614
2012-07-01,5.497
2012-08-01,5.637
2012-09-01,5.608
2012-10-01,5.397
2012-11-01,5.626
2012-12-01,7.876
2013-01-01,5.18
2013-02-01,4.5
2013-03-01,5.086
2013-04-01,4.852
2013-05-01,5.321
2013-06-01,5.503
2013-07-01,5.409
2013-08-01,5.444
2013-09-01,5.813
2013-10-01,6.27
2013-11-01,6.458
2013-12-01,8.515
2014-01-01,5.919
2014-02-01,5.321
2014-03-01,5.585
2014-04-01,5.374
2014-05-01,5.813
2014-06-01,5.567
2014-07-01,5.825
2014-08-01,5.878
2014-09-01,6.03
2014-10-01,6.505
2014-11-01,6.885
2014-12-01,9.587
2015-01-01,6.171
2015-02-01,5.081
2015-03-01,5.989
2015-04-01,5.708
2015-05-01,6.639
2015-06-01,5.52
2015-07-01,4.747
2015-08-01,5.198
2015-09-01,5.327
2015-10-01,5.626
2015-11-01,5.52
2015-12-01,9.47
2016-01-01,5.169
2016-02-01,4.53
2016-03-01,4.571
2016-04-01,4.7
2016-05-01,4.987
2016-06-01,4.817
2016-07-01,5.145
2016-08-01,5.186
2016-09-01,5.456
2016-10-01,5.608
2016-11-01,5.796
2016-12-01,9.745
2017-01-01,4.975
2017-02-01,4.5
2017-03-01,4.559
2017-04-01,4.477
2017-05-01,4.893
2017-06-01,5.075
2017-07-01,4.934
2017-08-01,4.846
2017-09-01,5.075
2017-10-01,4.928
2017-11-01,5.292
2017-12-01,9.716
2018-01-01,5.233
2018-02-01,4.325
2018-03-01,4.401
2018-04-01,4.588
2018-05-01,5.344
2018-06-01,5.344
2018-07-01,4.981
2018-08-01,5.297
2018-09-01,5.186
2018-10-01,5.075
2018-11-01,5.59
2018-12-01,10.571
2019-01-01,5.842
2019-02-01,5.063
2019-03-01,4.999
2019-04-01,5.157
2019-05-01,5.872
2019-06-01,5.93
2019-07-01,5.426
2019-08-01,5.913
2019-09-01,5.784
2019-10-01,5.936
2019-11-01,6.229
2019-12-01,10.999
2020-01-01,5.965
2020-02-01,4.823
2020-03-01,5.192
2020-04-01,4.829
2020-05-01,5.672
2020-06-01,5.321
2020-07-01,5.251
2020-08-01,5.567
2020-09-01,5.737
2020-10-01,6.376
2020-11-01,6.27
2020-12-01,12.142
2021-01-01,7.038
2021-02-01,5.444
2021-03-01,5.825
2021-04-01,5.497
2021-05-01,6.27
2021-06-01,5.954
2021-07-01,6.346
2021-08-01,6.376
2021-09-01,6.159
2021-10-01,6.241
2021-11-01,6.417
2021-12-01,11.902
