ds,y
2003-01-01,231.025
2003-04-01,288.458
2003-07-01,107.278
2003-10-01,139.539
2004-01-01,208.794
2004-04-01,175.626
2004-07-01,165.079
2004-10-01,120.809
2005-01-01,75.863
2005-04-01,141.791
2005-07-01,133.601
2005-10-01,179.198
2006-01-01,231.022
2006-04-01,130.815
2006-07-01,186.88
2006-10-01,130.22
2007-01-01,210.549
2007-04-01,134.069
2007-07-01,118.56
2007-10-01,336.007
2008-01-01,212.025
2008-04-01,159.555
2008-07-01,184.104
2008-10-01,155.635
2009-01-01,246.609
2009-04-01,116.842
2009-07-01,77.958
2009-10-01,162.073
2010-01-01,202.447
2010-04-01,146.76
2010-07-01,171.415
2010-10-01,126.093
2011-01-01,123.89
2011-04-01,102.771
2011-07-01,146.216
2011-10-01,195.358
2012-01-01,289.989
2012-04-01,109.425
2012-07-01,93.604
2012-10-01,157.623
2013-01-01,236.895
2013-04-01,115.37
2013-07-01,169.591
2013-10-01,160.33
2014-01-01,206.63
2014-04-01,151.446
2014-07-01,52.622
2014-10-01,202.566
2015-01-01,68.976
2015-04-01,101.276
2015-07-01,153.596
2015-10-01,189.975
2016-01-01,155.96
2016-04-01,119.112
2016-07-01,105.715
2016-10-01,162.055
2017-01-01,140.542
2017-04-01,209.693
2017-07-01,140.94
2017-10-01,199.316
2018-01-01,165.111
2018-04-01,194.873
2018-07-01,82.488
2018-10-01,215.842
