ds,y
1998-01-01,541.878
1998-02-01,471.245
1998-03-01,555.188
1998-04-01,606.285
1998-05-01,675.415
1998-06-01,668.115
1998-07-01,558.623
1998-08-01,539.945
1998-09-01,625.392
1998-10-01,658.025
1998-11-01,724.579
1998-12-01,1313.688
1999-01-01,548.533
1999-02-01,488.634
1999-03-01,618.951
1999-04-01,603.279
1999-05-01,669.189
1999-06-01,677.991
1999-07-01,594.262
1999-08-01,578.804
1999-09-01,657.81
1999-10-01,681.855
1999-11-01,747.551
1999-12-01,1391.191
2000-01-01,560.985
2000-02-01,508.386
2000-03-01,606.285
2000-04-01,663.177
2000-05-01,680.567
2000-06-01,658.669
2000-07-01,674.985
2000-08-01,642.782
2000-09-01,628.827
2000-10-01,690.443
2000-11-01,794.353
2000-12-01,1424.039
2001-01-01,624.319
2001-02-01,547.46
2001-03-01,609.72
2001-04-01,648.149
2001-05-01,722.002
2001-06-01,674.556
2001-07-01,676.274
2001-08-01,651.584
2001-09-01,619.381
2001-10-01,687.437
2001-11-01,795.212
2001-12-01,1386.683
2002-01-01,611.652
2002-02-01,535.437
2002-03-01,611.866
2002-04-01,604.782
2002-05-01,724.579
2002-06-01,616.59
2002-07-01,732.952
2002-08-01,604.352
2002-09-01,688.296
2002-10-01,712.771
2002-11-01,820.33
2002-12-01,1413.304
2003-01-01,689.584
2003-02-01,509.03
2003-03-01,598.341
2003-04-01,705.042
2003-05-01,731.019
2003-06-01,599.2
2003-07-01,781.901
2003-08-01,625.821
2003-09-01,695.596
2003-10-01,741.539
2003-11-01,843.946
2003-12-01,1484.152
2004-01-01,727.155
2004-02-01,541.448
2004-03-01,650.511
2004-04-01,728.014
2004-05-01,749.268
2004-06-01,641.064
2004-07-01,789.63
2004-08-01,663.392
2004-09-01,735.743
2004-10-01,775.46
2004-11-01,898.692
2004-12-01,1574.322
2005-01-01,694.737
2005-02-01,593.833
2005-03-01,676.488
2005-04-01,753.777
2005-05-01,798.647
2005-06-01,877.223
2005-07-01,632.691
2005-08-01,759.788
2005-09-01,817.969
2005-10-01,804.443
2005-11-01,925.314
2005-12-01,1662.13
2006-01-01,730.161
2006-02-01,598.985
2006-03-01,744.116
2006-04-01,773.957
2006-05-01,865.63
2006-06-01,734.454
2006-07-01,834.071
2006-08-01,717.923
2006-09-01,763.008
2006-10-01,855.325
2006-11-01,1004.964
2006-12-01,1729.543
2007-01-01,767.731
2007-02-01,637.844
2007-03-01,770.093
2007-04-01,799.935
2007-05-01,924.455
2007-06-01,835.573
2007-07-01,793.065
2007-08-01,806.161
2007-09-01,800.579
2007-10-01,915.223
2007-11-01,1110.162
2007-12-01,1748.865
2008-01-01,809.811
2008-02-01,660.816
2008-03-01,800.794
2008-04-01,916.941
2008-05-01,912.218
2008-06-01,898.478
2008-07-01,853.178
2008-08-01,806.805
2008-09-01,904.918
2008-10-01,967.178
2008-11-01,1130.343
2008-12-01,1810.266
2009-01-01,876.794
2009-02-01,726.726
2009-03-01,825.483
2009-04-01,931.54
2009-05-01,956.229
2009-06-01,1012.907
2009-07-01,947.212
2009-08-01,859.189
2009-09-01,973.619
2009-10-01,993.371
2009-11-01,1149.665
2009-12-01,1848.266
2010-01-01,911.788
2010-02-01,752.274
2010-03-01,962.67
2010-04-01,829.777
2010-05-01,925.099
2010-06-01,1054.772
2010-07-01,914.794
2010-08-01,875.506
2010-09-01,935.619
2010-10-01,954.726
