ds,y
1985-01-01,314.612
1985-04-01,208.762
1985-07-01,290.332
1985-10-01,290.972
1986-01-01,329.846
1986-04-01,327.609
1986-07-01,253.757
1986-10-01,304.834
1987-01-01,324.611
1987-04-01,294.456
1987-07-01,299.381
1987-10-01,322.11
1988-01-01,380.283
1988-04-01,292.803
1988-07-01,257.231
1988-10-01,357.034
1989-01-01,397.754
1989-04-01,281.502
1989-07-01,277.121
1989-10-01,338.717
1990-01-01,387.807
1990-04-01,247.66
1990-07-01,269.536
1990-10-01,322.385
1991-01-01,335.018
1991-04-01,269.16
1991-07-01,297.869
1991-10-01,312.39
1992-01-01,310.979
1992-04-01,250.797
1992-07-01,293.453
1992-10-01,280.007
1993-01-01,346.342
1993-04-01,307.341
1993-07-01,289.146
1993-10-01,319.461
1994-01-01,350.664
1994-04-01,308.729
1994-07-01,268.984
1994-10-01,304.127
1995-01-01,358.475
1995-04-01,274.256
1995-07-01,262.877
1995-10-01,301.825
1996-01-01,319.626
1996-04-01,250.953
1996-07-01,280.175
1996-10-01,308.026
1997-01-01,296.411
1997-04-01,314.472
1997-07-01,256.403
1997-10-01,306.045
1998-01-01,283.401
1998-04-01,244.811
1998-07-01,209.565
1998-10-01,329.999
1999-01-01,272.135
1999-04-01,287.636
1999-07-01,303.809
1999-10-01,342.381
2000-01-01,325.177
2000-04-01,263.332
2000-07-01,284.776
2000-10-01,305.124
2001-01-01,328.694
2001-04-01,259.986
2001-07-01,215.542
2001-10-01,248.96
2002-01-01,275.86
2002-04-01,239.498
2002-07-01,278.19
2002-10-01,301.095
