ds,y
1984-01-01,16.65
1984-02-01,17.112
1984-03-01,19.989
1984-04-01,18.455
1984-05-01,19.894
1984-06-01,20.369
1984-07-01,19.5
1984-08-01,22.757
1984-09-01,20.721
1984-10-01,21.766
1984-11-01,23.205
1984-12-01,24.738
1985-01-01,17.872
1985-02-01,19.039
1985-03-01,21.115
1985-04-01,18.659
1985-05-01,21.916
1985-06-01,21.441
1985-07-01,21.834
1985-08-01,21.278
1985-09-01,22.825
1985-10-01,22.038
1985-11-01,21.848
1985-12-01,24.1
1986-01-01,19.582
1986-02-01,18.998
1986-03-01,19.446
1986-04-01,19.161
1986-05-01,19.582
1986-06-01,20.029
1986-07-01,21.888
1986-08-01,20.287
1986-09-01,20.219
1986-10-01,22.296
1986-11-01,22.187
1986-12-01,24.127
1987-01-01,19.812
1987-02-01,18.442
1987-03-01,19.256
1987-04-01,17.953
1987-05-01,19.242
1987-06-01,19.582
1987-07-01,20.477
1987-08-01,19.663
1987-09-01,19.188
1987-10-01,20.925
1987-11-01,20.084
1987-12-01,22.404
1988-01-01,18.699
1988-02-01,17.6
1988-03-01,18.754
1988-04-01,18.062
1988-05-01,19.961
1988-06-01,19.731
1988-07-01,22.065
1988-08-01,20.233
1988-09-01,19.961
1988-10-01,21.454
1988-11-01,23.435
1988-12-01,23.842
1989-01-01,20.396
1989-02-01,17.18
1989-03-01,20.274
1989-04-01,19.052
1989-05-01,21.631
1989-06-01,21.576
1989-07-01,22.675
1989-08-01,23.422
1989-09-01,25.267
1989-10-01,25.742
1989-11-01,25.484
1989-12-01,27.14
1990-01-01,23.87
1990-02-01,24.032
1990-03-01,25.715
1990-04-01,23.571
1990-05-01,26.054
1990-06-01,33.124
1990-07-01,22.526
1990-08-01,25.376
1990-09-01,24.127
1990-10-01,25.227
1990-11-01,25.647
1990-12-01,28.388
1991-01-01,22.621
1991-02-01,20.151
1991-03-01,22.865
1991-04-01,23.327
1991-05-01,24.345
1991-06-01,25.512
1991-07-01,24.982
1991-08-01,23.775
1991-09-01,23.368
1991-10-01,24.602
1991-11-01,25.172
1991-12-01,26.76
1992-01-01,23.924
1992-02-01,20.654
1992-03-01,22.689
1992-04-01,25.172
1992-05-01,25.878
1992-06-01,25.457
1992-07-01,30.288
1992-08-01,29.515
1992-09-01,29.121
1992-10-01,29.678
1992-11-01,30.438
1992-12-01,32.663
1993-01-01,27.045
1993-02-01,25.199
1993-03-01,27.506
1993-04-01,28.334
1993-05-01,30.017
1993-06-01,30.261
1993-07-01,30.98
1993-08-01,30.275
1993-09-01,31.143
1993-10-01,32.174
1993-11-01,32.731
1993-12-01,35.051
1994-01-01,27.737
1994-02-01,25.742
1994-03-01,28.796
1994-04-01,26.624
1994-05-01,29.555
1994-06-01,29.108
1994-07-01,30.234
1994-08-01,28.388
1994-09-01,29.854
1994-10-01,31.265
1994-11-01,32.229
1994-12-01,35.201
1995-01-01,30.98
1995-02-01,27.099
1995-03-01,27.208
1995-04-01,27.724
1995-05-01,29.284
1995-06-01,30.804
1995-07-01,31.605
1995-08-01,30.329
1995-09-01,30.573
1995-10-01,29.664
1995-11-01,30.885
1995-12-01,33.626
1996-01-01,28.253
1996-02-01,24.684
1996-03-01,27.466
1996-04-01,27.588
1996-05-01,29.393
1996-06-01,29.664
1996-07-01,30.546
1996-08-01,29.935
1996-09-01,30.397
1996-10-01,31.767
1996-11-01,32.066
1996-12-01,35.133
1997-01-01,30.18
1997-02-01,26.543
1997-03-01,29.379
1997-04-01,29.583
1997-05-01,31.862
1997-06-01,32.337
1997-07-01,33.939
1997-08-01,34.101
1997-09-01,33.599
1997-10-01,38.349
1997-11-01,39.529
1997-12-01,44.157
1998-01-01,38.308
1998-02-01,35.662
1998-03-01,34.712
1998-04-01,34.59
1998-05-01,35.445
1998-06-01,34.793
1998-07-01,35.431
1998-08-01,34.454
1998-09-01,33.925
1998-10-01,36.965
1998-11-01,37.44
1998-12-01,41.836
1999-01-01,40.601
1999-02-01,35.133
1999-03-01,37.195
1999-04-01,37.738
1999-05-01,39.326
1999-06-01,42.651
1999-07-01,37.046
1999-08-01,37.412
1999-09-01,36.53
1999-10-01,38.023
1999-11-01,38.81
1999-12-01,44.713
2000-01-01,42.338
2000-02-01,37.046
2000-03-01,39.19
2000-04-01,35.757
2000-05-01,39.299
2000-06-01,41.958
2000-07-01,41.049
2000-08-01,40.71
2000-09-01,38.647
2000-10-01,41.972
2000-11-01,42.813
2000-12-01,48.526
2001-01-01,43.153
2001-02-01,36.503
2001-03-01,38.39
2001-04-01,38.525
2001-05-01,39.842
2001-06-01,41.063
2001-07-01,42.556
2001-08-01,42.433
2001-09-01,40.995
2001-10-01,44.32
2001-11-01,48.146
2001-12-01,54.701
2002-01-01,45.636
2002-02-01,37.792
2002-03-01,38.132
2002-04-01,38.661
2002-05-01,40.995
2002-06-01,43.058
2002-07-01,43.519
2002-08-01,42.569
2002-09-01,39.149
2002-10-01,44.469
2002-11-01,44.727
2002-12-01,51.172
2003-01-01,42.61
2003-02-01,37.928
2003-03-01,38.525
2003-04-01,40.249
2003-05-01,41.891
2003-06-01,44.686
2003-07-01,43.058
2003-08-01,41.388
2003-09-01,39.638
2003-10-01,46.45
2003-11-01,48.716
2003-12-01,57.944
2004-01-01,50.63
2004-02-01,45.432
2004-03-01,49.639
2004-04-01,45.69
2004-05-01,46.816
2004-06-01,51.281
2004-07-01,52.543
2004-08-01,52.421
2004-09-01,50.738
2004-10-01,51.783
2004-11-01,55.881
2004-12-01,64.525
2005-01-01,53.9
2005-02-01,47.21
2005-03-01,51.335
2005-04-01,47.563
2005-05-01,51.403
2005-06-01,56.37
2005-07-01,51.647
2005-08-01,49.897
2005-09-01,48.798
2005-10-01,53.412
2005-11-01,56.682
2005-12-01,64.132
