ds,y
1997-01-01,392.332
1997-04-01,280.507
1997-07-01,178.093
1997-10-01,256.311
1998-01-01,392.771
1998-04-01,260.479
1998-07-01,155.598
1998-10-01,293.308
1999-01-01,398.916
1999-04-01,220.748
1999-07-01,161.129
1999-10-01,262.858
2000-01-01,402.88
2000-04-01,206.064
2000-07-01,165.945
2000-10-01,228.297
2001-01-01,407.15
2001-04-01,186.02
2001-07-01,171.239
2001-10-01,187.537
2002-01-01,416.895
2002-04-01,207.55
2002-07-01,150.193
2002-10-01,253.141
2003-01-01,325.434
2003-04-01,218.289
2003-07-01,144.92
2003-10-01,214.258
2004-01-01,417.369
2004-04-01,221.763
2004-07-01,159.109
2004-10-01,218.499
2005-01-01,358.659
2005-04-01,211.909
2005-07-01,146.863
2005-10-01,244.606
2006-01-01,371.937
2006-04-01,176.1
2006-07-01,138.076
2006-10-01,183.471
2007-01-01,381.772
2007-04-01,210.009
2007-07-01,171.179
2007-10-01,187.518
2008-01-01,319.356
2008-04-01,209.928
2008-07-01,150.161
2008-10-01,238.286
2009-01-01,386.181
2009-04-01,225.479
2009-07-01,199.83
2009-10-01,247.072
2010-01-01,319.195
2010-04-01,240.275
2010-07-01,170.593
2010-10-01,257.133
2011-01-01,374.453
2011-04-01,244.551
2011-07-01,157.098
2011-10-01,248.913
