ds,y
1992-10-01,11203.093
1992-11-01,11313.924
1992-12-01,11389.836
1993-01-01,11159.064
1993-02-01,11094.918
1993-03-01,11069.108
1993-04-01,11082.393
1993-05-01,11169.692
1993-06-01,11278.625
1993-07-01,11315.443
1993-08-01,11289.253
1993-09-01,11223.21
1993-10-01,11254.713
1993-11-01,11335.559
1993-12-01,11405.778
1994-01-01,11196.261
1994-02-01,11116.174
1994-03-01,11075.561
1994-04-01,11083.532
1994-05-01,11186.013
1994-06-01,11299.881
1994-07-01,11347.705
1994-08-01,11319.997
1994-09-01,11280.144
1994-10-01,11297.983
1994-11-01,11392.873
1994-12-01,11483.588
1995-01-01,11221.691
1995-02-01,11199.677
1995-03-01,11165.137
1995-04-01,11186.392
1995-05-01,11272.173
1995-06-01,11369.34
1995-07-01,11411.851
1995-08-01,11403.501
1995-09-01,11313.545
1995-10-01,11366.304
1995-11-01,11460.435
1995-12-01,11565.193
1996-01-01,11324.173
1996-02-01,11279.764
1996-03-01,11228.903
1996-04-01,11288.494
1996-05-01,11337.078
1996-06-01,11430.07
1996-07-01,11460.814
1996-08-01,11415.647
1996-09-01,11325.311
1996-10-01,11330.625
1996-11-01,11412.61
1996-12-01,11489.661
1997-01-01,11257.37
1997-02-01,11205.37
1997-03-01,11131.356
1997-04-01,11107.444
1997-05-01,11137.809
1997-06-01,11229.662
1997-07-01,11230.042
1997-08-01,11198.918
1997-09-01,11151.473
1997-10-01,11168.933
1997-11-01,11279.385
1997-12-01,11287.735
1998-01-01,11047.094
1998-02-01,10903.62
1998-03-01,10861.109
1998-04-01,10851.62
1998-05-01,10889.197
1998-06-01,10970.043
1998-07-01,10951.065
1998-08-01,10934.364
1998-09-01,10879.708
1998-10-01,10924.116
1998-11-01,11002.685
1998-12-01,11033.809
1999-01-01,10796.964
1999-02-01,10719.154
1999-03-01,10696.001
1999-04-01,10711.563
1999-05-01,10799.241
1999-06-01,10847.825
1999-07-01,10809.489
1999-08-01,10782.92
1999-09-01,10721.811
1999-10-01,10767.738
1999-11-01,10801.898
1999-12-01,10825.051
2000-01-01,10653.87
2000-02-01,10630.716
2000-03-01,10615.155
2000-04-01,10609.841
2000-05-01,10732.059
2000-06-01,10795.066
2000-07-01,10765.46
2000-08-01,10730.92
2000-09-01,10672.848
2000-10-01,10716.497
2000-11-01,10790.891
2000-12-01,10802.278
2001-01-01,10629.957
2001-02-01,10580.615
2001-03-01,10548.352
2001-04-01,10589.724
2001-05-01,10703.212
2001-06-01,10812.526
2001-07-01,10801.518
2001-08-01,10727.125
2001-09-01,10636.789
2001-10-01,10701.315
2001-11-01,10782.54
2001-12-01,10829.606
2002-01-01,10634.133
2002-02-01,10586.308
2002-03-01,10586.688
2002-04-01,10628.06
2002-05-01,10675.884
2002-06-01,10746.482
2002-07-01,10760.146
2002-08-01,10749.139
2002-09-01,10683.475
2002-10-01,10728.263
2002-11-01,10845.168
2002-12-01,10870.598
2003-01-01,10662.6
2003-02-01,10637.928
2003-03-01,10649.694
2003-04-01,10662.6
2003-05-01,10752.555
2003-06-01,10850.482
2003-07-01,10845.168
2003-08-01,10845.168
2003-09-01,10804.935
2003-10-01,10834.54
2003-11-01,10979.532
2003-12-01,10992.058
2004-01-01,10833.402
2004-02-01,10803.416
2004-03-01,10814.044
2004-04-01,10790.511
2004-05-01,10866.423
2004-06-01,10948.788
2004-07-01,10949.167
2004-08-01,10886.16
2004-09-01,10802.657
2004-10-01,10826.949
2004-11-01,10918.803
2004-12-01,10914.248
2005-01-01,10749.139
2005-02-01,10674.745
2005-03-01,10678.921
2005-04-01,10656.906
2005-05-01,10760.146
2005-06-01,10866.423
2005-07-01,10823.913
2005-08-01,10798.862
2005-09-01,10699.037
2005-10-01,10697.519
2005-11-01,10754.453
2005-12-01,10739.65
2006-01-01,10643.242
2006-02-01,10549.111
2006-03-01,10546.834
2006-04-01,10564.673
2006-05-01,10655.767
2006-06-01,10724.468
2006-07-01,10714.599
2006-08-01,10710.045
2006-09-01,10627.3
2006-10-01,10668.293
2006-11-01,10738.512
2006-12-01,10760.526
2007-01-01,10607.943
2007-02-01,10555.564
2007-03-01,10562.396
2007-04-01,10621.987
2007-05-01,10706.249
2007-06-01,10800.38
2007-07-01,10799.621
2007-08-01,10781.022
2007-09-01,10716.877
2007-10-01,10754.833
2007-11-01,10811.007
2007-12-01,10853.139
2008-01-01,10726.366
2008-02-01,10666.016
2008-03-01,10680.439
2008-04-01,10696.76
2008-05-01,10835.299
2008-06-01,10927.153
2008-07-01,10941.576
2008-08-01,10936.642
2008-09-01,10875.153
2008-10-01,10921.459
2008-11-01,11040.641
2008-12-01,11076.32
2009-01-01,10945.372
2009-02-01,10902.861
2009-03-01,10896.408
2009-04-01,10933.985
2009-05-01,11053.546
2009-06-01,11170.83
2009-07-01,11206.889
2009-08-01,11238.012
2009-09-01,11175.765
2009-10-01,11243.706
2009-11-01,11299.501
2009-12-01,11371.997
2010-01-01,11198.918
2010-02-01,11162.1
2010-03-01,11173.487
2010-04-01,11253.195
2010-05-01,11336.319
2010-06-01,11479.792
2010-07-01,11519.266
2010-08-01,11439.938
2010-09-01,11451.705
2010-10-01,11531.033
2010-11-01,11611.12
2010-12-01,11665.017
2011-01-01,11531.412
2011-02-01,11482.07
2011-03-01,11474.478
2011-04-01,11517.748
2011-05-01,11608.463
2011-06-01,11741.689
2011-07-01,11744.725
2011-08-01,11710.565
2011-09-01,11636.171
2011-10-01,11652.872
2011-11-01,11686.273
2011-12-01,11692.725
2012-01-01,11540.522
2012-02-01,11576.96
2012-03-01,11573.544
2012-04-01,11611.5
2012-05-01,11700.696
2012-06-01,11865.046
2012-07-01,11855.557
2012-08-01,11830.126
2012-09-01,11748.9
2012-10-01,11776.229
2012-11-01,11828.608
2012-12-01,11844.929
2013-01-01,11693.484
2013-02-01,11645.66
2013-03-01,11635.791
2013-04-01,11617.193
2013-05-01,11682.477
2013-06-01,11816.082
2013-07-01,11785.338
2013-08-01,11758.769
2013-09-01,11634.273
2013-10-01,11677.543
2013-11-01,11800.9
2013-12-01,11821.396
2014-01-01,11638.069
2014-02-01,11602.77
2014-03-01,11568.609
2014-04-01,11596.317
2014-05-01,11686.652
2014-06-01,11774.71
2014-07-01,11794.447
2014-08-01,11779.265
2014-09-01,11668.054
