ds,y
1999-01-01,12.522
1999-02-01,12.953
1999-03-01,14.681
1999-04-01,15.112
1999-05-01,15.544
1999-06-01,15.112
1999-07-01,14.681
1999-08-01,14.681
1999-09-01,15.544
1999-10-01,14.249
1999-11-01,15.112
1999-12-01,19.862
2000-01-01,12.953
2000-02-01,12.522
2000-03-01,14.681
2000-04-01,12.09
2000-05-01,13.817
2000-06-01,16.408
2000-07-01,16.839
2000-08-01,15.976
2000-09-01,17.271
2000-10-01,17.703
2000-11-01,17.703
2000-12-01,21.589
2001-01-01,16.408
2001-02-01,16.839
2001-03-01,17.703
2001-04-01,15.112
2001-05-01,16.839
2001-06-01,17.271
2001-07-01,17.271
2001-08-01,17.271
2001-09-01,18.567
2001-10-01,15.544
2001-11-01,15.112
2001-12-01,21.589
2002-01-01,14.681
2002-02-01,14.249
2002-03-01,14.681
2002-04-01,14.249
2002-05-01,15.112
2002-06-01,14.681
2002-07-01,15.112
2002-08-01,15.544
2002-09-01,15.544
2002-10-01,16.408
2002-11-01,14.681
2002-12-01,18.567
2003-01-01,14.681
2003-02-01,15.976
2003-03-01,15.112
2003-04-01,13.385
2003-05-01,12.953
2003-06-01,12.09
2003-07-01,22.021
2003-08-01,22.453
2003-09-01,20.294
2003-10-01,24.611
2003-11-01,22.453
2003-12-01,28.066
2004-01-01,20.725
2004-02-01,22.021
2004-03-01,25.907
2004-04-01,24.18
2004-05-01,23.316
2004-06-01,22.884
2004-07-01,22.453
2004-08-01,22.021
2004-09-01,23.748
2004-10-01,25.475
2004-11-01,24.18
2004-12-01,29.361
2005-01-01,24.611
2005-02-01,21.589
2005-03-01,23.748
2005-04-01,20.725
2005-05-01,20.725
2005-06-01,23.316
2005-07-01,24.611
2005-08-01,24.18
2005-09-01,23.748
2005-10-01,24.611
2005-11-01,28.497
2005-12-01,43.61
2006-01-01,28.929
2006-02-01,30.225
2006-03-01,31.952
2006-04-01,31.952
2006-05-01,29.793
2006-06-01,34.974
2006-07-01,28.929
2006-08-01,29.793
2006-09-01,30.656
2006-10-01,29.361
2006-11-01,30.225
2006-12-01,37.133
2007-01-01,23.748
2007-02-01,23.316
2007-03-01,23.748
2007-04-01,20.725
2007-05-01,25.043
2007-06-01,25.907
2007-07-01,25.907
2007-08-01,29.793
2007-09-01,29.793
2007-10-01,34.542
2007-11-01,35.406
2007-12-01,42.746
2008-01-01,31.088
2008-02-01,27.634
2008-03-01,28.929
2008-04-01,28.066
2008-05-01,29.793
2008-06-01,31.52
2008-07-01,34.111
2008-08-01,38.86
2008-09-01,35.406
2008-10-01,34.974
2008-11-01,34.542
2008-12-01,40.156
2009-01-01,34.111
2009-02-01,29.361
2009-03-01,34.111
2009-04-01,31.52
2009-05-01,35.406
2009-06-01,34.111
2009-07-01,37.997
2009-08-01,41.883
2009-09-01,43.178
2009-10-01,50.086
2009-11-01,48.359
2009-12-01,58.29
2010-01-01,41.883
2010-02-01,37.997
2010-03-01,41.451
2010-04-01,41.451
2010-05-01,44.042
2010-06-01,47.928
2010-07-01,38.86
2010-08-01,42.314
2010-09-01,38.86
2010-10-01,42.746
2010-11-01,44.042
2010-12-01,49.655
2011-01-01,39.724
2011-02-01,35.406
2011-03-01,38.428
2011-04-01,35.406
2011-05-01,34.974
2011-06-01,39.292
2011-07-01,37.997
2011-08-01,41.883
2011-09-01,42.314
2011-10-01,45.337
2011-11-01,47.928
2011-12-01,65.199
2012-01-01,42.314
2012-02-01,40.587
2012-03-01,44.473
2012-04-01,41.451
2012-05-01,44.042
2012-06-01,47.496
2012-07-01,49.655
2012-08-01,52.677
2012-09-01,52.245
2012-10-01,49.655
2012-11-01,51.382
2012-12-01,66.494
2013-01-01,45.769
2013-02-01,44.042
2013-03-01,51.382
