ds,y
2006-10-01,22836.908
2006-11-01,22879.767
2006-12-01,22909.949
2007-01-01,22873.731
2007-02-01,22915.985
2007-03-01,22969.709
2007-04-01,22964.88
2007-05-01,22991.44
2007-06-01,23086.212
2007-07-01,23155.027
2007-08-01,23132.692
2007-09-01,23100.096
2007-10-01,23158.045
2007-11-01,23219.616
2007-12-01,23256.438
2008-01-01,23246.176
2008-02-01,23269.718
2008-03-01,23309.559
2008-04-01,23359.661
2008-05-01,23403.726
2008-06-01,23529.887
2008-07-01,23625.262
2008-08-01,23612.586
2008-09-01,23577.575
2008-10-01,23643.372
2008-11-01,23677.779
2008-12-01,23698.906
2009-01-01,23641.561
2009-02-01,23697.095
2009-03-01,23733.918
2009-04-01,23731.503
2009-05-01,23723.052
2009-06-01,23809.976
2009-07-01,23841.365
2009-08-01,23807.562
2009-09-01,23744.179
2009-10-01,23776.776
2009-11-01,23773.758
2009-12-01,23791.263
2010-01-01,23770.74
2010-02-01,23749.612
2010-03-01,23762.289
2010-04-01,23727.277
2010-05-01,23747.198
2010-06-01,23855.249
2010-07-01,23936.137
2010-08-01,23916.82
2010-09-01,23911.991
2010-10-01,23951.228
2010-11-01,24025.476
2010-12-01,24082.821
2011-01-01,24105.156
2011-02-01,24163.106
2011-03-01,24233.731
2011-04-01,24244.597
2011-05-01,24279.004
2011-06-01,24444.402
2011-07-01,24557.886
2011-08-01,24591.086
2011-09-01,24596.519
2011-10-01,24676.2
2011-11-01,24745.618
2011-12-01,24798.738
2012-01-01,24807.793
2012-02-01,24830.731
2012-03-01,24878.419
2012-04-01,24915.241
2012-05-01,24959.91
2012-06-01,25102.973
2012-07-01,25233.963
2012-08-01,25230.341
2012-09-01,25247.847
2012-10-01,25308.211
2012-11-01,25382.458
2012-12-01,25410.226
2013-01-01,25413.848
2013-02-01,25462.139
2013-03-01,25530.35
2013-04-01,25565.361
2013-05-01,25582.867
2013-06-01,25713.857
2013-07-01,25678.846
2013-08-01,25677.638
2013-09-01,25648.06
2013-10-01,25681.26
2013-11-01,25739.21
2013-12-01,25771.203
2014-01-01,25717.479
2014-02-01,25674.016
2014-03-01,25760.337
2014-04-01,25786.294
2014-05-01,25819.494
2014-06-01,25908.832
2014-07-01,25966.178
2014-08-01,25961.953
2014-09-01,25888.912
2014-10-01,25919.094
2014-11-01,25983.684
2014-12-01,25980.062
2015-01-01,25960.745
2015-02-01,25972.818
2015-03-01,26024.731
2015-04-01,26070.004
2015-05-01,26104.412
2015-06-01,26286.711
2015-07-01,26380.879
2015-08-01,26377.861
2015-09-01,26336.21
2015-10-01,26368.202
2015-11-01,26439.432
2015-12-01,26446.072
2016-01-01,26419.512
2016-02-01,26434.603
2016-03-01,26501.607
2016-04-01,26518.509
2016-05-01,26571.629
2016-06-01,26745.477
2016-07-01,26816.707
2016-08-01,26853.529
2016-09-01,26833.005
2016-10-01,26871.035
2016-11-01,26913.289
2016-12-01,26939.246
2017-01-01,26935.624
2017-02-01,26936.228
2017-03-01,26987.537
2017-04-01,27009.872
2017-05-01,27087.741
2017-06-01,27314.71
2017-07-01,27416.725
2017-08-01,27423.365
2017-09-01,27401.634
2017-10-01,27451.133
2017-11-01,27510.893
2017-12-01,27579.708
2018-01-01,27554.959
2018-02-01,27608.079
2018-03-01,27691.985
2018-04-01,27713.716
2018-05-01,27832.029
2018-06-01,27961.812
2018-07-01,28103.064
2018-08-01,28120.569
2018-09-01,28062.62
2018-10-01,28134.453
2018-11-01,28180.933
2018-12-01,28220.17
