ds,y
1982-10-01,1156.692
1982-11-01,1125.508
1982-12-01,1098.016
1983-01-01,1076.269
1983-02-01,1087.758
1983-03-01,1085.707
1983-04-01,1147.255
1983-05-01,1237.525
1983-06-01,1315.076
1983-07-01,1297.842
1983-08-01,1306.459
1983-09-01,1223.985
1983-10-01,1190.749
1983-11-01,1152.999
1983-12-01,1133.714
1984-01-01,1074.218
1984-02-01,1088.579
1984-03-01,1103.35
1984-04-01,1200.186
1984-05-01,1223.574
1984-06-01,1260.503
1984-07-01,1266.658
1984-08-01,1262.144
1984-09-01,1215.368
1984-10-01,1155.461
1984-11-01,1124.687
1984-12-01,1146.434
1985-01-01,1086.117
1985-02-01,1099.247
1985-03-01,1127.559
1985-04-01,1228.498
1985-05-01,1304.818
1985-06-01,1358.57
1985-07-01,1329.847
1985-08-01,1310.562
1985-09-01,1254.348
1985-10-01,1183.363
1985-11-01,1158.744
1985-12-01,1135.766
1986-01-01,1066.832
1986-02-01,1126.739
1986-03-01,1169.822
1986-04-01,1255.169
1986-05-01,1354.466
1986-06-01,1387.292
1986-07-01,1398.781
1986-08-01,1410.68
1986-09-01,1331.078
1986-10-01,1237.935
1986-11-01,1215.368
1986-12-01,1196.903
1987-01-01,1144.793
1987-02-01,1194.852
1987-03-01,1237.935
1987-04-01,1354.466
1987-05-01,1411.501
1987-06-01,1483.307
1987-07-01,1520.236
1987-08-01,1523.518
1987-09-01,1400.422
1987-10-01,1331.899
1987-11-01,1294.97
1987-12-01,1283.891
1988-01-01,1247.373
1988-02-01,1286.764
1988-03-01,1308.1
1988-04-01,1435.71
1988-05-01,1507.516
1988-06-01,1600.658
1988-07-01,1635.536
1988-08-01,1593.273
1988-09-01,1499.72
1988-10-01,1391.395
1988-11-01,1359.39
1988-12-01,1345.85
1989-01-01,1234.243
1989-02-01,1267.068
1989-03-01,1309.741
1989-04-01,1404.936
1989-05-01,1494.385
1989-06-01,1569.064
1989-07-01,1665.899
1989-08-01,1631.432
1989-09-01,1505.054
1989-10-01,1405.346
1989-11-01,1387.702
1989-12-01,1356.518
1990-01-01,1277.326
1990-02-01,1319.179
1990-03-01,1356.518
1990-04-01,1488.231
1990-05-01,1561.678
1990-06-01,1621.995
1990-07-01,1657.282
1990-08-01,1652.359
1990-09-01,1535.828
1990-10-01,1468.125
1990-11-01,1434.068
1990-12-01,1408.629
1991-01-01,1357.749
1991-02-01,1413.963
1991-03-01,1421.348
1991-04-01,1545.265
1991-05-01,1648.666
1991-06-01,1727.037
1991-07-01,1802.946
1991-08-01,1768.069
1991-09-01,1640.049
1991-10-01,1555.933
1991-11-01,1470.587
1991-12-01,1445.147
1992-01-01,1391.395
1992-02-01,1428.734
1992-03-01,1459.508
1992-04-01,1593.273
1992-05-01,1667.951
1992-06-01,1684.774
1992-07-01,1771.762
1992-08-01,1736.885
1992-09-01,1577.68
1992-10-01,1549.368
1992-11-01,1487.82
1992-12-01,1476.331
1993-01-01,1406.987
1993-02-01,1417.245
1993-03-01,1443.095
1993-04-01,1484.127
1993-05-01,1524.339
1993-06-01,1529.263
1993-07-01,1520.646
1993-08-01,1563.73
1993-09-01,1515.722
1993-10-01,1513.67
1993-11-01,1501.361
1993-12-01,1485.358
1994-01-01,1393.036
1994-02-01,1428.734
1994-03-01,1471.818
1994-04-01,1568.243
1994-05-01,1581.784
1994-06-01,1592.862
1994-07-01,1631.022
1994-08-01,1625.688
1994-09-01,1573.577
1994-10-01,1492.744
1994-11-01,1473.049
1994-12-01,1469.766
1995-01-01,1393.036
1995-02-01,1428.734
1995-03-01,1447.609
1995-04-01,1521.056
1995-05-01,1554.292
1995-06-01,1575.629
1995-07-01,1583.015
1995-08-01,1577.27
1995-09-01,1562.909
1995-10-01,1528.442
1995-11-01,1467.715
1995-12-01,1455.405
1996-01-01,1358.98
1996-02-01,1399.191
1996-03-01,1437.761
1996-04-01,1560.037
1996-05-01,1582.604
1996-06-01,1616.661
1996-07-01,1663.437
1996-08-01,1681.491
1996-09-01,1650.307
1996-10-01,1563.319
1996-11-01,1515.312
1996-12-01,1501.361
1997-01-01,1395.088
1997-02-01,1472.638
1997-03-01,1502.592
1997-04-01,1656.462
1997-05-01,1711.445
1997-06-01,1719.651
1997-07-01,1782.02
1997-08-01,1778.327
1997-09-01,1724.165
1997-10-01,1671.233
1997-11-01,1614.199
1997-12-01,1592.862
1998-01-01,1488.231
1998-02-01,1541.162
1998-03-01,1567.012
1998-04-01,1670.002
1998-05-01,1744.27
1998-06-01,1755.349
1998-07-01,1743.86
1998-08-01,1756.17
1998-09-01,1706.521
1998-10-01,1687.236
1998-11-01,1644.973
1998-12-01,1636.766
1999-01-01,1509.157
1999-02-01,1559.626
1999-03-01,1579.732
1999-04-01,1703.238
1999-05-01,1763.555
1999-06-01,1792.688
1999-07-01,1784.071
