ds,y
1987-01-01,757.317
1987-02-01,710.531
1987-03-01,787.501
1987-04-01,733.471
1987-05-01,809.837
1987-06-01,887.41
1987-07-01,795.952
1987-08-01,817.685
1987-09-01,841.228
1987-10-01,797.159
1987-11-01,835.191
1987-12-01,1073.947
1988-01-01,807.12
1988-02-01,746.752
1988-03-01,790.519
1988-04-01,681.555
1988-05-01,806.215
1988-06-01,789.312
1988-07-01,840.323
1988-08-01,826.136
1988-09-01,796.254
1988-10-01,805.309
1988-11-01,867.488
1988-12-01,1101.414
1989-01-01,816.779
1989-02-01,752.487
1989-03-01,750.676
1989-04-01,750.978
1989-05-01,812.855
1989-06-01,783.577
1989-07-01,818.288
1989-08-01,784.784
1989-09-01,802.593
1989-10-01,849.076
1989-11-01,874.43
1989-12-01,1141.257
1990-01-01,844.85
1990-02-01,746.45
1990-03-01,767.579
1990-04-01,752.185
1990-05-01,797.461
1990-06-01,811.648
1990-07-01,857.829
1990-08-01,871.412
1990-09-01,879.864
1990-10-01,927.554
1990-11-01,932.686
1990-12-01,1226.074
1991-01-01,1015.088
1991-02-01,915.783
1991-03-01,986.413
1991-04-01,925.14
1991-05-01,943.25
1991-06-01,990.337
1991-07-01,957.738
1991-08-01,953.814
1991-09-01,996.978
1991-10-01,982.791
1991-11-01,1039.537
1991-12-01,1327.19
1992-01-01,1067.306
1992-02-01,955.324
1992-03-01,1039.839
1992-04-01,971.321
1992-05-01,1102.32
1992-06-01,1290.064
1992-07-01,1143.974
1992-08-01,1203.738
1992-09-01,1177.478
1992-10-01,1248.41
1992-11-01,1247.203
1992-12-01,1495.919
1993-01-01,1202.531
1993-02-01,1065.193
1993-03-01,1171.743
1993-04-01,1114.997
1993-05-01,1209.473
1993-06-01,1248.712
1993-07-01,1274.67
1993-08-01,1310.589
1993-09-01,1263.502
1993-10-01,1382.125
1993-11-01,1507.389
1993-12-01,1849.676
1994-01-01,1500.748
1994-02-01,1308.476
1994-03-01,1392.086
1994-04-01,1377.9
1994-05-01,1497.428
1994-06-01,1516.746
1994-07-01,1559.607
1994-08-01,1573.492
1994-09-01,1591.602
1994-10-01,1609.713
1994-11-01,1651.065
1994-12-01,1991.842
1995-01-01,1527.914
1995-02-01,1314.513
1995-03-01,1425.288
1995-04-01,1358.884
1995-05-01,1439.173
1995-06-01,1539.988
1995-07-01,1621.484
1995-08-01,1632.653
1995-09-01,1699.661
1995-10-01,1724.412
1995-11-01,1784.78
1995-12-01,2177.172
1996-01-01,1715.96
1996-02-01,1566.248
1996-03-01,1676.721
1996-04-01,1580.132
1996-05-01,1669.477
1996-06-01,1759.124
1996-07-01,1757.312
1996-08-01,1742.824
1996-09-01,1792.93
1996-10-01,1854.203
1996-11-01,1951.999
1996-12-01,2253.236
1997-01-01,1794.137
1997-02-01,1569.87
1997-03-01,1654.687
1997-04-01,1605.185
1997-05-01,1640.5
1997-06-01,1733.165
1997-07-01,1859.033
1997-08-01,1856.92
1997-09-01,1833.678
1997-10-01,1951.094
1997-11-01,2033.496
1997-12-01,2504.668
1998-01-01,1930.569
1998-02-01,1716.866
1998-03-01,1877.445
1998-04-01,1669.779
1998-05-01,1847.563
1998-06-01,1988.522
1998-07-01,1992.144
1998-08-01,2043.457
1998-09-01,2031.987
1998-10-01,2127.67
1998-11-01,2278.288
1998-12-01,2712.636
1999-01-01,2177.172
1999-02-01,1975.543
1999-03-01,2199.81
1999-04-01,1947.472
1999-05-01,2092.355
1999-06-01,2241.766
1999-07-01,2257.16
1999-08-01,2310.887
1999-09-01,2357.974
1999-10-01,2462.411
1999-11-01,2534.852
1999-12-01,3048.584
2000-01-01,2290.06
2000-02-01,2028.365
2000-03-01,2145.781
2000-04-01,2062.473
2000-05-01,2178.983
2000-06-01,2217.618
2000-07-01,2279.798
2000-08-01,2280.703
2000-09-01,2213.695
2000-10-01,2289.758
2000-11-01,2317.226
2000-12-01,3185.318
2001-01-01,2293.984
2001-02-01,1867.484
2001-03-01,2117.408
2001-04-01,1990.031
2001-05-01,2106.541
2001-06-01,2250.519
2001-07-01,2160.269
2001-08-01,2222.448
2001-09-01,2160.873
2001-10-01,2332.016
2001-11-01,2410.494
2001-12-01,2967.691
2002-01-01,2150.006
2002-02-01,1841.526
2002-03-01,1973.128
2002-04-01,1891.329
2002-05-01,1965.28
2002-06-01,2129.783
2002-07-01,2072.433
2002-08-01,2108.956
2002-09-01,2056.436
2002-10-01,2073.641
2002-11-01,2208.865
2002-12-01,2775.117
2003-01-01,2006.029
2003-02-01,1845.148
2003-03-01,1978.561
2003-04-01,1887.707
2003-05-01,1969.506
2003-06-01,2088.129
2003-07-01,2010.858
2003-08-01,2086.318
2003-09-01,2062.171
2003-10-01,2066.095
2003-11-01,2181.096
2003-12-01,2744.933
2004-01-01,2015.989
2004-02-01,1833.98
2004-03-01,1983.391
2004-04-01,1865.673
2004-05-01,2033.496
2004-06-01,2168.117
2004-07-01,2165.4
2004-08-01,2188.34
2004-09-01,2157.552
2004-10-01,2188.944
2004-11-01,2279.496
2004-12-01,2731.652
2005-01-01,2148.497
2005-02-01,1967.997
2005-03-01,2050.399
2005-04-01,2019.913
2005-05-01,2136.122
2005-06-01,2166.306
2005-07-01,2277.383
2005-08-01,2336.543
2005-09-01,2210.676
2005-10-01,2258.669
2005-11-01,2350.126
2005-12-01,2829.146
2006-01-01,2244.482
2006-02-01,1979.467
2006-03-01,2153.327
2006-04-01,2081.187
2006-05-01,2232.107
2006-06-01,2349.221
2006-07-01,2318.433
2006-08-01,2267.724
2006-09-01,2358.276
2006-10-01,2449.733
2006-11-01,2536.663
2006-12-01,3019.909
2007-01-01,2482.634
2007-02-01,2161.778
2007-03-01,2362.804
2007-04-01,2213.996
2007-05-01,2380.008
2007-06-01,2534.249
2007-07-01,2518.855
2007-08-01,2481.125
2007-09-01,2472.975
2007-10-01,2609.105
2007-11-01,2687.282
2007-12-01,3256.854
2008-01-01,2538.474
2008-02-01,2346.806
2008-03-01,2416.833
2008-04-01,2370.953
2008-05-01,2417.437
2008-06-01,2599.748
2008-07-01,2575.903
2008-08-01,2602.464
2008-09-01,2708.41
2008-10-01,2773.306
2008-11-01,2860.236
2008-12-01,3274.964
