ds,y
2010-01-01,1426.296
2010-04-01,2158.442
2010-07-01,2463.907
2010-10-01,1871.525
2011-01-01,1230.128
2011-04-01,1898.148
2011-07-01,1306.019
2011-10-01,1161.807
2012-01-01,1074.146
2012-04-01,1307.787
2012-07-01,1467.787
2012-10-01,994.411
2013-01-01,1071.778
2013-04-01,2036.638
2013-07-01,1854.964
2013-10-01,949.7
2014-01-01,1101.811
2014-04-01,1296.241
2014-07-01,1495.826
2014-10-01,1281.355
2015-01-01,1296.027
2015-04-01,1347.59
2015-07-01,1987.938
2015-10-01,1742.435
2016-01-01,971.671
2016-04-01,1516.029
2016-07-01,1737.572
2016-10-01,553.306
2017-01-01,1725.189
2017-04-01,1369.334
2017-07-01,1473.32
2017-10-01,1155.992
2018-01-01,1206.558
2018-04-01,1547.502
2018-07-01,1767.242
2018-10-01,1508.4
2019-01-01,1345.831
2019-04-01,1143.83
2019-07-01,1362.143
2019-10-01,918.844
2020-01-01,1531.736
2020-04-01,1604.108
2020-07-01,2127.962
2020-10-01,1288.399
2021-01-01,1471.357
2021-04-01,1991.46
2021-07-01,2130.493
2021-10-01,1333.147
2022-01-01,777.031
2022-04-01,1998.273
2022-07-01,2308.262
2022-10-01,1111.299
2023-01-01,1233.482
2023-04-01,1545.138
2023-07-01,1785.066
2023-10-01,1418.579
2024-01-01,1354.23
2024-04-01,1578.234
2024-07-01,2313.822
2024-10-01,865.756
2025-01-01,1239.642
2025-04-01,1795.508
