ds,y
1987-01-01,1964.066
1987-02-01,1951.696
1987-03-01,1961.945
1987-04-01,1977.497
1987-05-01,1980.678
1987-06-01,2005.065
1987-07-01,1984.212
1987-08-01,2004.712
1987-09-01,2006.479
1987-10-01,2017.082
1987-11-01,2016.729
1987-12-01,2015.315
1988-01-01,2001.884
1988-02-01,2008.6
1988-03-01,2013.901
1988-04-01,2018.142
1988-05-01,2029.806
1988-06-01,2040.763
1988-07-01,2011.074
1988-08-01,2037.582
1988-09-01,2048.185
1988-10-01,2062.322
1988-11-01,2070.452
1988-12-01,2076.107
1989-01-01,2071.512
1989-02-01,2068.684
1989-03-01,2080.348
1989-04-01,2087.77
1989-05-01,2105.442
1989-06-01,2128.416
1989-07-01,2114.632
1989-08-01,2141.493
1989-09-01,2151.743
1989-10-01,2167.294
1989-11-01,2175.423
1989-12-01,2173.656
1990-01-01,2160.932
1990-02-01,2164.467
1990-03-01,2168.001
1990-04-01,2158.812
1990-05-01,2146.795
1990-06-01,2146.088
1990-07-01,2095.192
1990-08-01,2135.131
1990-09-01,2136.545
1990-10-01,2141.493
1990-11-01,2142.553
1990-12-01,2146.441
1991-01-01,2129.476
1991-02-01,2126.648
1991-03-01,2123.114
1991-04-01,2117.106
1991-05-01,2132.304
1991-06-01,2146.088
1991-07-01,2111.804
1991-08-01,2135.838
1991-09-01,2142.907
1991-10-01,2146.441
1991-11-01,2153.863
1991-12-01,2158.812
1992-01-01,2143.967
1992-02-01,2152.45
1992-03-01,2154.924
1992-04-01,2155.631
1992-05-01,2167.648
1992-06-01,2180.018
1992-07-01,2155.631
1992-08-01,2175.423
1992-09-01,2180.725
1992-10-01,2199.104
1992-11-01,2212.534
1992-12-01,2225.612
1993-01-01,2220.31
1993-02-01,2231.974
1993-03-01,2241.87
1993-04-01,2251.413
1993-05-01,2260.602
1993-06-01,2276.507
1993-07-01,2259.542
1993-08-01,2278.981
1993-09-01,2281.102
1993-10-01,2293.472
1993-11-01,2301.601
1993-12-01,2313.972
1994-01-01,2306.549
1994-02-01,2313.618
1994-03-01,2320.687
1994-04-01,2326.342
1994-05-01,2331.997
1994-06-01,2348.255
1994-07-01,2356.031
1994-08-01,2370.522
1994-09-01,2371.582
1994-10-01,2379.358
1994-11-01,2390.668
1994-12-01,2397.737
1995-01-01,2386.78
1995-02-01,2396.323
1995-03-01,2403.039
1995-04-01,2406.926
1995-05-01,2395.97
1995-06-01,2416.116
1995-07-01,2408.694
1995-08-01,2415.762
1995-09-01,2407.987
1995-10-01,2407.28
1995-11-01,2401.271
1995-12-01,2398.09
1996-01-01,2371.936
1996-02-01,2345.074
1996-03-01,2348.609
1996-04-01,2323.515
1996-05-01,2306.549
1996-06-01,2289.584
1996-07-01,2248.585
1996-08-01,2246.111
1996-09-01,2225.258
1996-10-01,2201.931
1996-11-01,2182.492
1996-12-01,2176.13
1997-01-01,2150.329
1997-02-01,2147.855
1997-03-01,2157.398
1997-04-01,2163.76
1997-05-01,2157.398
1997-06-01,2172.949
1997-07-01,2149.269
1997-08-01,2147.148
1997-09-01,2120.993
1997-10-01,2106.502
1997-11-01,2094.839
1997-12-01,2079.641
1998-01-01,2057.728
1998-02-01,2044.297
1998-03-01,2054.9
1998-04-01,2026.272
1998-05-01,2026.625
1998-06-01,2036.521
1998-07-01,2018.142
1998-08-01,2017.082
1998-09-01,2011.78
1998-10-01,2014.608
1998-11-01,2009.66
