ds,y
2004-01-01,154.056
2004-04-01,78.035
2004-07-01,85.907
2004-10-01,141.794
2005-01-01,197.498
2005-04-01,130.803
2005-07-01,71.593
2005-10-01,73.967
2006-01-01,193.636
2006-04-01,84.784
2006-07-01,53.161
2006-10-01,137.616
2007-01-01,186.776
2007-04-01,153.209
2007-07-01,58.06
2007-10-01,168.301
2008-01-01,232.989
2008-04-01,138.622
2008-07-01,41.583
2008-10-01,160.423
2009-01-01,205.533
2009-04-01,144.557
2009-07-01,53.447
2009-10-01,82.372
2010-01-01,188.631
2010-04-01,165.688
2010-07-01,71.252
2010-10-01,94.117
2011-01-01,183.802
2011-04-01,140.06
2011-07-01,66.341
2011-10-01,167.271
2012-01-01,232.002
2012-04-01,99.024
2012-07-01,58.086
2012-10-01,68.928
2013-01-01,223.923
2013-04-01,127.613
2013-07-01,74.17
2013-10-01,92.709
2014-01-01,250.567
2014-04-01,135.36
2014-07-01,69.362
2014-10-01,96.431
2015-01-01,184.712
2015-04-01,113.807
2015-07-01,49.318
2015-10-01,52.346
2016-01-01,199.736
2016-04-01,110.689
2016-07-01,57.312
2016-10-01,112.281
2017-01-01,218.591
2017-04-01,107.588
2017-07-01,78.832
2017-10-01,100.416
2018-01-01,197.884
2018-04-01,185.482
2018-07-01,66.137
2018-10-01,100.893
