ds,y
2000-10-01,754.663
2000-11-01,757.191
2000-12-01,759.035
2001-01-01,748.309
2001-02-01,751.657
2001-03-01,754.389
2001-04-01,762.11
2001-05-01,769.01
2001-06-01,771.469
2001-07-01,765.731
2001-08-01,762.929
2001-09-01,763.818
2001-10-01,766.755
2001-11-01,767.37
2001-12-01,765.662
2002-01-01,753.296
2002-02-01,749.06
2002-03-01,754.526
2002-04-01,760.607
2002-05-01,767.575
2002-06-01,769.078
2002-07-01,766.004
2002-08-01,766.755
2002-09-01,770.24
2002-10-01,775.09
2002-11-01,776.047
2002-12-01,776.457
2003-01-01,766.96
2003-02-01,766.96
2003-03-01,770.65
2003-04-01,777.687
2003-05-01,785.748
2003-06-01,788.891
2003-07-01,784.997
2003-08-01,783.699
2003-09-01,784.928
2003-10-01,788.208
2003-11-01,789.164
2003-12-01,790.257
2004-01-01,777.003
2004-02-01,781.786
2004-03-01,785.612
2004-04-01,794.767
2004-05-01,802.077
2004-06-01,804.673
2004-07-01,800.642
2004-08-01,801.12
2004-09-01,800.574
2004-10-01,803.17
2004-11-01,802.213
2004-12-01,803.443
2005-01-01,793.059
2005-02-01,794.493
2005-03-01,799.549
2005-04-01,804.4
2005-05-01,810.822
2005-06-01,811.847
2005-07-01,806.996
2005-08-01,806.723
2005-09-01,811.163
2005-10-01,812.325
2005-11-01,812.325
2005-12-01,813.281
2006-01-01,802.487
2006-02-01,806.518
2006-03-01,811.573
2006-04-01,819.293
2006-05-01,829.063
2006-06-01,830.84
2006-07-01,826.877
2006-08-01,826.535
2006-09-01,828.517
2006-10-01,832.752
2006-11-01,833.914
2006-12-01,835.349
2007-01-01,821.685
2007-02-01,823.393
2007-03-01,825.852
2007-04-01,831.591
2007-05-01,837.808
2007-06-01,839.038
2007-07-01,836.783
2007-08-01,834.46
2007-09-01,835.349
2007-10-01,838.696
2007-11-01,839.38
2007-12-01,840.609
2008-01-01,828.107
2008-02-01,831.044
2008-03-01,838.081
2008-04-01,843.479
2008-05-01,850.584
2008-06-01,856.186
2008-07-01,851.54
2008-08-01,854.615
2008-09-01,856.664
2008-10-01,859.192
2008-11-01,860.012
2008-12-01,860.422
2009-01-01,846.143
2009-02-01,847.92
2009-03-01,851.609
2009-04-01,858.031
2009-05-01,864.726
2009-06-01,866.161
2009-07-01,860.627
2009-08-01,858.987
2009-09-01,860.49
2009-10-01,857.826
2009-11-01,856.255
2009-12-01,860.149
2010-01-01,845.323
2010-02-01,845.46
2010-03-01,852.087
2010-04-01,859.124
2010-05-01,865.888
2010-06-01,869.44
2010-07-01,862.403
2010-08-01,864.248
2010-09-01,861.652
2010-10-01,860.08
2010-11-01,860.832
2010-12-01,860.422
2011-01-01,852.019
2011-02-01,854.683
2011-03-01,856.528
2011-04-01,862.267
2011-05-01,869.509
2011-06-01,871.558
2011-07-01,866.981
2011-08-01,866.639
2011-09-01,863.36
2011-10-01,865.683
2011-11-01,866.161
2011-12-01,863.633
2012-01-01,853.044
2012-02-01,851.814
2012-03-01,863.701
2012-04-01,872.036
2012-05-01,884.676
2012-06-01,888.023
2012-07-01,878.459
2012-08-01,875.999
2012-09-01,867.049
2012-10-01,864.248
2012-11-01,866.844
2012-12-01,869.714
2013-01-01,859.397
2013-02-01,858.441
2013-03-01,867.322
2013-04-01,877.297
2013-05-01,884.402
2013-06-01,886.725
2013-07-01,875.999
2013-08-01,876.956
2013-09-01,869.85
2013-10-01,868.757
2013-11-01,870.192
2013-12-01,870.533
2014-01-01,869.577
2014-02-01,868.757
2014-03-01,871.968
2014-04-01,880.098
2014-05-01,888.297
2014-06-01,890.278
2014-07-01,883.924
2014-08-01,881.26
2014-09-01,880.508
2014-10-01,881.738
2014-11-01,881.396
2014-12-01,884.949
2015-01-01,874.769
2015-02-01,878.595
2015-03-01,885.837
2015-04-01,897.588
2015-05-01,908.588
2015-06-01,906.743
2015-07-01,902.644
2015-08-01,899.979
2015-09-01,894.65
2015-10-01,891.918
2015-11-01,897.52
2015-12-01,898.271
2016-01-01,887.34
2016-02-01,889.936
2016-03-01,899.843
2016-04-01,908.998
2016-05-01,915.351
2016-06-01,917.401
2016-07-01,911.867
2016-08-01,912.209
2016-09-01,907.7
2016-10-01,903.669
2016-11-01,894.172
2016-12-01,895.06
2017-01-01,875.862
2017-02-01,876.682
2017-03-01,875.384
2017-04-01,878.322
2017-05-01,881.67
2017-06-01,886.93
2017-07-01,881.465
2017-08-01,878.322
2017-09-01,871.558
2017-10-01,865.478
2017-11-01,863.701
2017-12-01,863.633
2018-01-01,848.876
2018-02-01,854.342
2018-03-01,860.217
2018-04-01,867.527
2018-05-01,874.359
2018-06-01,874.496
2018-07-01,866.776
2018-08-01,863.838
2018-09-01,861.174
2018-10-01,867.254
2018-11-01,867.254
2018-12-01,867.459
2019-01-01,853.658
2019-02-01,862.54
2019-03-01,869.987
2019-04-01,877.912
2019-05-01,887.818
2019-06-01,891.508
2019-07-01,888.638
2019-08-01,889.731
2019-09-01,887.75
2019-10-01,883.719
2019-11-01,883.241
2019-12-01,887.75
2020-01-01,875.043
2020-02-01,879.278
2020-03-01,887.75
2020-04-01,894.172
2020-05-01,900.048
2020-06-01,905.787
2020-07-01,904.352
2020-08-01,904.147
2020-09-01,900.663
2020-10-01,902.097
2020-11-01,907.153
2020-12-01,908.861
2021-01-01,898.545
2021-02-01,898.955
2021-03-01,905.24
2021-04-01,912.277
2021-05-01,922.662
2021-06-01,927.171
2021-07-01,923.208
2021-08-01,922.388
2021-09-01,922.047
2021-10-01,924.165
2021-11-01,920.954
2021-12-01,922.457
2022-01-01,913.233
2022-02-01,913.78
2022-03-01,923.618
2022-04-01,933.524
2022-05-01,944.592
2022-06-01,945.754
2022-07-01,944.661
2022-08-01,945.48
2022-09-01,940.22
