ds,y
2002-01-01,40.923
2002-02-01,37.477
2002-03-01,40.636
2002-04-01,40.636
2002-05-01,44.082
2002-06-01,39.487
2002-07-01,42.933
2002-08-01,43.939
2002-09-01,41.498
2002-10-01,45.087
2002-11-01,47.672
2002-12-01,63.754
2003-01-01,42.072
2003-02-01,39.344
2003-03-01,39.344
2003-04-01,38.626
2003-05-01,39.631
2003-06-01,36.328
2003-07-01,38.195
2003-08-01,36.185
2003-09-01,40.78
2003-10-01,44.8
2003-11-01,50.256
2003-12-01,83.713
2004-01-01,43.939
2004-02-01,38.051
2004-03-01,40.349
2004-04-01,40.78
2004-05-01,39.487
2004-06-01,39.2
2004-07-01,40.062
2004-08-01,41.928
2004-09-01,57.149
2004-10-01,59.303
2004-11-01,64.903
2004-12-01,103.241
2005-01-01,52.554
2005-02-01,46.667
2005-03-01,50.831
2005-04-01,46.523
2005-05-01,48.533
2005-06-01,50.113
2005-07-01,49.969
2005-08-01,51.118
2005-09-01,53.846
2005-10-01,57.867
2005-11-01,62.749
2005-12-01,99.364
2006-01-01,58.872
2006-02-01,48.533
2006-03-01,57.436
2006-04-01,63.467
2006-05-01,63.18
2006-06-01,67.918
2006-07-01,59.59
2006-08-01,63.898
2006-09-01,66.051
2006-10-01,66.769
2006-11-01,76.533
2006-12-01,124.636
2007-01-01,70.503
2007-02-01,60.739
2007-03-01,68.492
2007-04-01,65.764
2007-05-01,72.944
2007-06-01,69.641
2007-07-01,67.774
2007-08-01,62.462
2007-09-01,63.898
2007-10-01,66.195
2007-11-01,77.251
2007-12-01,115.877
2008-01-01,68.923
2008-02-01,56.431
2008-03-01,69.785
2008-04-01,60.595
2008-05-01,61.026
2008-06-01,68.349
2008-07-01,71.364
2008-08-01,76.103
2008-09-01,82.851
2008-10-01,85.292
2008-11-01,84.862
2008-12-01,138.134
2009-01-01,79.549
2009-02-01,59.733
2009-03-01,62.605
2009-04-01,63.898
2009-05-01,59.59
2009-06-01,68.923
2009-07-01,69.641
2009-08-01,78.257
2009-09-01,91.18
2009-10-01,95.775
2009-11-01,86.872
2009-12-01,146.605
2010-01-01,84.575
2010-02-01,68.636
2010-03-01,70.503
2010-04-01,69.785
2010-05-01,68.636
2010-06-01,76.677
