ds,y
1991-01-01,60.82
1991-04-01,27.587
1991-07-01,52.1
1991-10-01,28.888
1992-01-01,31.75
1992-04-01,50.569
1992-07-01,46.674
1992-10-01,30.112
1993-01-01,42.589
1993-04-01,52.627
1993-07-01,49.398
1993-10-01,62.207
1994-01-01,29.799
1994-04-01,35.187
1994-07-01,32.929
1994-10-01,52.619
1995-01-01,43.43
1995-04-01,41.457
1995-07-01,29.055
1995-10-01,44.023
1996-01-01,37.67
1996-04-01,38.645
1996-07-01,23.668
1996-10-01,42.545
1997-01-01,37.291
1997-04-01,41.045
1997-07-01,48.593
1997-10-01,44.602
1998-01-01,35.704
1998-04-01,42.514
1998-07-01,40.629
1998-10-01,40.68
1999-01-01,35.696
1999-04-01,34.206
1999-07-01,39.254
1999-10-01,33.693
2000-01-01,36.483
2000-04-01,29.48
2000-07-01,34.668
2000-10-01,31.853
2001-01-01,27.628
2001-04-01,46.069
2001-07-01,48.494
2001-10-01,54.313
2002-01-01,52.432
2002-04-01,45.759
2002-07-01,53.269
2002-10-01,33.272
2003-01-01,50.461
2003-04-01,31.864
2003-07-01,44.763
2003-10-01,36.569
2004-01-01,56.514
2004-04-01,46.269
2004-07-01,41.432
2004-10-01,45.852
2005-01-01,49.222
2005-04-01,68.158
2005-07-01,90.625
2005-10-01,55.188
2006-01-01,64.266
2006-04-01,64.41
2006-07-01,52.751
2006-10-01,77.154
