ds,y
1983-01-01,101.442
1983-02-01,89.305
1983-03-01,111.406
1983-04-01,115.002
1983-05-01,116.875
1983-06-01,103.839
1983-07-01,106.911
1983-08-01,101.666
1983-09-01,104.663
1983-10-01,113.129
1983-11-01,117.025
1983-12-01,181.082
1984-01-01,112.755
1984-02-01,96.497
1984-03-01,109.758
1984-04-01,122.719
1984-05-01,114.927
1984-06-01,113.279
1984-07-01,109.758
1984-08-01,103.764
1984-09-01,103.989
1984-10-01,111.406
1984-11-01,116.725
1984-12-01,173.889
1985-01-01,106.162
1985-02-01,88.106
1985-03-01,101.666
1985-04-01,113.279
1985-05-01,114.478
1985-06-01,106.237
1985-07-01,106.386
1985-08-01,99.793
1985-09-01,98.295
1985-10-01,118.449
1985-11-01,115.302
1985-12-01,167.296
1986-01-01,110.507
1986-02-01,89.005
1986-03-01,104.588
1986-04-01,123.693
1986-05-01,122.569
1986-06-01,106.761
1986-07-01,117.924
1986-08-01,110.582
1986-09-01,115.751
1986-10-01,125.566
1986-11-01,131.11
1986-12-01,186.85
1987-01-01,117.175
1987-02-01,103.39
1987-03-01,125.041
1987-04-01,142.273
1987-05-01,145.42
1987-06-01,135.455
1987-07-01,148.716
1987-08-01,136.504
1987-09-01,140.025
1987-10-01,147.892
1987-11-01,160.029
1987-12-01,237.197
1988-01-01,138.977
1988-02-01,126.615
1988-03-01,159.879
1988-04-01,165.573
1988-05-01,163.475
1988-06-01,167.596
1988-07-01,168.27
1988-08-01,163.401
1988-09-01,174.414
1988-10-01,182.056
1988-11-01,188.274
1988-12-01,267.539
1989-01-01,165.573
1989-02-01,141.524
1989-03-01,166.173
1989-04-01,170.818
1989-05-01,187.824
1989-06-01,208.278
1989-07-01,131.485
1989-08-01,143.022
1989-09-01,145.869
1989-10-01,156.957
1989-11-01,184.378
1989-12-01,273.533
1990-01-01,159.505
1990-02-01,141.898
1990-03-01,172.316
1990-04-01,165.798
1990-05-01,171.342
1990-06-01,164.3
1990-07-01,165.423
1990-08-01,159.205
1990-09-01,161.378
1990-10-01,181.082
1990-11-01,189.098
1990-12-01,273.458
1991-01-01,175.612
1991-02-01,154.71
1991-03-01,179.134
1991-04-01,204.681
1991-05-01,212.473
1991-06-01,189.772
1991-07-01,193.219
1991-08-01,193.443
1991-09-01,196.89
1991-10-01,214.871
1991-11-01,228.131
1991-12-01,307.247
1992-01-01,179.958
1992-02-01,169.544
1992-03-01,206.03
1992-04-01,214.945
1992-05-01,223.262
1992-06-01,208.203
1992-07-01,205.506
1992-08-01,200.935
1992-09-01,205.655
1992-10-01,236.148
1992-11-01,243.415
1992-12-01,340.436
1993-01-01,209.626
1993-02-01,199.887
1993-03-01,221.389
1993-04-01,234.799
1993-05-01,242.516
1993-06-01,232.851
1993-07-01,236.897
1993-08-01,231.877
1993-09-01,232.027
1993-10-01,245.962
1993-11-01,247.311
1993-12-01,354.596
1994-01-01,218.092
1994-02-01,205.206
1994-03-01,229.48
1994-04-01,230.754
1994-05-01,258.099
1994-06-01,245.513
1994-07-01,231.802
1994-08-01,230.604
1994-09-01,245.288
1994-10-01,252.555
1994-11-01,253.305
1994-12-01,348.753
1995-01-01,223.786
1995-02-01,205.131
1995-03-01,240.194
1995-04-01,240.343
1995-05-01,248.51
1995-06-01,250.757
1995-07-01,236.972
1995-08-01,243.415
1995-09-01,250.458
1995-10-01,285.22
1995-11-01,281.4
1995-12-01,374.076
1996-01-01,243.79
1996-02-01,224.685
1996-03-01,268.663
1996-04-01,263.718
1996-05-01,276.68
1996-06-01,271.81
1996-07-01,275.93
1996-08-01,272.559
1996-09-01,278.478
1996-10-01,307.622
1996-11-01,331.671
1996-12-01,443.451
1997-01-01,282.898
1997-02-01,261.321
1997-03-01,284.097
1997-04-01,312.791
1997-05-01,328.674
1997-06-01,292.263
1997-07-01,302.452
1997-08-01,292.413
1997-09-01,301.553
1997-10-01,325.677
1997-11-01,333.319
1997-12-01,467.126
1998-01-01,304.55
1998-02-01,255.402
1998-03-01,324.853
1998-04-01,333.844
1998-05-01,344.482
1998-06-01,325.303
1998-07-01,320.433
1998-08-01,314.214
1998-09-01,318.035
1998-10-01,327.625
1998-11-01,351.3
1998-12-01,495.296
1999-01-01,333.844
1999-02-01,275.331
1999-03-01,318.785
1999-04-01,334.817
1999-05-01,367.108
1999-06-01,345.606
1999-07-01,334.892
1999-08-01,322.606
1999-09-01,331.971
1999-10-01,346.505
1999-11-01,359.092
1999-12-01,547.515
2000-01-01,331.971
2000-02-01,284.246
2000-03-01,334.668
2000-04-01,374.825
2000-05-01,378.646
2000-06-01,363.287
2000-07-01,316.462
2000-08-01,313.765
2000-09-01,313.915
2000-10-01,344.332
2000-11-01,340.961
2000-12-01,546.317
2001-01-01,353.622
2001-02-01,296.983
2001-03-01,362.388
2001-04-01,357.144
2001-05-01,387.936
2001-06-01,378.271
2001-07-01,339.762
2001-08-01,340.362
2001-09-01,330.772
2001-10-01,365.984
2001-11-01,374.076
2001-12-01,560.626
2002-01-01,359.391
2002-02-01,310.468
2002-03-01,332.195
2002-04-01,369.805
2002-05-01,387.561
2002-06-01,362.163
2002-07-01,347.179
2002-08-01,368.831
2002-09-01,364.935
2002-10-01,404.044
2002-11-01,417.829
2002-12-01,597.337
2003-01-01,376.398
2003-02-01,325.378
2003-03-01,363.287
2003-04-01,374.525
