ds,y
1988-01-01,5.733
1988-02-01,6.116
1988-03-01,9.173
1988-04-01,8.027
1988-05-01,9.173
1988-06-01,9.173
1988-07-01,10.32
1988-08-01,10.702
1988-09-01,9.556
1988-10-01,9.556
1988-11-01,8.791
1988-12-01,12.613
1989-01-01,7.262
1989-02-01,7.644
1989-03-01,9.173
1989-04-01,8.791
1989-05-01,9.938
1989-06-01,9.938
1989-07-01,10.32
1989-08-01,11.084
1989-09-01,9.938
1989-10-01,9.556
1989-11-01,9.556
1989-12-01,11.849
1990-01-01,8.027
1990-02-01,8.027
1990-03-01,8.791
1990-04-01,8.791
1990-05-01,9.556
1990-06-01,9.938
1990-07-01,10.32
1990-08-01,11.084
1990-09-01,9.938
1990-10-01,10.32
1990-11-01,9.938
1990-12-01,11.849
1991-01-01,8.027
1991-02-01,8.027
1991-03-01,8.791
1991-04-01,9.173
1991-05-01,8.791
1991-06-01,9.556
1991-07-01,10.32
1991-08-01,10.702
1991-09-01,10.32
1991-10-01,10.32
1991-11-01,9.938
1991-12-01,12.995
1992-01-01,8.409
1992-02-01,8.409
1992-03-01,9.938
1992-04-01,9.556
1992-05-01,10.32
1992-06-01,11.084
1992-07-01,11.849
1992-08-01,11.849
1992-09-01,11.467
1992-10-01,10.702
1992-11-01,9.938
1992-12-01,12.613
1993-01-01,8.409
1993-02-01,8.791
1993-03-01,9.173
1993-04-01,9.938
1993-05-01,10.702
1993-06-01,11.084
1993-07-01,12.231
1993-08-01,12.613
1993-09-01,11.849
1993-10-01,11.467
1993-11-01,11.467
1993-12-01,14.524
1994-01-01,9.173
1994-02-01,9.556
1994-03-01,10.702
1994-04-01,10.32
1994-05-01,11.467
1994-06-01,11.467
1994-07-01,11.849
1994-08-01,12.995
1994-09-01,12.231
1994-10-01,12.231
1994-11-01,11.849
1994-12-01,14.142
1995-01-01,11.467
1995-02-01,10.702
1995-03-01,12.613
1995-04-01,11.849
1995-05-01,13.76
1995-06-01,13.76
1995-07-01,14.907
1995-08-01,14.907
1995-09-01,13.378
1995-10-01,13.378
1995-11-01,13.76
1995-12-01,16.053
1996-01-01,13.378
1996-02-01,12.231
1996-03-01,13.76
1996-04-01,13.76
1996-05-01,15.671
1996-06-01,15.671
1996-07-01,17.2
1996-08-01,16.818
1996-09-01,14.907
1996-10-01,14.907
1996-11-01,14.907
1996-12-01,17.2
1997-01-01,12.613
1997-02-01,12.613
1997-03-01,12.995
1997-04-01,12.613
1997-05-01,14.142
1997-06-01,14.142
1997-07-01,17.582
1997-08-01,16.435
1997-09-01,16.435
1997-10-01,14.524
1997-11-01,15.671
1997-12-01,17.582
1998-01-01,12.231
1998-02-01,13.76
1998-03-01,14.524
1998-04-01,14.142
1998-05-01,15.671
1998-06-01,16.818
1998-07-01,16.818
1998-08-01,18.729
1998-09-01,17.2
1998-10-01,16.053
1998-11-01,16.818
1998-12-01,19.875
1999-01-01,14.524
1999-02-01,13.378
1999-03-01,14.142
1999-04-01,11.084
1999-05-01,12.613
1999-06-01,13.76
1999-07-01,12.995
1999-08-01,13.378
1999-09-01,12.231
1999-10-01,11.467
1999-11-01,12.231
1999-12-01,13.76
2000-01-01,11.849
2000-02-01,12.231
2000-03-01,12.231
