ds,y
2001-01-01,655.166
2001-02-01,544.861
2001-03-01,631.846
2001-04-01,545.231
2001-05-01,550.413
2001-06-01,550.043
2001-07-01,572.992
2001-08-01,575.583
2001-09-01,580.765
2001-10-01,550.043
2001-11-01,547.452
2001-12-01,609.637
2002-01-01,633.327
2002-02-01,559.297
2002-03-01,619.261
2002-04-01,619.261
2002-05-01,615.559
2002-06-01,591.5
2002-07-01,653.685
2002-08-01,664.049
2002-09-01,662.939
2002-10-01,749.554
2002-11-01,761.399
2002-12-01,828.766
2003-01-01,858.378
2003-02-01,777.685
2003-03-01,820.252
2003-04-01,799.154
2003-05-01,782.127
2003-06-01,750.294
2003-07-01,746.593
2003-08-01,763.99
2003-09-01,731.787
2003-10-01,791.751
2003-11-01,770.282
2003-12-01,822.103
2004-01-01,832.838
2004-02-01,712.539
2004-03-01,794.342
2004-04-01,766.21
2004-05-01,779.536
2004-06-01,734.007
2004-07-01,766.21
2004-08-01,773.613
2004-09-01,781.757
2004-10-01,799.154
2004-11-01,777.685
2004-12-01,833.948
2005-01-01,796.193
2005-02-01,707.727
2005-03-01,732.897
2005-04-01,637.768
2005-05-01,618.521
2005-06-01,626.294
2005-07-01,645.912
2005-08-01,594.831
2005-09-01,590.389
2005-10-01,637.398
2005-11-01,615.559
2005-12-01,666.27
2006-01-01,641.47
2006-02-01,553.744
2006-03-01,610.007
2006-04-01,584.837
2006-05-01,595.201
2006-06-01,582.246
2006-07-01,561.888
2006-08-01,590.759
2006-09-01,606.306
2006-10-01,614.819
2006-11-01,610.377
2006-12-01,608.527
2007-01-01,578.174
2007-02-01,527.834
2007-03-01,574.473
2007-04-01,595.942
2007-05-01,582.246
2007-06-01,604.455
2007-07-01,711.058
2007-08-01,709.207
2007-09-01,755.476
2007-10-01,815.811
2007-11-01,726.975
2007-12-01,809.518
2008-01-01,792.121
2008-02-01,717.351
2008-03-01,807.667
2008-04-01,685.518
2008-05-01,657.757
2008-06-01,678.485
2008-07-01,698.103
2008-08-01,694.401
2008-09-01,696.252
2008-10-01,756.957
2008-11-01,705.506
2008-12-01,810.258
2009-01-01,849.124
2009-02-01,674.043
2009-03-01,767.321
2009-04-01,760.288
2009-05-01,732.897
2009-06-01,721.422
2009-07-01,775.094
2009-08-01,751.034
2009-09-01,742.521
2009-10-01,808.778
2009-11-01,755.106
2009-12-01,850.605
2010-01-01,836.539
2010-02-01,672.933
2010-03-01,747.333
2010-04-01,842.461
2010-05-01,853.566
2010-06-01,812.109
2010-07-01,867.632
2010-08-01,880.587
2010-09-01,863.19
2010-10-01,942.032
2010-11-01,893.172
2010-12-01,1008.289
2011-01-01,984.229
2011-02-01,852.455
2011-03-01,897.984
2011-04-01,988.3
2011-05-01,977.566
2011-06-01,944.253
2011-07-01,1015.692
2011-08-01,959.429
2011-09-01,983.489
2011-10-01,1013.841
2011-11-01,941.291
2011-12-01,1038.271
2012-01-01,964.611
2012-02-01,865.041
2012-03-01,921.674
2012-04-01,934.999
2012-05-01,921.674
2012-06-01,929.447
2012-07-01,1045.674
2012-08-01,972.014
2012-09-01,990.521
2012-10-01,1109.71
2012-11-01,1085.65
2012-12-01,1197.435
2013-01-01,1083.059
2013-02-01,934.999
2013-03-01,1028.277
2013-04-01,1012.36
2013-05-01,1003.847
2013-06-01,987.93
2013-07-01,1094.904
2013-08-01,1071.954
2013-09-01,1054.187
2013-10-01,1013.101
2013-11-01,1014.581
2013-12-01,1094.163
2014-01-01,1034.569
2014-02-01,908.348
2014-03-01,1020.133
2014-04-01,1008.289
2014-05-01,1008.659
2014-06-01,1022.354
2014-07-01,1124.516
2014-08-01,1124.516
2014-09-01,1083.799
2014-10-01,1126.737
2014-11-01,1107.489
2014-12-01,1182.999
2015-01-01,1087.131
2015-02-01,1051.226
2015-03-01,1111.19
2015-04-01,1101.196
2015-05-01,1121.925
2015-06-01,1079.728
2015-07-01,1133.399
2015-08-01,1120.444
2015-09-01,1055.298
2015-10-01,1163.752
2015-11-01,1101.566
2015-12-01,1294.785
2016-01-01,1246.295
2016-02-01,1052.707
2016-03-01,1177.817
2016-04-01,1192.993
2016-05-01,1213.722
2016-06-01,1150.056
2016-07-01,1283.31
2016-08-01,1290.713
2016-09-01,1313.662
2016-10-01,1411.012
2016-11-01,1365.113
2016-12-01,1577.949
2017-01-01,1527.239
2017-02-01,1280.719
2017-03-01,1361.042
2017-04-01,1460.612
2017-05-01,1441.364
2017-06-01,1456.17
2017-07-01,1596.087
2017-08-01,1522.797
2017-09-01,1559.442
2017-10-01,1572.767
2017-11-01,1491.704
2017-12-01,1716.015
2018-01-01,1529.83
2018-02-01,1288.492
2018-03-01,1368.815
2018-04-01,1332.91
2018-05-01,1269.614
2018-06-01,1263.322
2018-07-01,1243.334
2018-08-01,1233.71
2018-09-01,1278.128
2018-10-01,1275.537
2018-11-01,1221.495
2018-12-01,1488.373
2019-01-01,1359.191
2019-02-01,1158.94
2019-03-01,1266.283
2019-04-01,1363.262
2019-05-01,1320.325
2019-06-01,1332.54
2019-07-01,1423.597
2019-08-01,1375.107
2019-09-01,1384.361
2019-10-01,1369.925
2019-11-01,1389.173
2019-12-01,1574.618
2020-01-01,1341.794
2020-02-01,1179.298
2020-03-01,1372.886
2020-04-01,1365.483
2020-05-01,1342.534
2020-06-01,1334.391
2020-07-01,1338.462
2020-08-01,1405.83
2020-09-01,1345.495
2020-10-01,1423.597
2020-11-01,1459.131
2020-12-01,1598.308
2021-01-01,1477.269
2021-02-01,1295.155
2021-03-01,1469.866
2021-04-01,1473.197
2021-05-01,1483.191
2021-06-01,1422.116
2021-07-01,1544.266
2021-08-01,1572.397
2021-09-01,1582.391
2021-10-01,1657.902
2021-11-01,1680.481
2021-12-01,1873.329
2022-01-01,1721.198
2022-02-01,1474.678
2022-03-01,1690.845
2022-04-01,1666.415
2022-05-01,1670.857
2022-06-01,1661.973
2022-07-01,1790.045
2022-08-01,1761.174
2022-09-01,1817.807
2022-10-01,1883.693
2022-11-01,1824.099
2022-12-01,1993.258
