ds,y
2004-10-01,10260.955
2004-11-01,10300.804
2004-12-01,10332.479
2005-01-01,10322.829
2005-02-01,10355.185
2005-03-01,10380.843
2005-04-01,10412.177
2005-05-01,10456.113
2005-06-01,10529.34
2005-07-01,10566.01
2005-08-01,10576.114
2005-09-01,10575.887
2005-10-01,10605.405
2005-11-01,10632.198
2005-12-01,10655.585
2006-01-01,10640.826
2006-02-01,10658.537
2006-03-01,10707.241
2006-04-01,10737.1
2006-05-01,10767.299
2006-06-01,10843.364
2006-07-01,10877.309
2006-08-01,10895.247
2006-09-01,10881.056
2006-10-01,10909.098
2006-11-01,10938.275
2006-12-01,10974.037
2007-01-01,10955.418
2007-02-01,10990.272
2007-03-01,11033.3
2007-04-01,11047.945
2007-05-01,11073.943
2007-06-01,11157.615
2007-07-01,11182.819
2007-08-01,11204.049
2007-09-01,11193.944
2007-10-01,11222.781
2007-11-01,11267.512
2007-12-01,11302.593
2008-01-01,11261.722
2008-02-01,11307.929
2008-03-01,11355.271
2008-04-01,11374.911
2008-05-01,11413.966
2008-06-01,11482.765
2008-07-01,11513.191
2008-08-01,11527.496
2008-09-01,11510.807
2008-10-01,11546.115
2008-11-01,11589.142
2008-12-01,11614.46
2009-01-01,11599.814
2009-02-01,11620.931
2009-03-01,11662.937
2009-04-01,11691.66
2009-05-01,11730.374
2009-06-01,11780.554
2009-07-01,11814.045
2009-08-01,11821.084
2009-09-01,11796.675
2009-10-01,11834.254
2009-11-01,11862.636
2009-12-01,11898.285
2010-01-01,11853.894
2010-02-01,11867.177
2010-03-01,11897.263
2010-04-01,11911.454
2010-05-01,11937.339
2010-06-01,11992.855
2010-07-01,12010.793
2010-08-01,12008.636
2010-09-01,11991.606
2010-10-01,12024.416
2010-11-01,12046.668
2010-12-01,12063.357
2011-01-01,12020.102
2011-02-01,12045.079
2011-03-01,12079.478
2011-04-01,12101.049
2011-05-01,12110.813
2011-06-01,12164.172
2011-07-01,12181.883
2011-08-01,12182.223
2011-09-01,12152.024
2011-10-01,12177.682
2011-11-01,12208.449
2011-12-01,12225.024
2012-01-01,12192.781
2012-02-01,12205.837
2012-03-01,12234.447
2012-04-01,12240.805
2012-05-01,12266.122
2012-06-01,12339.235
2012-07-01,12365.688
2012-08-01,12378.062
2012-09-01,12368.753
2012-10-01,12404.174
2012-11-01,12445.386
2012-12-01,12481.148
2013-01-01,12472.292
2013-02-01,12508.054
2013-03-01,12554.034
2013-04-01,12582.87
2013-05-01,12624.309
2013-06-01,12722.172
2013-07-01,12759.864
2013-08-01,12792.901
2013-09-01,12784.046
2013-10-01,12827.868
2013-11-01,12878.843
2013-12-01,12915.4
2014-01-01,12898.824
2014-02-01,12924.709
2014-03-01,12973.414
2014-04-01,13002.477
2014-05-01,13031.428
2014-06-01,13097.956
2014-07-01,13122.933
2014-08-01,13160.171
2014-09-01,13172.659
2014-10-01,13218.866
2014-11-01,13271.998
2014-12-01,13286.87
2015-01-01,13256.785
2015-02-01,13274.722
2015-03-01,13318.999
2015-04-01,13354.874
2015-05-01,13388.593
2015-06-01,13459.776
2015-07-01,13446.834
2015-08-01,13467.269
2015-09-01,13441.838
2015-10-01,13500.533
2015-11-01,13524.942
2015-12-01,13556.731
2016-01-01,13512.908
2016-02-01,13514.044
2016-03-01,13574.328
2016-04-01,13619.172
2016-05-01,13651.642
2016-06-01,13716.127
2016-07-01,13737.584
2016-08-01,13749.845
2016-09-01,13720.895
2016-10-01,13780.726
2016-11-01,13822.278
2016-12-01,13837.604
2017-01-01,13790.376
2017-02-01,13806.156
2017-03-01,13843.394
2017-04-01,13880.291
2017-05-01,13922.752
2017-06-01,14011.759
2017-07-01,14041.504
2017-08-01,14067.843
2017-09-01,14042.98
2017-10-01,14079.877
2017-11-01,14132.101
2017-12-01,14141.07
2018-01-01,14115.639
2018-02-01,14133.35
2018-03-01,14183.757
2018-04-01,14206.122
2018-05-01,14244.836
2018-06-01,14323.853
2018-07-01,14349.284
2018-08-01,14375.055
2018-09-01,14358.48
2018-10-01,14413.655
2018-11-01,14464.063
2018-12-01,14513.562
2019-01-01,14466.447
2019-02-01,14494.375
2019-03-01,14538.765
2019-04-01,14585.199
2019-05-01,14626.978
2019-06-01,14721.208
2019-07-01,14750.499
2019-08-01,14795.684
2019-09-01,14782.287
2019-10-01,14835.192
2019-11-01,14873.338
2019-12-01,14911.711
2020-01-01,14874.701
2020-02-01,14903.424
2020-03-01,14950.425
2020-04-01,14995.156
2020-05-01,15039.092
2020-06-01,15107.097
2020-07-01,15151.033
2020-08-01,15178.393
2020-09-01,15142.404
2020-10-01,15197.58
2020-11-01,15242.197
2020-12-01,15274.78
2021-01-01,15215.177
2021-02-01,15229.141
2021-03-01,15256.843
2021-04-01,15274.894
2021-05-01,15316.673
2021-06-01,15386.494
2021-07-01,15426.797
2021-08-01,15439.285
2021-09-01,15417.374
2021-10-01,15479.929
2021-11-01,15516.145
2021-12-01,15545.436
2022-01-01,15483.108
2022-02-01,15489.806
2022-03-01,15547.479
2022-04-01,15568.142
2022-05-01,15588.237
2022-06-01,15644.207
2022-07-01,15684.51
2022-08-01,15702.448
2022-09-01,15668.616
2022-10-01,15734.123
2022-11-01,15777.832
2022-12-01,15802.581
2023-01-01,15733.896
2023-02-01,15749.449
2023-03-01,15804.965
2023-04-01,15847.539
2023-05-01,15864.455
2023-06-01,15934.73
2023-07-01,15970.265
2023-08-01,15997.058
2023-09-01,15992.971
2023-10-01,16048.714
2023-11-01,16067.447
2023-12-01,16072.329
2024-01-01,16031.798
2024-02-01,16073.01
2024-03-01,16116.832
2024-04-01,16139.425
2024-05-01,16176.549
2024-06-01,16220.826
2024-07-01,16241.602
2024-08-01,16256.247
2024-09-01,16252.16
2024-10-01,16319.824
2024-11-01,16341.849
2024-12-01,16397.024
2025-01-01,16309.379
2025-02-01,16341.054
2025-03-01,16371.48
2025-04-01,16406.901
2025-05-01,16422.228
2025-06-01,16459.239
2025-07-01,16464.007
2025-08-01,16511.008
2025-09-01,16467.186
2025-10-01,16525.427
2025-11-01,16568.455
2025-12-01,16579.694
2026-01-01,16478.085
2026-02-01,16487.167
2026-03-01,16533.374
2026-04-01,16556.988
2026-05-01,16613.413
2026-06-01,16651.899
2026-07-01,16673.243
2026-08-01,16720.017
2026-09-01,16705.826
