ds,y
1979-01-01,739.848
1979-02-01,658.575
1979-03-01,835.696
1979-04-01,870.149
1979-05-01,936.846
1979-06-01,931.104
1979-07-01,750.448
1979-08-01,804.777
1979-09-01,895.768
1979-10-01,950.538
1979-11-01,985.433
1979-12-01,1849.398
1980-01-01,729.247
1980-02-01,671.384
1980-03-01,831.279
1980-04-01,952.747
1980-05-01,934.637
1980-06-01,927.128
1980-07-01,871.032
1980-08-01,873.683
1980-09-01,862.64
1980-10-01,896.651
1980-11-01,1090.116
1980-12-01,1928.904
1981-01-01,827.746
1981-02-01,747.356
1981-03-01,836.58
1981-04-01,972.182
1981-05-01,990.291
1981-06-01,942.146
1981-07-01,898.418
1981-08-01,882.075
1981-09-01,822.445
1981-10-01,900.626
1981-11-01,1107.784
1981-12-01,1954.081
1982-01-01,871.916
1982-02-01,759.282
1982-03-01,946.563
1982-04-01,939.054
1982-05-01,1064.497
1982-06-01,885.167
1982-07-01,999.567
1982-08-01,875.449
1982-09-01,1000.892
1982-10-01,1027.394
1982-11-01,1202.749
1982-12-01,2055.23
1983-01-01,946.121
1983-02-01,769.441
1983-03-01,922.711
1983-04-01,1085.699
1983-05-01,1052.129
1983-06-01,931.987
1983-07-01,1124.126
1983-08-01,939.496
1983-09-01,1006.634
1983-10-01,1111.317
1983-11-01,1257.962
1983-12-01,2203.2
1984-01-01,991.616
1984-02-01,821.12
1984-03-01,1031.37
1984-04-01,1045.062
1984-05-01,1119.71
1984-06-01,973.507
1984-07-01,1162.554
1984-08-01,977.482
1984-09-01,1097.624
1984-10-01,1145.328
1984-11-01,1343.21
1984-12-01,2332.618
1985-01-01,1007.076
1985-02-01,865.29
1985-03-01,990.291
1985-04-01,1151.07
1985-05-01,1171.83
1985-06-01,1318.916
1985-07-01,910.344
1985-08-01,1060.963
1985-09-01,1109.109
1985-10-01,1193.473
1985-11-01,1371.478
1985-12-01,2446.576
1986-01-01,1082.165
1986-02-01,913.436
1986-03-01,1184.198
1986-04-01,1174.039
1986-05-01,1218.209
1986-06-01,1160.346
1986-07-01,1218.209
1986-08-01,1028.278
1986-09-01,1110.434
1986-10-01,1239.41
1986-11-01,1453.635
1986-12-01,2534.033
1987-01-01,1116.176
1987-02-01,918.736
1987-03-01,1181.548
1987-04-01,1233.226
1987-05-01,1299.481
1987-06-01,1329.959
1987-07-01,1177.13
1987-08-01,1113.084
1987-09-01,1115.734
1987-10-01,1284.464
1987-11-01,1635.615
1987-12-01,2606.03
1988-01-01,1190.382
1988-02-01,990.733
1988-03-01,1229.251
1988-04-01,1340.559
1988-05-01,1375.895
1988-06-01,1412.557
1988-07-01,1274.746
1988-08-01,1189.94
1988-09-01,1252.22
1988-10-01,1427.574
1988-11-01,1666.092
1988-12-01,2695.695
1989-01-01,1242.944
1989-02-01,1081.723
1989-03-01,1254.428
1989-04-01,1434.642
1989-05-01,1386.496
1989-06-01,1524.748
1989-07-01,1403.281
1989-08-01,1233.226
1989-09-01,1373.245
1989-10-01,1447.451
1989-11-01,1628.99
1989-12-01,2755.325
1990-01-01,1324.217
1990-02-01,1148.862
1990-03-01,1413.882
1990-04-01,1263.262
1990-05-01,1403.723
1990-06-01,1583.053
1990-07-01,1406.373
1990-08-01,1276.513
1990-09-01,1349.394
1990-10-01,1397.097
1990-11-01,1608.23
1990-12-01,2726.172
1991-01-01,1255.753
1991-02-01,1102.925
1991-03-01,1293.739
1991-04-01,1494.271
1991-05-01,1343.651
1991-06-01,1525.632
1991-07-01,1501.78
1991-08-01,1286.23
1991-09-01,1242.06
1991-10-01,1405.489
1991-11-01,1710.704
1991-12-01,2822.021
1992-01-01,1327.308
1992-02-01,1094.091
1992-03-01,1437.734
1992-04-01,1403.723
1992-05-01,1454.076
1992-06-01,1561.41
1992-07-01,1538.441
1992-08-01,1351.16
1992-09-01,1369.27
1992-10-01,1485.437
1992-11-01,1754.874
1992-12-01,2916.987
1993-01-01,1435.525
1993-02-01,1206.283
1993-03-01,1441.709
1993-04-01,1448.776
1993-05-01,1513.264
1993-06-01,1459.377
1993-07-01,1609.996
1993-08-01,1306.107
1993-09-01,1374.57
1993-10-01,1475.278
1993-11-01,1728.814
1993-12-01,2996.934
1994-01-01,1458.052
1994-02-01,1084.815
1994-03-01,1500.455
1994-04-01,1613.088
1994-05-01,1556.551
1994-06-01,1529.607
1994-07-01,1625.456
1994-08-01,1363.086
1994-09-01,1401.072
1994-10-01,1555.226
1994-11-01,1802.578
1994-12-01,2941.28
1995-01-01,1460.702
1995-02-01,1154.162
1995-03-01,1454.518
1995-04-01,1473.953
1995-05-01,1494.271
1995-06-01,1606.905
1995-07-01,1619.272
1995-08-01,1377.221
1995-09-01,1414.323
1995-10-01,1515.473
1995-11-01,1753.549
1995-12-01,2920.962
1996-01-01,1444.359
1996-02-01,1175.364
1996-03-01,1400.631
1996-04-01,1560.084
1996-05-01,1477.928
1996-06-01,1512.381
1996-07-01,1580.403
1996-08-01,1319.8
1996-09-01,1356.461
1996-10-01,1469.978
1996-11-01,1690.386
1996-12-01,2866.191
1997-01-01,1401.072
1997-02-01,1171.388
1997-03-01,1427.574
1997-04-01,1461.585
1997-05-01,1503.988
1997-06-01,1658.584
1997-07-01,1464.677
1997-08-01,1394.889
1997-09-01,1367.062
1997-10-01,1480.578
1997-11-01,1704.962
1997-12-01,2885.184
1998-01-01,1419.624
1998-02-01,1133.402
1998-03-01,1464.236
1998-04-01,1450.101
1998-05-01,1486.762
1998-06-01,1569.36
1998-07-01,1424.924
1998-08-01,1371.92
1998-09-01,1358.228
1998-10-01,1491.621
1998-11-01,1689.061
1998-12-01,2868.4
1999-01-01,1490.738
1999-02-01,1140.911
1999-03-01,1386.938
1999-04-01,1566.268
1999-05-01,1460.26
1999-06-01,1511.497
1999-07-01,1548.6
1999-08-01,1283.58
1999-09-01,1382.963
1999-10-01,1543.741
1999-11-01,1731.906
1999-12-01,2921.846
2000-01-01,1527.399
2000-02-01,1117.943
2000-03-01,1499.13
2000-04-01,1545.508
2000-05-01,1500.013
2000-06-01,1529.607
2000-07-01,1592.328
2000-08-01,1408.14
2000-09-01,1438.175
2000-10-01,1677.135
2000-11-01,1825.104
2000-12-01,3176.706
