ds,y
1978-01-01,220.653
1978-02-01,203.579
1978-03-01,246.921
1978-04-01,260.055
1978-05-01,267.936
1978-06-01,302.084
1978-07-01,323.099
1978-08-01,302.084
1978-09-01,306.025
1978-10-01,315.218
1978-11-01,319.159
1978-12-01,388.769
1979-01-01,271.876
1979-02-01,237.727
1979-03-01,283.697
1979-04-01,307.338
1979-05-01,325.726
1979-06-01,321.785
1979-07-01,323.099
1979-08-01,317.845
1979-09-01,357.248
1979-10-01,333.606
1979-11-01,361.188
1979-12-01,392.71
1980-01-01,295.517
1980-02-01,321.785
1980-03-01,371.695
1980-04-01,350.68
1980-05-01,376.949
1980-06-01,397.963
1980-07-01,376.949
1980-08-01,403.217
1980-09-01,412.411
1980-10-01,399.277
1980-11-01,429.485
1980-12-01,491.215
1981-01-01,400.59
1981-02-01,380.889
1981-03-01,433.425
1981-04-01,429.485
1981-05-01,455.753
1981-06-01,480.708
1981-07-01,506.976
1981-08-01,541.125
1981-09-01,568.707
1981-10-01,577.9
1981-11-01,591.034
1981-12-01,639.631
1982-01-01,550.319
1982-02-01,537.185
1982-03-01,564.766
1982-04-01,560.826
1982-05-01,622.556
1982-06-01,566.08
1982-07-01,499.096
1982-08-01,527.991
1982-09-01,463.634
1982-10-01,476.768
1982-11-01,488.589
1982-12-01,633.064
1983-01-01,449.186
1983-02-01,412.411
1983-03-01,446.559
1983-04-01,504.349
1983-05-01,529.304
1983-06-01,489.902
1983-07-01,517.484
1983-08-01,516.17
1983-09-01,501.723
1983-10-01,559.513
1983-11-01,571.333
1983-12-01,693.48
1984-01-01,570.02
1984-02-01,491.215
1984-03-01,518.797
1984-04-01,539.812
1984-05-01,610.736
1984-06-01,549.005
1984-07-01,517.484
1984-08-01,526.677
1984-09-01,564.766
1984-10-01,564.766
1984-11-01,581.841
1984-12-01,660.645
1985-01-01,566.08
1985-02-01,549.005
1985-03-01,601.542
1985-04-01,580.527
1985-05-01,606.795
1985-06-01,615.989
1985-07-01,689.54
1985-08-01,676.406
1985-09-01,692.167
1985-10-01,681.66
1985-11-01,705.301
1985-12-01,852.403
1986-01-01,661.959
1986-02-01,635.69
1986-03-01,715.808
1986-04-01,627.81
1986-05-01,627.81
1986-06-01,626.497
1986-07-01,688.227
1986-08-01,765.718
1986-09-01,751.271
1986-10-01,830.075
1986-11-01,862.91
1986-12-01,967.983
1987-01-01,728.943
1987-02-01,686.913
1987-03-01,767.031
1987-04-01,747.33
1987-05-01,841.896
1987-06-01,818.254
1987-07-01,806.434
1987-08-01,839.269
1987-09-01,832.702
1987-10-01,835.329
1987-11-01,864.224
1987-12-01,971.923
1988-01-01,751.271
1988-02-01,721.062
1988-03-01,802.494
1988-04-01,805.12
1988-05-01,877.358
1988-06-01,826.135
1988-07-01,883.925
1988-08-01,858.97
1988-09-01,834.015
1988-10-01,811.687
1988-11-01,841.896
1988-12-01,911.507
1989-01-01,797.24
1989-02-01,731.569
1989-03-01,807.747
1989-04-01,834.015
1989-05-01,857.657
1989-06-01,828.762
1989-07-01,795.926
1989-08-01,777.539
1989-09-01,802.494
1989-10-01,879.985
1989-11-01,877.358
1989-12-01,1029.713
1990-01-01,658.018
1990-02-01,639.631
1990-03-01,738.136
1990-04-01,731.569
1990-05-01,747.33
1990-06-01,765.718
1990-07-01,756.524
1990-08-01,755.211
1990-09-01,789.359
1990-10-01,761.778
1990-11-01,841.896
1990-12-01,990.311
1991-01-01,717.122
1991-02-01,688.227
1991-03-01,760.464
1991-04-01,765.718
1991-05-01,757.838
1991-06-01,739.45
1991-07-01,752.584
1991-08-01,759.151
1991-09-01,760.464
1991-10-01,776.225
1991-11-01,886.552
1991-12-01,974.55
1992-01-01,791.986
1992-02-01,725.002
1992-03-01,824.821
1992-04-01,793.3
1992-05-01,849.776
1992-06-01,860.284
1992-07-01,782.792
1992-08-01,839.269
1992-09-01,794.613
1992-10-01,851.09
1992-11-01,910.193
1992-12-01,1017.893
1993-01-01,840.582
1993-02-01,849.776
1993-03-01,957.476
1993-04-01,830.075
1993-05-01,862.91
1993-06-01,864.224
1993-07-01,851.09
1993-08-01,952.222
1993-09-01,918.074
1993-10-01,983.744
1993-11-01,987.684
1993-12-01,1058.608
1994-01-01,936.461
1994-02-01,920.7
1994-03-01,987.684
1994-04-01,1116.398
1994-05-01,1189.949
1994-06-01,1142.667
1994-07-01,1208.337
1994-08-01,1217.531
1994-09-01,1205.71
1994-10-01,1254.307
1994-11-01,1231.979
1994-12-01,1485.467
1995-01-01,1057.295
1995-02-01,1038.907
1995-03-01,1159.741
1995-04-01,1186.009
1995-05-01,1284.515
1995-06-01,1246.426
1995-07-01,1356.753
1995-08-01,1342.305
1995-09-01,1350.185
1995-10-01,1432.93
1995-11-01,1397.468
1995-12-01,1601.047
1996-01-01,1117.712
1996-02-01,1109.831
1996-03-01,1260.874
1996-04-01,1197.83
1996-05-01,1255.62
1996-06-01,1241.172
1996-07-01,1271.381
1996-08-01,1312.097
1996-09-01,1256.933
1996-10-01,1255.62
1996-11-01,1251.68
1996-12-01,1427.677
1997-01-01,1133.473
1997-02-01,1153.174
1997-03-01,1309.47
1997-04-01,1122.966
1997-05-01,1207.024
1997-06-01,1188.636
1997-07-01,1255.62
1997-08-01,1317.35
1997-09-01,1305.53
1997-10-01,1262.187
1997-11-01,1309.47
1997-12-01,1551.137
1998-01-01,1146.607
1998-02-01,1209.651
1998-03-01,1283.202
1998-04-01,1207.024
1998-05-01,1258.247
1998-06-01,1234.605
1998-07-01,1347.559
1998-08-01,1380.394
1998-09-01,1329.171
1998-10-01,1291.082
1998-11-01,1309.47
1998-12-01,1439.497
1999-01-01,1243.799
1999-02-01,1220.158
1999-03-01,1304.216
1999-04-01,1293.709
1999-05-01,1407.976
1999-06-01,1270.067
1999-07-01,1430.303
1999-08-01,1471.019
1999-09-01,1450.005
1999-10-01,1446.064
1999-11-01,1447.378
1999-12-01,1633.882
