ds,y
1983-01-01,787.773
1983-02-01,710.823
1983-03-01,806.817
1983-04-01,736.861
1983-05-01,834.799
1983-06-01,809.148
1983-07-01,841.406
1983-08-01,946.338
1983-09-01,802.542
1983-10-01,878.715
1983-11-01,985.202
1983-12-01,1385.502
1984-01-01,904.365
1984-02-01,794.769
1984-03-01,890.374
1984-04-01,846.069
1984-05-01,972.766
1984-06-01,927.684
1984-07-01,889.597
1984-08-01,852.288
1984-09-01,851.899
1984-10-01,836.353
1984-11-01,958.775
1984-12-01,1321.376
1985-01-01,924.963
1985-02-01,884.156
1985-03-01,984.425
1985-04-01,916.802
1985-05-01,1019.403
1985-06-01,1020.569
1985-07-01,1019.014
1985-08-01,977.818
1985-09-01,924.963
1985-10-01,951.391
1985-11-01,970.823
1985-12-01,1366.07
1986-01-01,884.156
1986-02-01,919.134
1986-03-01,914.859
1986-04-01,867.833
1986-05-01,1015.905
1986-06-01,998.805
1986-07-01,988.312
1986-08-01,911.361
1986-09-01,878.715
1986-10-01,900.868
1986-11-01,885.711
1986-12-01,1336.922
1987-01-01,944.395
1987-02-01,830.524
1987-03-01,951.002
1987-04-01,898.536
1987-05-01,943.229
1987-06-01,945.95
1987-07-01,935.845
1987-08-01,867.833
1987-09-01,826.637
1987-10-01,840.24
1987-11-01,819.253
1987-12-01,1265.8
1988-01-01,931.959
1988-02-01,806.428
1988-03-01,823.917
1988-04-01,852.676
1988-05-01,844.903
1988-06-01,873.663
1988-07-01,877.16
1988-08-01,904.365
1988-09-01,881.047
1988-10-01,905.531
1988-11-01,920.3
1988-12-01,1357.52
1989-01-01,844.515
1989-02-01,860.838
1989-03-01,874.829
1989-04-01,798.267
1989-05-01,974.709
1989-06-01,1173.304
1989-07-01,896.204
1989-08-01,958.775
1989-09-01,917.579
1989-10-01,988.7
1989-11-01,1053.603
1989-12-01,1507.923
1990-01-01,1068.371
1990-02-01,975.875
1990-03-01,1017.071
1990-04-01,895.815
1990-05-01,1000.748
1990-06-01,1037.28
1990-07-01,1076.144
1990-08-01,1056.324
1990-09-01,944.784
1990-10-01,990.255
1990-11-01,1135.606
1990-12-01,1610.136
1991-01-01,1125.89
1991-02-01,911.361
1991-03-01,984.425
1991-04-01,1026.398
1991-05-01,1214.889
1991-06-01,1207.504
1991-07-01,1137.549
1991-08-01,1152.706
1991-09-01,1065.651
1991-10-01,1147.265
1991-11-01,1252.975
1991-12-01,1738.387
1992-01-01,1220.718
1992-02-01,1022.512
1992-03-01,1087.803
1992-04-01,1034.171
1992-05-01,1169.806
1992-06-01,1167.086
1992-07-01,1155.038
1992-08-01,1124.336
1992-09-01,1097.519
1992-10-01,1243.648
1992-11-01,1268.132
1992-12-01,1826.997
1993-01-01,1341.197
1993-02-01,1132.886
1993-03-01,1215.277
1993-04-01,1114.62
1993-05-01,1189.627
1993-06-01,1289.119
1993-07-01,1347.804
1993-08-01,1265.8
1993-09-01,1244.425
1993-10-01,1386.279
1993-11-01,1484.216
1993-12-01,2053.574
1994-01-01,1420.479
1994-02-01,1237.818
1994-03-01,1304.664
1994-04-01,1322.542
1994-05-01,1425.143
1994-06-01,1463.23
1994-07-01,1406.877
1994-08-01,1375.397
1994-09-01,1370.733
1994-10-01,1354.799
1994-11-01,1482.662
1994-12-01,2209.03
1995-01-01,1494.709
1995-02-01,1208.67
1995-03-01,1321.765
1995-04-01,1247.534
1995-05-01,1417.759
1995-06-01,1551.062
1995-07-01,1455.457
1995-08-01,1390.943
1995-09-01,1409.597
1995-10-01,1488.88
1995-11-01,1623.738
1995-12-01,2403.738
1996-01-01,1604.306
1996-02-01,1392.497
1996-03-01,1595.367
1996-04-01,1417.37
1996-05-01,1525.412
1996-06-01,1708.85
1996-07-01,1643.17
1996-08-01,1658.327
1996-09-01,1634.231
1996-10-01,1633.843
1996-11-01,1855.756
1996-12-01,2738.357
1997-01-01,1835.158
1997-02-01,1569.717
1997-03-01,1596.533
1997-04-01,1701.855
1997-05-01,1731.003
1997-06-01,1917.55
1997-07-01,1769.867
1997-08-01,1755.876
1997-09-01,1686.309
1997-10-01,1786.578
1997-11-01,1883.738
1997-12-01,3041.885
1998-01-01,1915.218
1998-02-01,1575.935
