ds,y
1978-01-01,76.168
1978-02-01,68.378
1978-03-01,74.436
1978-04-01,77.466
1978-05-01,80.062
1978-06-01,86.987
1978-07-01,93.911
1978-08-01,90.016
1978-09-01,93.911
1978-10-01,99.97
1978-11-01,103.865
1978-12-01,168.78
1979-01-01,92.613
1979-02-01,85.688
1979-03-01,85.688
1979-04-01,95.642
1979-05-01,100.835
1979-06-01,103.865
1979-07-01,101.268
1979-08-01,90.882
1979-09-01,104.73
1979-10-01,99.537
1979-11-01,105.163
1979-12-01,148.873
1980-01-01,93.478
1980-02-01,83.525
1980-03-01,88.718
1980-04-01,85.688
1980-05-01,97.806
1980-06-01,87.42
1980-07-01,92.18
1980-08-01,99.537
1980-09-01,103.865
1980-10-01,103.865
1980-11-01,106.029
1980-12-01,177.003
1981-01-01,114.251
1981-02-01,99.537
1981-03-01,101.268
1981-04-01,114.684
1981-05-01,137.188
1981-06-01,132.86
1981-07-01,123.339
1981-08-01,112.953
1981-09-01,111.222
1981-10-01,132.86
1981-11-01,133.293
1981-12-01,176.137
1982-01-01,123.772
1982-02-01,107.76
1982-03-01,107.76
1982-04-01,129.831
1982-05-01,129.831
1982-06-01,116.415
1982-07-01,121.608
1982-08-01,117.713
1982-09-01,135.457
1982-10-01,147.142
1982-11-01,142.814
1982-12-01,205.999
1983-01-01,141.516
1983-02-01,121.176
1983-03-01,123.772
1983-04-01,114.684
1983-05-01,121.608
1983-06-01,122.041
1983-07-01,126.369
1983-08-01,121.608
1983-09-01,135.024
1983-10-01,151.037
1983-11-01,155.797
1983-12-01,221.578
1984-01-01,157.961
1984-02-01,131.562
1984-03-01,140.65
1984-04-01,132.428
1984-05-01,136.323
1984-06-01,127.667
1984-07-01,136.323
1984-08-01,137.188
1984-09-01,143.247
1984-10-01,159.259
1984-11-01,170.079
1984-12-01,220.28
1985-01-01,170.079
1985-02-01,172.675
1985-03-01,177.868
1985-04-01,170.511
1985-05-01,190.852
1985-06-01,197.776
1985-07-01,163.154
1985-08-01,180.465
1985-09-01,200.805
1985-10-01,208.162
1985-11-01,223.309
1985-12-01,283.897
1986-01-01,203.835
1986-02-01,192.15
1986-03-01,205.566
1986-04-01,177.003
1986-05-01,189.553
1986-06-01,173.974
1986-07-01,175.705
1986-08-01,188.255
1986-09-01,191.717
1986-10-01,221.578
1986-11-01,231.532
1986-12-01,281.3
1987-01-01,202.104
1987-02-01,181.331
1987-03-01,190.419
1987-04-01,178.734
1987-05-01,198.209
1987-06-01,180.465
1987-07-01,176.57
1987-08-01,180.898
1987-09-01,177.868
1987-10-01,199.94
1987-11-01,212.923
1987-12-01,292.553
1988-01-01,179.167
1988-02-01,154.932
1988-03-01,160.99
1988-04-01,168.348
1988-05-01,192.583
1988-06-01,172.675
1988-07-01,180.465
1988-08-01,178.734
1988-09-01,185.658
1988-10-01,218.549
1988-11-01,230.234
1988-12-01,327.174
1989-01-01,224.608
1989-02-01,204.7
1989-03-01,215.519
1989-04-01,217.251
1989-05-01,218.116
1989-06-01,218.549
1989-07-01,231.965
1989-08-01,219.847
1989-09-01,233.263
1989-10-01,270.914
1989-11-01,287.359
1989-12-01,388.627
1990-01-01,236.725
1990-02-01,206.864
1990-03-01,212.057
1990-04-01,221.578
1990-05-01,230.666
1990-06-01,225.04
1990-07-01,209.893
1990-08-01,204.7
1990-09-01,209.461
1990-10-01,236.292
1990-11-01,255.334
1990-12-01,356.602
1991-01-01,228.503
1991-02-01,220.28
1991-03-01,229.368
1991-04-01,220.28
1991-05-01,244.948
1991-06-01,232.83
1991-07-01,241.053
1991-08-01,257.498
1991-09-01,253.17
1991-10-01,302.073
1991-11-01,327.174
1991-12-01,457.005
1992-01-01,302.939
1992-02-01,283.464
1992-03-01,305.968
1992-04-01,279.137
1992-05-01,296.015
1992-06-01,281.3
1992-07-01,285.195
1992-08-01,284.763
1992-09-01,283.464
1992-10-01,307.267
1992-11-01,356.17
1992-12-01,484.27
1993-01-01,344.485
1993-02-01,322.846
1993-03-01,302.939
1993-04-01,311.594
1993-05-01,324.145
1993-06-01,286.061
1993-07-01,299.477
1993-08-01,289.523
1993-09-01,289.523
1993-10-01,337.128
1993-11-01,350.544
1993-12-01,517.16
1994-01-01,328.472
1994-02-01,276.107
1994-03-01,310.729
1994-04-01,281.3
1994-05-01,349.245
1994-06-01,323.279
1994-07-01,292.985
1994-08-01,274.809
1994-09-01,265.721
1994-10-01,327.607
1994-11-01,299.91
1994-12-01,511.967
1995-01-01,292.553
1995-02-01,271.347
1995-03-01,264.422
1995-04-01,262.691
1995-05-01,297.746
1995-06-01,266.586
1995-07-01,285.195
1995-08-01,270.481
1995-09-01,289.09
1995-10-01,303.372
1995-11-01,305.536
1995-12-01,514.564
1996-01-01,322.846
1996-02-01,276.973
1996-03-01,288.658
1996-04-01,202.969
1996-05-01,226.339
1996-06-01,217.683
1996-07-01,208.595
1996-08-01,211.625
1996-09-01,239.755
1996-10-01,255.334
1996-11-01,242.351
1996-12-01,447.917
1997-01-01,251.007
1997-02-01,249.276
1997-03-01,238.456
1997-04-01,236.292
1997-05-01,269.616
1997-06-01,258.364
1997-07-01,272.645
1997-08-01,295.149
1997-09-01,281.3
1997-10-01,299.91
1997-11-01,313.758
1997-12-01,572.122
1998-01-01,284.33
1998-02-01,280.002
1998-03-01,254.036
1998-04-01,262.259
1998-05-01,318.086
1998-06-01,284.763
1998-07-01,260.96
1998-08-01,280.002
1998-09-01,267.452
1998-10-01,281.733
1998-11-01,289.523
1998-12-01,489.03
1999-01-01,272.645
1999-02-01,263.557
1999-03-01,264.422
1999-04-01,256.633
1999-05-01,292.12
1999-06-01,264.422
1999-07-01,269.183
1999-08-01,277.838
1999-09-01,271.78
1999-10-01,295.149
1999-11-01,296.015
1999-12-01,547.454
