ds,y
1985-01-01,81.047
1985-02-01,75.258
1985-03-01,71.398
1985-04-01,68.504
1985-05-01,69.468
1985-06-01,75.258
1985-07-01,78.152
1985-08-01,72.363
1985-09-01,74.293
1985-10-01,86.836
1985-11-01,88.765
1985-12-01,112.886
1986-01-01,88.765
1986-02-01,79.117
1986-03-01,92.625
1986-04-01,88.765
1986-05-01,84.906
1986-06-01,81.047
1986-07-01,82.011
1986-08-01,81.047
1986-09-01,84.906
1986-10-01,89.73
1986-11-01,92.625
1986-12-01,109.027
1987-01-01,110.957
1987-02-01,94.554
1987-03-01,103.238
1987-04-01,92.625
1987-05-01,103.238
1987-06-01,100.343
1987-07-01,104.203
1987-08-01,105.168
1987-09-01,108.062
1987-10-01,117.71
1987-11-01,124.464
1987-12-01,147.621
1988-01-01,123.5
1988-02-01,119.64
1988-03-01,118.675
1988-04-01,109.027
1988-05-01,116.746
1988-06-01,109.027
1988-07-01,101.308
1988-08-01,107.097
1988-09-01,101.308
1988-10-01,108.062
1988-11-01,116.746
1988-12-01,140.867
1989-01-01,115.781
1989-02-01,119.64
1989-03-01,114.816
1989-04-01,122.535
1989-05-01,110.957
1989-06-01,100.343
1989-07-01,82.011
1989-08-01,91.66
1989-09-01,91.66
1989-10-01,80.082
1989-11-01,88.765
1989-12-01,84.906
1990-01-01,98.414
1990-02-01,76.222
1990-03-01,86.836
1990-04-01,83.941
1990-05-01,76.222
1990-06-01,66.574
1990-07-01,62.715
1990-08-01,63.679
1990-09-01,67.539
1990-10-01,69.468
1990-11-01,67.539
1990-12-01,83.941
1991-01-01,75.258
1991-02-01,62.715
1991-03-01,73.328
1991-04-01,62.715
1991-05-01,55.961
1991-06-01,50.172
1991-07-01,59.82
1991-08-01,63.679
1991-09-01,57.89
1991-10-01,56.926
1991-11-01,77.187
1991-12-01,91.66
1992-01-01,76.222
1992-02-01,71.398
1992-03-01,69.468
1992-04-01,56.926
1992-05-01,54.996
1992-06-01,50.172
1992-07-01,54.996
1992-08-01,63.679
1992-09-01,64.644
1992-10-01,77.187
1992-11-01,72.363
1992-12-01,86.836
1993-01-01,88.765
1993-02-01,73.328
1993-03-01,82.011
1993-04-01,86.836
1993-05-01,88.765
1993-06-01,69.468
1993-07-01,56.926
1993-08-01,59.82
1993-09-01,59.82
1993-10-01,62.715
1993-11-01,66.574
1993-12-01,72.363
1994-01-01,79.117
1994-02-01,78.152
1994-03-01,78.152
1994-04-01,76.222
1994-05-01,86.836
1994-06-01,81.047
1994-07-01,80.082
1994-08-01,77.187
1994-09-01,81.047
1994-10-01,91.66
1994-11-01,97.449
1994-12-01,115.781
1995-01-01,90.695
1995-02-01,87.8
1995-03-01,94.554
1995-04-01,102.273
1995-05-01,107.097
1995-06-01,93.589
1995-07-01,112.886
1995-08-01,115.781
1995-09-01,119.64
1995-10-01,115.781
1995-11-01,119.64
1995-12-01,151.48
1996-01-01,142.796
1996-02-01,132.183
1996-03-01,143.761
1996-04-01,134.113
1996-05-01,126.394
1996-06-01,118.675
1996-07-01,122.535
1996-08-01,104.203
1996-09-01,112.886
1996-10-01,120.605
1996-11-01,124.464
1996-12-01,132.183
1997-01-01,141.831
1997-02-01,139.902
1997-03-01,154.374
1997-04-01,134.113
1997-05-01,123.5
1997-06-01,117.71
1997-07-01,128.324
1997-08-01,127.359
1997-09-01,123.5
1997-10-01,136.042
1997-11-01,142.796
1997-12-01,178.495
1998-01-01,165.952
1998-02-01,151.48
1998-03-01,167.882
1998-04-01,137.972
1998-05-01,131.218
1998-06-01,116.746
1998-07-01,114.816
1998-08-01,111.921
1998-09-01,121.57
1998-10-01,126.394
1998-11-01,132.183
1998-12-01,144.726
1999-01-01,143.761
1999-02-01,123.5
1999-03-01,124.464
1999-04-01,125.429
1999-05-01,121.57
1999-06-01,120.605
1999-07-01,111.921
1999-08-01,114.816
1999-09-01,111.921
1999-10-01,164.023
1999-11-01,152.445
1999-12-01,184.284
2000-01-01,168.847
2000-02-01,165.952
2000-03-01,169.812
2000-04-01,165.952
2000-05-01,164.988
2000-06-01,148.585
2000-07-01,154.374
2000-08-01,156.304
2000-09-01,162.093
2000-10-01,175.601
2000-11-01,181.39
2000-12-01,223.843
2001-01-01,165.952
2001-02-01,172.706
2001-03-01,170.777
2001-04-01,181.39
2001-05-01,182.355
2001-06-01,157.269
2001-07-01,165.952
2001-08-01,164.988
2001-09-01,180.425
2001-10-01,188.144
2001-11-01,198.757
2001-12-01,265.331
2002-01-01,194.898
2002-02-01,186.214
2002-03-01,188.144
2002-04-01,166.917
2002-05-01,166.917
2002-06-01,140.867
2002-07-01,158.234
2002-08-01,165.952
2002-09-01,157.269
2002-10-01,173.671
2002-11-01,187.179
2002-12-01,191.038
2003-01-01,170.777
2003-02-01,177.531
2003-03-01,169.812
2003-04-01,175.601
2003-05-01,182.355
2003-06-01,169.812
2003-07-01,166.917
2003-08-01,176.566
2003-09-01,165.952
2003-10-01,192.003
2003-11-01,192.968
2003-12-01,209.37
2004-01-01,166.917
2004-02-01,192.968
2004-03-01,194.898
2004-04-01,188.144
2004-05-01,184.284
2004-06-01,182.355
2004-07-01,197.792
2004-08-01,208.405
2004-09-01,206.476
2004-10-01,235.421
2004-11-01,233.491
