ds,y
1999-01-01,178.19
1999-02-01,154.315
1999-03-01,163.632
1999-04-01,165.379
1999-05-01,160.138
1999-06-01,158.973
1999-07-01,162.467
1999-08-01,170.037
1999-09-01,231.763
1999-10-01,240.498
1999-11-01,263.209
1999-12-01,418.688
2000-01-01,213.129
2000-02-01,189.254
2000-03-01,206.141
2000-04-01,188.672
2000-05-01,196.824
2000-06-01,203.23
2000-07-01,202.647
2000-08-01,207.306
2000-09-01,218.37
2000-10-01,234.675
2000-11-01,254.474
2000-12-01,402.965
2001-01-01,238.751
2001-02-01,196.824
2001-03-01,232.928
2001-04-01,257.385
2001-05-01,256.221
2001-06-01,275.437
2001-07-01,241.663
2001-08-01,259.132
2001-09-01,267.867
2001-10-01,270.779
2001-11-01,310.377
2001-12-01,505.454
2002-01-01,285.919
2002-02-01,246.321
2002-03-01,277.767
2002-04-01,266.703
2002-05-01,295.819
2002-06-01,282.425
2002-07-01,274.855
2002-08-01,253.309
2002-09-01,259.132
2002-10-01,268.45
2002-11-01,313.288
2002-12-01,469.932
2003-01-01,279.514
2003-02-01,228.852
2003-03-01,283.008
2003-04-01,245.739
2003-05-01,247.486
2003-06-01,277.184
2003-07-01,289.413
2003-08-01,308.63
2003-09-01,335.999
2003-10-01,345.898
2003-11-01,344.151
2003-12-01,560.192
2004-01-01,322.605
2004-02-01,242.245
2004-03-01,253.892
2004-04-01,259.132
2004-05-01,241.663
2004-06-01,279.514
2004-07-01,282.425
2004-08-01,317.364
2004-09-01,369.773
2004-10-01,388.407
2004-11-01,352.304
2004-12-01,594.549
2005-01-01,342.986
2005-02-01,278.349
2005-03-01,285.919
2005-04-01,283.008
2005-05-01,278.349
2005-06-01,310.959
2005-07-01,313.288
2005-08-01,320.858
2005-09-01,337.746
2005-10-01,316.2
2005-11-01,356.38
2005-12-01,612.601
2006-01-01,308.047
2006-02-01,276.602
2006-03-01,284.172
2006-04-01,292.325
2006-05-01,294.072
2006-06-01,334.834
2006-07-01,306.883
2006-08-01,341.24
2006-09-01,351.139
2006-10-01,342.404
2006-11-01,364.532
2006-12-01,517.1
2007-01-01,318.529
2007-02-01,281.261
2007-03-01,317.364
2007-04-01,303.971
2007-05-01,324.352
2007-06-01,340.075
2007-07-01,338.91
2007-08-01,360.456
2007-09-01,345.898
2007-10-01,369.773
2007-11-01,390.154
2007-12-01,598.625
2008-01-01,361.038
2008-02-01,312.706
2008-03-01,341.822
2008-04-01,354.633
2008-05-01,376.761
2008-06-01,389.572
2008-07-01,340.657
2008-08-01,359.291
2008-09-01,363.95
2008-10-01,342.986
2008-11-01,359.874
2008-12-01,539.811
2009-01-01,320.858
2009-02-01,277.184
2009-03-01,287.666
2009-04-01,278.931
2009-05-01,288.831
2009-06-01,297.566
2009-07-01,307.465
2009-08-01,301.059
2009-09-01,310.959
2009-10-01,335.416
2009-11-01,352.886
2009-12-01,541.558
2010-01-01,319.111
2010-02-01,288.831
2010-03-01,315.035
2010-04-01,304.553
2010-05-01,316.2
2010-06-01,354.633
2010-07-01,366.862
2010-08-01,323.77
2010-09-01,347.063
2010-10-01,360.456
2010-11-01,393.066
2010-12-01,589.308
2011-01-01,368.609
2011-02-01,316.2
2011-03-01,376.179
2011-04-01,379.673
2011-05-01,357.544
2011-06-01,396.56
2011-07-01,360.456
2011-08-01,361.621
2011-09-01,361.038
2011-10-01,374.432
2011-11-01,387.825
2011-12-01,614.93
2012-01-01,408.789
2012-02-01,342.404
2012-03-01,377.926
2012-04-01,373.267
2012-05-01,378.508
2012-06-01,400.636
2012-07-01,415.776
2012-08-01,411.7
2012-09-01,417.523
2012-10-01,426.258
2012-11-01,460.615
2012-12-01,701.113
2013-01-01,448.386
2013-02-01,400.054
2013-03-01,472.262
2013-04-01,423.929
2013-05-01,432.081
2013-06-01,452.463
2013-07-01,459.45
2013-08-01,471.679
2013-09-01,479.832
2013-10-01,525.253
2013-11-01,553.786
2013-12-01,889.785
2014-01-01,554.951
2014-02-01,474.008
2014-03-01,504.289
2014-04-01,511.859
2014-05-01,522.341
2014-06-01,538.064
2014-07-01,516.518
2014-08-01,509.53
2014-09-01,526.417
2014-10-01,604.448
2014-11-01,641.134
2014-12-01,1079.039
2015-01-01,584.067
2015-02-01,464.691
2015-03-01,571.838
2015-04-01,585.232
2015-05-01,580.573
2015-06-01,589.89
2015-07-01,568.344
2015-08-01,561.356
2015-09-01,594.549
2015-10-01,552.039
2015-11-01,620.171
2015-12-01,1035.365
2016-01-01,619.588
2016-02-01,461.78
2016-03-01,517.1
2016-04-01,505.454
