ds,y
1989-01-01,36.344
1989-02-01,35.287
1989-03-01,39.598
1989-04-01,38.795
1989-05-01,41.288
1989-06-01,40.316
1989-07-01,41.034
1989-08-01,43.57
1989-09-01,44.922
1989-10-01,44.584
1989-11-01,47.373
1989-12-01,61.066
1990-01-01,43.697
1990-02-01,42.302
1990-03-01,44.627
1990-04-01,42.767
1990-05-01,46.063
1990-06-01,42.894
1990-07-01,42.175
1990-08-01,43.147
1990-09-01,40.274
1990-10-01,42.64
1990-11-01,43.697
1990-12-01,60.305
1991-01-01,40.232
1991-02-01,36.259
1991-03-01,39.64
1991-04-01,42.218
1991-05-01,43.486
1991-06-01,40.062
1991-07-01,43.443
1991-08-01,43.021
1991-09-01,42.978
1991-10-01,46.909
1991-11-01,48.684
1991-12-01,65.249
1992-01-01,47.669
1992-02-01,41.668
1992-03-01,46.275
1992-04-01,47.078
1992-05-01,49.233
1992-06-01,46.401
1992-07-01,47.754
1992-08-01,46.232
1992-09-01,49.402
1992-10-01,51.092
1992-11-01,51.515
1992-12-01,69.222
1993-01-01,48.007
1993-02-01,45.007
1993-03-01,50.205
1993-04-01,46.74
1993-05-01,47.416
1993-06-01,47.247
1993-07-01,51.346
1993-08-01,51.008
1993-09-01,52.698
1993-10-01,52.529
1993-11-01,56.924
1993-12-01,76.195
1994-01-01,49.36
1994-02-01,48.768
1994-03-01,54.22
1994-04-01,47.331
1994-05-01,49.191
1994-06-01,49.782
1994-07-01,50.078
1994-08-01,54.6
1994-09-01,54.051
1994-10-01,56.121
1994-11-01,61.319
1994-12-01,78.435
1995-01-01,52.614
1995-02-01,49.951
1995-03-01,56.502
1995-04-01,55.614
1995-05-01,60.22
1995-06-01,58.023
1995-07-01,59.629
1995-08-01,61.108
1995-09-01,60.39
1995-10-01,62.249
1995-11-01,65.714
1995-12-01,83.675
1996-01-01,59.122
1996-02-01,56.164
1996-03-01,63.686
1996-04-01,61.826
1996-05-01,65.08
1996-06-01,60.981
1996-07-01,64.742
1996-08-01,68.292
1996-09-01,66.052
1996-10-01,67.658
1996-11-01,70.955
1996-12-01,89.126
1997-01-01,65.418
1997-02-01,60.854
1997-03-01,65.883
1997-04-01,67.531
1997-05-01,70.955
1997-06-01,66.644
1997-07-01,66.475
1997-08-01,64.32
1997-09-01,65.63
1997-10-01,71.715
1997-11-01,74.547
1997-12-01,101.889
1998-01-01,65.841
1998-02-01,61.319
1998-03-01,69.053
1998-04-01,68.081
1998-05-01,67.447
1998-06-01,68.377
1998-07-01,70.278
1998-08-01,68.165
1998-09-01,69.518
1998-10-01,71.504
1998-11-01,78.688
1998-12-01,107.467
1999-01-01,68.503
1999-02-01,65.249
1999-03-01,71.208
1999-04-01,67.827
1999-05-01,67.405
1999-06-01,66.602
1999-07-01,71.039
1999-08-01,69.898
1999-09-01,68.799
1999-10-01,70.616
1999-11-01,78.477
1999-12-01,104.467
2000-01-01,70.363
2000-02-01,67.151
2000-03-01,74.462
2000-04-01,70.912
2000-05-01,72.941
2000-06-01,72.687
2000-07-01,69.856
2000-08-01,74.293
2000-09-01,69.687
2000-10-01,74.251
2000-11-01,79.702
2000-12-01,104.593
2001-01-01,72.307
2001-02-01,72.053
2001-03-01,79.702
2001-04-01,69.433
2001-05-01,72.096
2001-06-01,70.828
2001-07-01,71.842
2001-08-01,75.899
2001-09-01,72.56
2001-10-01,76.617
2001-11-01,80.759
2001-12-01,105.27
2002-01-01,76.786
2002-02-01,75.096
2002-03-01,78.392
2002-04-01,77.927
2002-05-01,83.337
2002-06-01,77.463
2002-07-01,81.562
2002-08-01,82.196
2002-09-01,80.632
2002-10-01,85.576
2002-11-01,86.76
2002-12-01,118.666
2003-01-01,77.885
2003-02-01,75.012
2003-03-01,82.956
2003-04-01,83.548
2003-05-01,88.366
2003-06-01,83.168
2003-07-01,88.788
2003-08-01,86.844
2003-09-01,86.844
2003-10-01,89.211
2003-11-01,93.014
2003-12-01,119.258
2004-01-01,87.478
2004-02-01,81.9
2004-03-01,90.521
2004-04-01,87.098
2004-05-01,87.901
2004-06-01,86.971
2004-07-01,87.816
2004-08-01,88.704
2004-09-01,88.154
2004-10-01,87.859
2004-11-01,90.901
2004-12-01,117.229
2005-01-01,84.224
2005-02-01,80.759
2005-03-01,89.169
2005-04-01,82.745
2005-05-01,85.872
2005-06-01,82.956
2005-07-01,89.718
2005-08-01,91.07
2005-09-01,88.492
2005-10-01,87.943
2005-11-01,96.142
2005-12-01,120.568
2006-01-01,81.731
2006-02-01,81.9
2006-03-01,88.197
2006-04-01,85.83
2006-05-01,87.478
2006-06-01,86.168
2006-07-01,87.351
2006-08-01,87.985
2006-09-01,83.337
2006-10-01,87.563
2006-11-01,90.352
2006-12-01,109.453
2007-01-01,86.168
2007-02-01,79.407
2007-03-01,87.267
2007-04-01,85.365
2007-05-01,92.296
2007-06-01,81.773
2007-07-01,92.296
2007-08-01,91.831
2007-09-01,93.057
2007-10-01,93.69
2007-11-01,98.043
2007-12-01,117.441
2008-01-01,81.646
2008-02-01,78.477
2008-03-01,85.069
2008-04-01,84.985
2008-05-01,91.451
2008-06-01,85.027
2008-07-01,88.535
2008-08-01,86.633
2008-09-01,88.281
2008-10-01,93.352
2008-11-01,99.353
2008-12-01,127.456
2009-01-01,91.789
2009-02-01,89.084
2009-03-01,97.409
2009-04-01,91.451
2009-05-01,96.606
2009-06-01,97.578
2009-07-01,101.509
2009-08-01,99.057
2009-09-01,103.537
2009-10-01,102.354
2009-11-01,109.115
2009-12-01,131.555
2010-01-01,97.578
2010-02-01,96.268
2010-03-01,104.424
2010-04-01,102.396
2010-05-01,103.791
2010-06-01,103.495
2010-07-01,110.932
2010-08-01,111.82
2010-09-01,112.327
2010-10-01,111.44
2010-11-01,117.356
2010-12-01,141.994
