ds,y
1984-01-01,62.336
1984-02-01,66.492
1984-03-01,47.494
1984-04-01,42.151
1984-05-01,42.893
1984-06-01,40.816
1984-07-01,42.151
1984-08-01,42.745
1984-09-01,50.314
1984-10-01,53.58
1984-11-01,62.188
1984-12-01,91.575
1985-01-01,61.297
1985-02-01,55.509
1985-03-01,55.212
1985-04-01,54.025
1985-05-01,52.244
1985-06-01,47.346
1985-07-01,45.268
1985-08-01,46.901
1985-09-01,52.541
1985-10-01,59.813
1985-11-01,70.796
1985-12-01,91.724
1986-01-01,71.835
1986-02-01,66.492
1986-03-01,66.789
1986-04-01,56.548
1986-05-01,52.838
1986-06-01,44.526
1986-07-01,41.854
1986-08-01,44.081
1986-09-01,56.993
1986-10-01,62.633
1986-11-01,69.906
1986-12-01,98.106
1987-01-01,63.524
1987-02-01,70.203
1987-03-01,78.959
1987-04-01,68.718
1987-05-01,73.171
1987-06-01,72.726
1987-07-01,74.062
1987-08-01,77.92
1987-09-01,80.444
1987-10-01,85.638
1987-11-01,96.473
1987-12-01,120.072
1988-01-01,91.427
1988-02-01,89.943
1988-03-01,102.261
1988-04-01,92.317
1988-05-01,96.473
1988-06-01,97.512
1988-07-01,98.848
1988-08-01,107.159
1988-09-01,114.135
1988-10-01,100.926
1988-11-01,109.682
1988-12-01,133.43
1989-01-01,99.59
1989-02-01,98.996
1989-03-01,95.879
1989-04-01,84.599
1989-05-01,96.473
1989-06-01,95.434
1989-07-01,89.646
1989-08-01,96.621
1989-09-01,90.388
1989-10-01,98.848
1989-11-01,100.184
1989-12-01,118.884
1990-01-01,94.544
1990-02-01,94.544
1990-03-01,94.247
1990-04-01,89.2
1990-05-01,95.286
1990-06-01,87.568
1990-07-01,96.621
1990-08-01,99.441
1990-09-01,105.675
1990-10-01,87.568
1990-11-01,92.762
1990-12-01,111.612
1991-01-01,88.31
1991-02-01,77.03
1991-03-01,83.857
1991-04-01,78.514
1991-05-01,84.748
1991-06-01,84.451
1991-07-01,87.568
1991-08-01,93.95
1991-09-01,101.668
1991-10-01,110.128
1991-11-01,113.244
1991-12-01,150.943
1992-01-01,123.04
1992-02-01,122.298
1992-03-01,136.695
1992-04-01,128.977
1992-05-01,118.142
1992-06-01,122.892
1992-07-01,109.089
1992-08-01,119.923
1992-09-01,146.342
1992-10-01,141.444
1992-11-01,149.162
1992-12-01,180.627
1993-01-01,152.13
1993-02-01,145.303
1993-03-01,154.802
1993-04-01,141.89
1993-05-01,148.123
1993-06-01,155.841
1993-07-01,146.194
1993-08-01,151.982
1993-09-01,156.138
1993-10-01,175.581
1993-11-01,177.807
1993-12-01,223.669
1994-01-01,174.987
1994-02-01,169.496
1994-03-01,181.072
1994-04-01,171.425
1994-05-01,176.62
1994-06-01,175.581
1994-07-01,193.243
1994-08-01,206.155
1994-09-01,199.328
1994-10-01,222.927
1994-11-01,237.175
1994-12-01,268.937
1995-01-01,219.216
1995-02-01,209.866
1995-03-01,233.019
1995-04-01,213.725
1995-05-01,224.856
1995-06-01,212.834
1995-07-01,225.895
1995-08-01,228.864
1995-09-01,248.752
1995-10-01,262.555
1995-11-01,279.92
1995-12-01,311.534
1996-01-01,258.251
1996-02-01,227.231
1996-03-01,259.587
1996-04-01,257.806
1996-05-01,271.757
1996-06-01,277.1
1996-07-01,299.957
1996-08-01,304.706
1996-09-01,336.765
1996-10-01,308.862
1996-11-01,322.071
1996-12-01,363.481
1997-01-01,290.161
1997-02-01,277.545
1997-03-01,292.684
1997-04-01,268.937
1997-05-01,277.842
1997-06-01,278.436
1997-07-01,276.358
1997-08-01,289.122
1997-09-01,302.332
1997-10-01,316.877
1997-11-01,319.103
1997-12-01,336.32
1998-01-01,272.648
1998-02-01,254.689
1998-03-01,271.905
1998-04-01,248.158
1998-05-01,240.292
1998-06-01,243.112
1998-07-01,270.273
1998-08-01,287.49
1998-09-01,289.271
1998-10-01,311.385
1998-11-01,328.008
1998-12-01,349.381
1999-01-01,288.083
1999-02-01,274.429
