ds,y
1976-01-01,631.736
1976-02-01,586.48
1976-03-01,622.5
1976-04-01,616.958
1976-05-01,687.151
1976-06-01,629.888
1976-07-01,652.055
1976-08-01,671.45
1976-09-01,652.055
1976-10-01,710.241
1976-11-01,760.115
1976-12-01,1042.733
1977-01-01,686.227
1977-02-01,644.666
1977-03-01,643.742
1977-04-01,637.277
1977-05-01,669.603
1977-06-01,611.417
1977-07-01,632.659
1977-08-01,616.035
1977-09-01,654.825
1977-10-01,718.553
1977-11-01,804.447
1977-12-01,1285.637
1978-01-01,702.852
1978-02-01,641.895
1978-03-01,662.214
1978-04-01,687.151
1978-05-01,697.31
1978-06-01,676.991
1978-07-01,695.463
1978-08-01,720.4
1978-09-01,891.264
1978-10-01,931.902
1978-11-01,1009.484
1978-12-01,1577.492
1979-01-01,804.447
1979-02-01,760.115
1979-03-01,822.919
1979-04-01,757.344
1979-05-01,816.454
1979-06-01,802.6
1979-07-01,785.052
1979-08-01,884.799
1979-09-01,916.201
1979-10-01,919.896
1979-11-01,939.291
1979-12-01,1277.325
1980-01-01,844.161
1980-02-01,825.689
1980-03-01,882.952
1980-04-01,804.447
1980-05-01,904.195
1980-06-01,893.112
1980-07-01,905.118
1980-08-01,944.833
1980-09-01,995.63
1980-10-01,992.859
1980-11-01,1021.491
1980-12-01,1298.568
1981-01-01,863.557
1981-02-01,797.058
1981-03-01,821.072
1981-04-01,788.746
1981-05-01,835.849
1981-06-01,799.829
1981-07-01,841.39
1981-08-01,862.633
1981-09-01,887.57
1981-10-01,893.112
1981-11-01,918.972
1981-12-01,1261.624
1982-01-01,1007.637
1982-02-01,978.082
1982-03-01,979.005
1982-04-01,966.999
1982-05-01,1051.045
1982-06-01,969.77
1982-07-01,1072.288
1982-08-01,1005.79
1982-09-01,1003.019
1982-10-01,1068.594
1982-11-01,1100.919
1982-12-01,1549.784
1983-01-01,1054.74
1983-02-01,992.859
1983-03-01,1006.713
1983-04-01,1037.192
1983-05-01,1110.155
1983-06-01,1073.212
1983-07-01,1103.69
1983-08-01,1008.56
1983-09-01,1072.288
1983-10-01,1146.175
1983-11-01,1210.826
1983-12-01,1723.419
1984-01-01,1132.321
1984-02-01,983.623
1984-03-01,1073.212
1984-04-01,1078.753
1984-05-01,1136.016
1984-06-01,1113.85
1984-07-01,1147.099
1984-08-01,1195.125
1984-09-01,1210.826
1984-10-01,1124.009
1984-11-01,1269.013
1984-12-01,1729.884
1985-01-01,1175.73
1985-02-01,1077.83
1985-03-01,1106.461
1985-04-01,1208.056
1985-05-01,1228.375
1985-06-01,1234.84
1985-07-01,1213.597
1985-08-01,1276.401
1985-09-01,1246.846
1985-10-01,1410.322
1985-11-01,1485.133
1985-12-01,1994.031
1986-01-01,1282.867
1986-02-01,1185.89
1986-03-01,1251.464
1986-04-01,1211.75
1986-05-01,1336.435
1986-06-01,1266.242
1986-07-01,1170.189
1986-08-01,1180.348
1986-09-01,1160.953
1986-10-01,1218.215
1986-11-01,1359.524
1986-12-01,1958.934
1987-01-01,1261.624
1987-02-01,1129.551
1987-03-01,1243.152
1987-04-01,1162.8
1987-05-01,1222.833
1987-06-01,1187.737
1987-07-01,1143.404
1987-08-01,1170.189
1987-09-01,1190.508
1987-10-01,1401.086
1987-11-01,1480.515
1987-12-01,2077.154
1988-01-01,1431.565
1988-02-01,1194.202
1988-03-01,1302.262
1988-04-01,1370.608
1988-05-01,1389.079
1988-06-01,1342.9
1988-07-01,1342.9
1988-08-01,1404.78
1988-09-01,1415.863
1988-10-01,1487.903
1988-11-01,1619.053
1988-12-01,2320.982
1989-01-01,1418.634
1989-02-01,1283.79
1989-03-01,1313.345
1989-04-01,1334.588
1989-05-01,1424.176
1989-06-01,1488.827
1989-07-01,1507.299
1989-08-01,1616.283
1989-09-01,1717.877
1989-10-01,1670.774
1989-11-01,1723.419
1989-12-01,2429.965
1990-01-01,1584.88
1990-02-01,1474.05
1990-03-01,1546.09
1990-04-01,1441.724
1990-05-01,1480.515
1990-06-01,1479.591
1990-07-01,1503.605
1990-08-01,1559.02
1990-09-01,1494.369
1990-10-01,1625.518
1990-11-01,1752.974
1990-12-01,2416.111
1991-01-01,1535.007
1991-02-01,1453.731
1991-03-01,1511.917
1991-04-01,1475.897
1991-05-01,1598.734
1991-06-01,1543.319
1991-07-01,1547.013
1991-08-01,1637.525
1991-09-01,1593.193
1991-10-01,1502.681
1991-11-01,1640.296
1991-12-01,2294.198
1992-01-01,1402.01
1992-02-01,1311.498
1992-03-01,1512.84
1992-04-01,1400.162
1992-05-01,1518.382
1992-06-01,1510.993
1992-07-01,1524.847
1992-08-01,1582.11
1992-09-01,1635.678
1992-10-01,1789.917
1992-11-01,1905.366
1992-12-01,2467.832
1993-01-01,1615.359
1993-02-01,1563.638
1993-03-01,1664.309
1993-04-01,1536.854
1993-05-01,1657.844
1993-06-01,1558.096
1993-07-01,1633.831
1993-08-01,1712.336
1993-09-01,1701.253
1993-10-01,1817.625
1993-11-01,2013.426
1993-12-01,2791.089
1994-01-01,1618.13
1994-02-01,1487.903
1994-03-01,1676.316
1994-04-01,1583.957
1994-05-01,1673.545
1994-06-01,1614.435
1994-07-01,1788.994
1994-08-01,1794.535
1994-09-01,1773.293
1994-10-01,1870.27
1994-11-01,1996.802
1994-12-01,2661.786
1995-01-01,1658.768
1995-02-01,1529.465
1995-03-01,1704.947
1995-04-01,1513.764
1995-05-01,1640.296
1995-06-01,1553.478
1995-07-01,1733.578
1995-08-01,1808.389
1995-09-01,1788.07
1995-10-01,2089.161
1995-11-01,2120.563
1995-12-01,2683.029
1996-01-01,2048.523
1996-02-01,1989.413
1996-03-01,1980.177
1996-04-01,1874.888
1996-05-01,1938.615
1996-06-01,1853.645
1996-07-01,1910.908
1996-08-01,1984.795
1996-09-01,2096.549
1996-10-01,2078.078
1996-11-01,2334.836
1996-12-01,2558.344
1997-01-01,2050.37
1997-02-01,1951.546
1997-03-01,1995.878
1997-04-01,1790.841
1997-05-01,1993.107
1997-06-01,2048.523
1997-07-01,1962.629
1997-08-01,1930.303
1997-09-01,1958.011
1997-10-01,2010.655
1997-11-01,2039.287
1997-12-01,2576.816
