ds,y
1996-01-01,405.885
1996-04-01,626.3
1996-07-01,430.925
1996-10-01,383.342
1997-01-01,354.418
1997-04-01,431.509
1997-07-01,484.301
1997-10-01,328.109
1998-01-01,353.637
1998-04-01,671.996
1998-07-01,612.052
1998-10-01,313.357
1999-01-01,363.546
1999-04-01,427.699
1999-07-01,493.553
1999-10-01,422.787
2000-01-01,427.628
2000-04-01,444.642
2000-07-01,655.927
2000-10-01,574.922
2001-01-01,320.606
2001-04-01,500.219
2001-07-01,573.318
2001-10-01,182.565
2002-01-01,569.232
2002-04-01,451.816
2002-07-01,486.127
2002-10-01,381.423
2003-01-01,398.108
2003-04-01,510.603
2003-07-01,583.107
2003-10-01,497.702
2004-01-01,444.061
2004-04-01,377.411
2004-07-01,449.444
2004-10-01,303.176
2005-01-01,505.401
2005-04-01,529.281
2005-07-01,702.128
2005-10-01,425.112
2006-01-01,485.479
2006-04-01,657.089
2006-07-01,702.963
2006-10-01,439.876
2007-01-01,256.384
2007-04-01,659.337
2007-07-01,761.619
2007-10-01,366.677
2008-01-01,406.991
2008-04-01,509.823
2008-07-01,588.988
2008-10-01,468.065
2009-01-01,446.833
2009-04-01,520.744
2009-07-01,763.453
2009-10-01,285.659
2010-01-01,409.024
2010-04-01,592.434
2010-07-01,610.871
2010-10-01,518.875
2011-01-01,430.003
2011-04-01,586.496
