ds,y
1983-01-01,17.726
1983-02-01,15.781
1983-03-01,16.914
1983-04-01,19.868
1983-05-01,21.789
1983-06-01,19.031
1983-07-01,18.44
1983-08-01,17.062
1983-09-01,18.17
1983-10-01,22.281
1983-11-01,22.33
1983-12-01,37.792
1984-01-01,18.908
1984-02-01,15.437
1984-03-01,18.637
1984-04-01,21.05
1984-05-01,22.256
1984-06-01,20.878
1984-07-01,19.327
1984-08-01,17.973
1984-09-01,20.188
1984-10-01,22.552
1984-11-01,24.423
1984-12-01,41.017
1985-01-01,18.588
1985-02-01,16.988
1985-03-01,19.967
1985-04-01,21.222
1985-05-01,23.414
1985-06-01,22.675
1985-07-01,18.957
1985-08-01,19.696
1985-09-01,21.296
1985-10-01,23.438
1985-11-01,24.768
1985-12-01,43.504
1986-01-01,18.785
1986-02-01,16.865
1986-03-01,18.76
1986-04-01,22.626
1986-05-01,24.546
1986-06-01,22.527
1986-07-01,21.149
1986-08-01,21.912
1986-09-01,20.853
1986-10-01,22.946
1986-11-01,26.442
1986-12-01,44.808
1987-01-01,20.508
1987-02-01,18.416
1987-03-01,20.312
1987-04-01,22.552
1987-05-01,24.595
1987-06-01,22.232
1987-07-01,23.044
1987-08-01,23.192
1987-09-01,20.238
1987-10-01,24.94
1987-11-01,26.984
1987-12-01,43.528
1988-01-01,21.272
1988-02-01,18.76
1988-03-01,21.936
1988-04-01,21.789
1988-05-01,26.343
1988-06-01,19.991
1988-07-01,23.463
1988-08-01,21.542
1988-09-01,23.315
1988-10-01,25.802
1988-11-01,27.156
1988-12-01,46.359
1989-01-01,21.567
1989-02-01,17.948
1989-03-01,20.533
1989-04-01,25.039
1989-05-01,24.743
1989-06-01,22.65
1989-07-01,26.27
1989-08-01,22.306
1989-09-01,22.724
1989-10-01,26.811
1989-11-01,28.559
1989-12-01,48.058
1990-01-01,22.823
1990-02-01,18.465
1990-03-01,22.724
1990-04-01,22.281
1990-05-01,27.18
1990-06-01,22.478
1990-07-01,25.112
1990-08-01,21.715
1990-09-01,24.398
1990-10-01,26.737
1990-11-01,29.766
1990-12-01,50.397
1991-01-01,22.453
1991-02-01,20.065
1991-03-01,22.306
1991-04-01,25.556
1991-05-01,25.974
1991-06-01,27.082
1991-07-01,21.493
1991-08-01,24.915
1991-09-01,24.94
1991-10-01,25.949
1991-11-01,29.963
1991-12-01,51.505
1992-01-01,23.143
1992-02-01,20.361
1992-03-01,24.62
1992-04-01,25.309
1992-05-01,28.338
1992-06-01,25.556
1992-07-01,26.097
1992-08-01,23.955
1992-09-01,24.374
1992-10-01,27.427
1992-11-01,35.256
1992-12-01,53.204
1993-01-01,24.177
1993-02-01,21.05
1993-03-01,25.285
1993-04-01,26.27
1993-05-01,28.387
1993-06-01,26.59
1993-07-01,26.27
1993-08-01,26.417
1993-09-01,25.236
1993-10-01,30.775
1993-11-01,37.398
1993-12-01,57.832
1994-01-01,27.574
1994-02-01,22.774
1994-03-01,26.787
1994-04-01,30.873
1994-05-01,31.07
1994-06-01,30.824
1994-07-01,30.012
1994-08-01,27.279
1994-09-01,28.83
1994-10-01,32.868
1994-11-01,37.669
1994-12-01,57.586
1995-01-01,28.904
1995-02-01,24.226
1995-03-01,27.574
1995-04-01,31.44
1995-05-01,31.908
1995-06-01,33.188
1995-07-01,32.474
1995-08-01,28.239
1995-09-01,32.351
1995-10-01,33.212
1995-11-01,37.742
1995-12-01,61.525
1996-01-01,30.233
