ds,y
2006-01-01,604.685
2006-04-01,515.782
2006-07-01,440.821
2006-10-01,557.36
2007-01-01,523.279
2007-04-01,396.146
2007-07-01,586.944
2007-10-01,510.692
2008-01-01,500.144
2008-04-01,330.931
2008-07-01,439.517
2008-10-01,475.104
2009-01-01,456.781
2009-04-01,414.224
2009-07-01,514.671
2009-10-01,512.858
2010-01-01,565.714
2010-04-01,488.76
2010-07-01,545.903
2010-10-01,567.889
2011-01-01,606.156
2011-04-01,501.572
2011-07-01,548.595
2011-10-01,598.545
2012-01-01,700.488
2012-04-01,509.105
2012-07-01,521.782
2012-10-01,479.329
2013-01-01,637.881
2013-04-01,456.037
2013-07-01,459.622
2013-10-01,507.583
2014-01-01,465.689
2014-04-01,569.319
2014-07-01,493.932
2014-10-01,467.134
2015-01-01,515.584
2015-04-01,437.582
2015-07-01,495.011
2015-10-01,408.025
2016-01-01,635.796
2016-04-01,459.423
2016-07-01,420.798
2016-10-01,487.466
2017-01-01,481.862
2017-04-01,405.412
2017-07-01,381.354
2017-10-01,531.738
2018-01-01,542.44
2018-04-01,433.708
2018-07-01,516.561
2018-10-01,586.386
2019-01-01,659.073
2019-04-01,514.908
2019-07-01,479.251
2019-10-01,655.495
2020-01-01,575.116
2020-04-01,545.63
2020-07-01,610.593
2020-10-01,590.068
2021-01-01,639.301
2021-04-01,493.633
2021-07-01,587.518
2021-10-01,555.523
2022-01-01,590.879
2022-04-01,592.305
2022-07-01,452.799
2022-10-01,596.91
2023-01-01,671.331
2023-04-01,655.16
