ds,y
1992-01-01,607.527
1992-04-01,592.479
1992-07-01,849.913
1992-10-01,502.497
1993-01-01,373.281
1993-04-01,604.257
1993-07-01,632.162
1993-10-01,1042.982
1994-01-01,613.075
1994-04-01,772.836
1994-07-01,500.482
1994-10-01,569.117
1995-01-01,627.06
1995-04-01,325.682
1995-07-01,618.799
1995-10-01,679.621
1996-01-01,517.1
1996-04-01,506.785
1996-07-01,769.533
1996-10-01,480.12
1997-01-01,352.506
1997-04-01,394.367
1997-07-01,541.556
1997-10-01,505.543
1998-01-01,615.818
1998-04-01,789.816
1998-07-01,474.961
1998-10-01,504.179
1999-01-01,550.424
1999-04-01,486.454
1999-07-01,504.755
1999-10-01,559.886
2000-01-01,630.369
2000-04-01,387.042
2000-07-01,351.137
2000-10-01,523.782
2001-01-01,499.381
2001-04-01,487.443
2001-07-01,340.195
2001-10-01,517.727
2002-01-01,379.282
2002-04-01,355.946
2002-07-01,286.006
2002-10-01,332.576
2003-01-01,405.652
2003-04-01,283.566
2003-07-01,314.399
2003-10-01,531.256
2004-01-01,686.825
2004-04-01,673.352
2004-07-01,994.393
2004-10-01,566.701
2005-01-01,369.901
2005-04-01,472.057
2005-07-01,658.753
2005-10-01,276.5
2006-01-01,532.905
2006-04-01,534.483
2006-07-01,534.898
2006-10-01,1024.873
