ds,y
1984-01-01,21.796
1984-02-01,19.705
1984-03-01,22.429
1984-04-01,20.18
1984-05-01,23.285
1984-06-01,26.326
1984-07-01,22.461
1984-08-01,21.986
1984-09-01,24.299
1984-10-01,21.352
1984-11-01,20.37
1984-12-01,22.715
1985-01-01,22.176
1985-02-01,19.42
1985-03-01,22.461
1985-04-01,17.836
1985-05-01,20.75
1985-06-01,21.606
1985-07-01,22.271
1985-08-01,21.194
1985-09-01,21.352
1985-10-01,21.891
1985-11-01,22.303
1985-12-01,24.552
1986-01-01,22.144
1986-02-01,19.166
1986-03-01,18.755
1986-04-01,18.881
1986-05-01,19.61
1986-06-01,18.374
1986-07-01,20.94
1986-08-01,18.279
1986-09-01,18.564
1986-10-01,22.873
1986-11-01,23.0
1986-12-01,25.154
1987-01-01,21.637
1987-02-01,19.293
1987-03-01,21.574
1987-04-01,21.511
1987-05-01,22.398
1987-06-01,23.158
1987-07-01,26.136
1987-08-01,25.027
1987-09-01,26.168
1987-10-01,25.946
1987-11-01,25.597
1987-12-01,28.164
1988-01-01,29.431
1988-02-01,25.788
1988-03-01,27.625
1988-04-01,26.611
1988-05-01,28.29
1988-06-01,28.924
1988-07-01,30.92
1988-08-01,29.272
1988-09-01,30.571
1988-10-01,30.413
1988-11-01,32.155
1988-12-01,34.595
1989-01-01,31.522
1989-02-01,25.883
1989-03-01,29.367
1989-04-01,27.15
1989-05-01,31.712
1989-06-01,41.754
1989-07-01,28.164
1989-08-01,29.304
1989-09-01,28.987
1989-10-01,29.589
1989-11-01,30.508
1989-12-01,31.997
1990-01-01,32.694
1990-02-01,26.009
1990-03-01,30.254
1990-04-01,29.557
1990-05-01,29.811
1990-06-01,32.757
1990-07-01,32.25
1990-08-01,31.236
1990-09-01,30.349
1990-10-01,34.563
1990-11-01,37.794
1990-12-01,41.184
1991-01-01,40.867
1991-02-01,30.381
1991-03-01,33.708
1991-04-01,32.599
1991-05-01,33.296
1991-06-01,34.088
1991-07-01,33.612
1991-08-01,33.549
1991-09-01,32.725
1991-10-01,37.414
1991-11-01,37.414
1991-12-01,39.252
1992-01-01,38.808
1992-02-01,32.219
1992-03-01,34.943
1992-04-01,34.056
1992-05-01,34.88
1992-06-01,38.269
1992-07-01,41.374
1992-08-01,38.46
1992-09-01,39.98
1992-10-01,40.931
1992-11-01,39.917
1992-12-01,42.166
1993-01-01,42.768
1993-02-01,35.07
1993-03-01,41.437
1993-04-01,40.55
1993-05-01,42.8
1993-06-01,43.782
1993-07-01,47.678
1993-08-01,44.13
1993-09-01,46.316
1993-10-01,45.588
1993-11-01,46.665
1993-12-01,46.031
1994-01-01,50.149
1994-02-01,39.315
1994-03-01,41.374
1994-04-01,43.592
1994-05-01,47.678
1994-06-01,46.158
1994-07-01,52.019
1994-08-01,50.498
1994-09-01,50.149
1994-10-01,48.249
1994-11-01,47.267
1994-12-01,53.159
1995-01-01,47.108
1995-02-01,41.216
1995-03-01,44.827
1995-04-01,41.976
1995-05-01,45.049
1995-06-01,49.231
1995-07-01,50.941
1995-08-01,50.656
1995-09-01,49.484
1995-10-01,55.155
1995-11-01,57.626
1995-12-01,66.338
1996-01-01,59.4
1996-02-01,51.955
1996-03-01,56.454
1996-04-01,54.585
1996-05-01,58.45
1996-06-01,62.568
1996-07-01,60.826
1996-08-01,60.35
1996-09-01,64.786
1996-10-01,73.466
1996-11-01,72.262
1996-12-01,74.923
1997-01-01,66.243
1997-02-01,57.309
1997-03-01,60.794
1997-04-01,57.087
1997-05-01,63.867
1997-06-01,60.952
1997-07-01,63.233
1997-08-01,60.889
1997-09-01,61.713
1997-10-01,65.134
1997-11-01,63.423
1997-12-01,69.981
1998-01-01,63.899
1998-02-01,50.276
1998-03-01,54.616
1998-04-01,52.937
1998-05-01,56.105
1998-06-01,58.988
1998-07-01,57.879
1998-08-01,55.915
1998-09-01,57.024
1998-10-01,60.952
1998-11-01,56.485
1998-12-01,66.306
1999-01-01,54.933
1999-02-01,48.597
1999-03-01,52.177
1999-04-01,51.765
1999-05-01,53.476
1999-06-01,60.604
1999-07-01,60.477
1999-08-01,58.228
1999-09-01,56.992
1999-10-01,55.725
1999-11-01,57.277
1999-12-01,66.655
2000-01-01,50.181
2000-02-01,51.195
2000-03-01,56.074
2000-04-01,56.264
2000-05-01,57.658
2000-06-01,61.871
2000-07-01,56.961
2000-08-01,58.164
2000-09-01,55.788
2000-10-01,54.331
