ds,y
2010-01-01,22.445
2010-04-01,15.167
2010-07-01,24.615
2010-10-01,44.78
2011-01-01,38.684
2011-04-01,42.493
2011-07-01,35.083
2011-10-01,36.555
2012-01-01,50.554
2012-04-01,27.822
2012-07-01,28.022
2012-10-01,20.512
2013-01-01,35.937
2013-04-01,25.01
2013-07-01,22.202
2013-10-01,44.992
2014-01-01,41.072
2014-04-01,53.143
2014-07-01,21.923
2014-10-01,38.102
2015-01-01,58.345
2015-04-01,18.396
2015-07-01,13.325
2015-10-01,32.212
2016-01-01,35.039
2016-04-01,15.403
2016-07-01,30.14
2016-10-01,24.337
2017-01-01,34.231
2017-04-01,26.05
2017-07-01,18.059
2017-10-01,14.72
2018-01-01,25.148
2018-04-01,22.024
2018-07-01,15.985
2018-10-01,36.827
2019-01-01,30.978
2019-04-01,24.842
2019-07-01,21.701
2019-10-01,14.552
2020-01-01,33.482
2020-04-01,19.261
2020-07-01,10.226
2020-10-01,26.698
2021-01-01,23.627
2021-04-01,24.998
2021-07-01,12.185
2021-10-01,22.59
2022-01-01,31.751
2022-04-01,32.716
2022-07-01,11.499
2022-10-01,16.178
2023-01-01,41.533
2023-04-01,37.543
2023-07-01,34.255
2023-10-01,35.591
2024-01-01,33.875
2024-04-01,19.992
2024-07-01,37.514
2024-10-01,29.495
2025-01-01,42.117
2025-04-01,22.349
2025-07-01,26.314
2025-10-01,17.443
