ds,y
2000-10-01,268.296
2000-11-01,269.915
2000-12-01,270.611
2001-01-01,268.624
2001-02-01,271.308
2001-03-01,274.095
2001-04-01,276.431
2001-05-01,277.947
2001-06-01,275.283
2001-07-01,276.799
2001-08-01,275.324
2001-09-01,278.48
2001-10-01,281.86
2001-11-01,284.606
2001-12-01,286.676
2002-01-01,283.971
2002-02-01,286.204
2002-03-01,288.868
2002-04-01,291.962
2002-05-01,295.199
2002-06-01,295.486
2002-07-01,296.941
2002-08-01,295.978
2002-09-01,301.162
2002-10-01,304.83
2002-11-01,308.067
2002-12-01,309.317
2003-01-01,308.497
2003-02-01,312.472
2003-03-01,315.853
2003-04-01,317.124
2003-05-01,319.316
2003-06-01,315.607
2003-07-01,309.174
2003-08-01,308.211
2003-09-01,317.861
2003-10-01,319.705
2003-11-01,321.386
2003-12-01,321.836
2004-01-01,317.923
2004-02-01,322.226
2004-03-01,325.033
2004-04-01,326.447
2004-05-01,329.991
2004-06-01,324.951
2004-07-01,321.98
2004-08-01,318.783
2004-09-01,326.18
2004-10-01,331.815
2004-11-01,333.741
2004-12-01,333.311
2005-01-01,331.713
2005-02-01,335.196
2005-03-01,338.495
2005-04-01,340.831
2005-05-01,344.806
2005-06-01,341.568
2005-07-01,341.568
2005-08-01,337.819
2005-09-01,345.072
2005-10-01,349.949
2005-11-01,351.24
2005-12-01,351.69
2006-01-01,350.461
2006-02-01,354.457
2006-03-01,358.473
2006-04-01,362.837
2006-05-01,367.877
2006-06-01,367.017
2006-07-01,372.734
2006-08-01,364.476
2006-09-01,373.041
2006-10-01,378.389
2006-11-01,381.729
2006-12-01,384.413
2007-01-01,382.958
2007-02-01,388.142
2007-03-01,392.261
2007-04-01,394.945
2007-05-01,396.973
2007-06-01,394.064
2007-07-01,392.404
2007-08-01,387.835
2007-09-01,397.506
2007-10-01,401.563
2007-11-01,405.046
2007-12-01,405.579
2008-01-01,403.878
2008-02-01,406.87
2008-03-01,410.599
2008-04-01,412.279
2008-05-01,414.369
2008-06-01,407.649
2008-07-01,398.756
2008-08-01,399.453
2008-09-01,412.628
2008-10-01,417.258
2008-11-01,420.434
2008-12-01,421.623
2009-01-01,419.328
2009-02-01,424.799
2009-03-01,429.143
2009-04-01,432.319
2009-05-01,436.007
2009-06-01,431.909
2009-07-01,426.294
2009-08-01,428.098
2009-09-01,436.13
2009-10-01,442.789
2009-11-01,445.412
2009-12-01,447.481
2010-01-01,444.92
2010-02-01,448.751
2010-03-01,451.415
2010-04-01,454.694
2010-05-01,456.825
2010-06-01,456.722
2010-07-01,450.555
2010-08-01,450.555
2010-09-01,453.935
2010-10-01,460.164
2010-11-01,463.299
2010-12-01,464.754
2011-01-01,465.943
2011-02-01,470.778
2011-03-01,474.446
2011-04-01,479.036
2011-05-01,480.613
2011-06-01,475.286
2011-07-01,469.016
2011-08-01,468.565
2011-09-01,475.778
2011-10-01,481.986
2011-11-01,484.404
2011-12-01,484.711
2012-01-01,483.441
2012-02-01,488.072
2012-03-01,491.309
2012-04-01,495.53
2012-05-01,497.661
2012-06-01,493.584
2012-07-01,487.764
2012-08-01,488.461
2012-09-01,495.53
2012-10-01,501.39
2012-11-01,503.767
2012-12-01,505.345
2013-01-01,503.931
2013-02-01,507.722
2013-03-01,510.98
2013-04-01,516.307
2013-05-01,520.385
2013-06-01,517.639
2013-07-01,511.266
2013-08-01,512.148
2013-09-01,521.102
2013-10-01,527.679
2013-11-01,530.732
2013-12-01,532.146
2014-01-01,532.125
2014-02-01,537.145
2014-03-01,540.752
2014-04-01,544.091
2014-05-01,546.858
2014-06-01,543.046
2014-07-01,532.986
2014-08-01,535.404
2014-09-01,544.296
2014-10-01,551.038
2014-11-01,555.197
2014-12-01,556.304
2015-01-01,556.836
2015-02-01,561.078
2015-03-01,566.098
2015-04-01,571.569
2015-05-01,576.261
2015-06-01,571.937
2015-07-01,563.188
2015-08-01,565.975
2015-09-01,573.31
2015-10-01,579.047
2015-11-01,583.637
2015-12-01,585.481
2016-01-01,584.088
2016-02-01,587.202
2016-03-01,591.403
2016-04-01,595.091
2016-05-01,598.41
2016-06-01,591.751
2016-07-01,581.732
2016-08-01,586.321
2016-09-01,595.296
2016-10-01,602.529
2016-11-01,605.336
2016-12-01,607.283
2017-01-01,605.459
2017-02-01,607.733
2017-03-01,611.463
2017-04-01,614.495
2017-05-01,619.843
2017-06-01,610.684
2017-07-01,602.529
2017-08-01,607.119
2017-09-01,616.36
2017-10-01,622.158
2017-11-01,625.355
2017-12-01,625.621
2018-01-01,622.076
2018-02-01,623.818
2018-03-01,627.486
2018-04-01,628.797
2018-05-01,630.518
2018-06-01,621.175
2018-07-01,610.663
2018-08-01,613.02
2018-09-01,621.749
2018-10-01,626.687
2018-11-01,629.678
2018-12-01,626.789
2019-01-01,621.482
2019-02-01,620.765
2019-03-01,622.568
2019-04-01,625.314
2019-05-01,629.166
2019-06-01,620.212
2019-07-01,610.52
2019-08-01,613.655
2019-09-01,622.138
2019-10-01,629.248
2019-11-01,633.776
2019-12-01,632.383
2020-01-01,634.002
2020-02-01,640.497
2020-03-01,644.062
2020-04-01,645.496
2020-05-01,648.775
2020-06-01,640.251
2020-07-01,630.969
2020-08-01,636.87
2020-09-01,645.681
2020-10-01,653.57
2020-11-01,656.479
2020-12-01,659.88
2021-01-01,655.537
2021-02-01,659.614
2021-03-01,663.302
2021-04-01,668.179
2021-05-01,670.412
2021-06-01,662.852
2021-07-01,648.611
2021-08-01,655.741
2021-09-01,665.884
2021-10-01,669.634
2021-11-01,672.728
2021-12-01,673.076
2022-01-01,672.236
2022-02-01,675.186
2022-03-01,680.186
2022-04-01,681.846
2022-05-01,688.075
2022-06-01,681.928
2022-07-01,676.375
2022-08-01,681.907
2022-09-01,689.12
