ds,y
1992-01-01,36.421
1992-04-01,33.055
1992-07-01,48.121
1992-10-01,41.779
1993-01-01,38.234
1993-04-01,42.159
1993-07-01,50.19
1993-10-01,18.732
1994-01-01,45.255
1994-04-01,47.137
1994-07-01,44.14
1994-10-01,26.35
1995-01-01,38.775
1995-04-01,63.252
1995-07-01,42.53
1995-10-01,23.829
1996-01-01,23.621
1996-04-01,40.803
1996-07-01,39.234
1996-10-01,16.055
1997-01-01,21.553
1997-04-01,42.403
1997-07-01,48.176
1997-10-01,26.548
1998-01-01,33.453
1998-04-01,22.543
1998-07-01,34.616
1998-10-01,12.727
1999-01-01,24.424
1999-04-01,33.292
1999-07-01,31.354
1999-10-01,19.478
2000-01-01,17.642
2000-04-01,28.33
2000-07-01,36.283
2000-10-01,33.903
2001-01-01,24.511
2001-04-01,38.716
2001-07-01,55.277
2001-10-01,38.777
2002-01-01,14.755
2002-04-01,42.693
2002-07-01,48.471
2002-10-01,32.451
2003-01-01,19.827
2003-04-01,36.258
2003-07-01,43.587
2003-10-01,45.543
2004-01-01,42.549
2004-04-01,35.136
2004-07-01,33.594
2004-10-01,28.422
2005-01-01,45.039
2005-04-01,33.802
2005-07-01,39.244
2005-10-01,28.153
